scope,model,protocol,reference_kind,reference_model,scenes,mean_m,median_m,p90_m,ci_low_m,ci_high_m,log_cluster_ci_low_m,log_cluster_ci_high_m
FULL1000,original_grpo_11970,eval,official_IL_same_sampler,official_il,1000,0.49914172854274513,0.4671557694673538,0.7706525206565857,0.4867393752863631,0.5118426026633008,0.48422556928283234,0.5141129385928038
FULL1000,original_grpo_11970,eval,actual_previous_stage_same_sampler,official_il,1000,0.49914172854274513,0.4671557694673538,0.7706525206565857,0.4865822313671932,0.5113946731949225,0.48450422784157926,0.5139947074653376
FULL1000,original_grpo_11970,native_grpo,official_IL_same_sampler,official_il,1000,0.4981897150427103,0.4693101942539215,0.7610339283943176,0.48625443635098636,0.5101352392464876,0.48415181718928735,0.5126734596472697
FULL1000,original_grpo_11970,native_grpo,actual_previous_stage_same_sampler,official_il,1000,0.4981897150427103,0.4693101942539215,0.7610339283943176,0.4858054201960564,0.5108460989989341,0.4840140848797152,0.5122599928503658
FULL1000,a5_grpo_300,eval,official_IL_same_sampler,official_il,1000,1.6047979052364827,1.17782461643219,3.7287657737731936,1.5271031471554188,1.6873765438292174,1.503539217193787,1.714401086101042
FULL1000,a5_grpo_300,eval,actual_previous_stage_same_sampler,a5_sft,1000,1.668959041416645,1.3037691116333008,3.690448188781738,1.5848611400419848,1.754865276862029,1.5618081171559826,1.774728790428425
FULL1000,a5_grpo_300,native_grpo,official_IL_same_sampler,official_il,1000,1.7567702594846486,1.3793577551841736,3.868951416015625,1.6748590561889112,1.842971135546267,1.6531924360587675,1.862444927999901
FULL1000,a5_grpo_300,native_grpo,actual_previous_stage_same_sampler,a5_sft,1000,1.758803582046181,1.4545772075653076,3.674895524978638,1.681125862106122,1.8368226978199556,1.656974305947237,1.8632939948249008
FULL1000,a5_grpo_4842,eval,official_IL_same_sampler,official_il,1000,1.952645543575287,1.7383722066879272,3.921586346626282,1.8696090949529782,2.0332876963496207,1.8471232962850843,2.0588021127811196
FULL1000,a5_grpo_4842,eval,actual_previous_stage_same_sampler,a5_sft,1000,2.020070169115439,1.9033766984939575,3.97138729095459,1.9319218084209133,2.104162700667698,1.9125136193468069,2.130915648021769
FULL1000,a5_grpo_4842,native_grpo,official_IL_same_sampler,official_il,1000,2.0209747818261383,1.7916090488433838,3.996681642532349,1.940509887110442,2.1051423931796105,1.92091807304008,2.1291704688807034
FULL1000,a5_grpo_4842,native_grpo,actual_previous_stage_same_sampler,a5_sft,1000,2.015513783087954,1.8739959001541138,3.896590042114258,1.931601431105891,2.1035167720764876,1.914400208111073,2.1221893124556903
FULL1000,v6_grpo_300,eval,official_IL_same_sampler,official_il,1000,0.558625166207552,0.45933689177036285,1.054095757007599,0.5353490598576143,0.5817833172781393,0.5335521357828529,0.5865829502028296
FULL1000,v6_grpo_300,eval,actual_previous_stage_same_sampler,v6_sft,1000,0.5110165283046663,0.5004432797431946,0.8908936500549317,0.4950450741655659,0.5278240971031599,0.49388171868619773,0.5280643843698161
FULL1000,v6_grpo_300,native_grpo,official_IL_same_sampler,official_il,1000,0.6591449849158525,0.5631738007068634,1.1708636403083803,0.6349686634328217,0.6834186457771807,0.6332126912161372,0.687232431980047
FULL1000,v6_grpo_300,native_grpo,actual_previous_stage_same_sampler,v6_sft,1000,0.6013277682941407,0.6102064847946167,0.9823781609535217,0.5845269688225817,0.6185326244931202,0.5827168339896219,0.6201991278597722
FULL1000,v6_grpo_3300,eval,official_IL_same_sampler,official_il,1000,1.022091659527272,1.0267366766929626,1.6612780809402465,0.9907933308605105,1.0541782360328362,0.9871583012275308,1.0608383486821735
FULL1000,v6_grpo_3300,eval,actual_previous_stage_same_sampler,v6_sft,1000,1.065278972422704,1.1754889488220215,1.5837377667427064,1.036499725624919,1.093079168475466,1.0324743294305296,1.0970027126685067
FULL1000,v6_grpo_3300,native_grpo,official_IL_same_sampler,official_il,1000,1.0424529599100352,1.038546085357666,1.6553746700286867,1.0107758453443647,1.072679727472365,1.0066570566391733,1.0794548754360167
FULL1000,v6_grpo_3300,native_grpo,actual_previous_stage_same_sampler,v6_sft,1000,1.062812149560079,1.1512677073478699,1.5834257125854492,1.034906168755493,1.0901967415107414,1.0307832958265681,1.0955625824998918
COMMON_TRAIN835,official_il,eval,official_IL_same_sampler,official_il,835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMON_TRAIN835,official_il,native_grpo,official_IL_same_sampler,official_il,835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMON_TRAIN835,psi_sft,eval,official_IL_same_sampler,official_il,835,0.4333037787301098,0.39404284954071045,0.7803946733474733,0.4153373367006996,0.4508754758710811,0.41344236124121697,0.45372136225784243
COMMON_TRAIN835,psi_sft,eval,actual_previous_stage_same_sampler,official_il,835,0.4333037787301098,0.39404284954071045,0.7803946733474733,0.41596401138755373,0.4506529084530598,0.41414239822827387,0.4528916911788147
COMMON_TRAIN835,psi_sft,native_grpo,official_IL_same_sampler,official_il,835,0.48919913556404454,0.4591880142688751,0.8191127538681031,0.47270872230725197,0.5048321350815589,0.47093620388070123,0.5085682938677891
COMMON_TRAIN835,psi_sft,native_grpo,actual_previous_stage_same_sampler,official_il,835,0.48919913556404454,0.4591880142688751,0.8191127538681031,0.4726405967627011,0.5064941074317711,0.4700558466871764,0.5092505923518759
COMMON_TRAIN835,a5_sft,eval,official_IL_same_sampler,official_il,835,0.4144311780254998,0.3409673571586609,0.6652759194374086,0.3869409732867456,0.44639778794263474,0.38633909977518244,0.44557163989349
COMMON_TRAIN835,a5_sft,native_grpo,official_IL_same_sampler,official_il,835,0.4561563254651909,0.38363802433013916,0.6977378726005555,0.4280488940863731,0.4895823885625351,0.4275844087149074,0.48859634892180387
COMMON_TRAIN835,v6_sft,eval,official_IL_same_sampler,official_il,835,0.3580871843158485,0.3074517250061035,0.6484257340431214,0.3432811566915162,0.3743879623373156,0.3428714233274929,0.37393799439448233
COMMON_TRAIN835,v6_sft,native_grpo,official_IL_same_sampler,official_il,835,0.42081777382039737,0.3569931983947754,0.7112451314926148,0.40608218106837146,0.43597193487836217,0.4052375047135849,0.43669710609222673
COMMON_TRAIN835,original_grpo_11970,eval,official_IL_same_sampler,official_il,835,0.4959711550417061,0.46393895149230957,0.7715262651443482,0.48262995592535973,0.5090568521966834,0.48028315617955397,0.5118345000510606
