grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,8,positive_DAC_failure_rate,1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
prefix,8,DAC_positive_mean,4889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
prefix,8,EP_mean,5000,0.10843032654032861,0.054155155879780315,0.10413617043644184,0.11271973170311655,0.10303921349895244,0.11383384418425707,0.7288,0.1346,0.0006664445184938354,
prefix,8,EP_min,5000,0.15965253464478127,0.0,0.15045372950656224,0.1689760836570711,0.14898092028296478,0.17063301727898478,0.4744,0.4452,0.0006664445184938354,
prefix,8,EP_max,5000,0.024730732168655085,0.0,0.022443687147528413,0.027228857997436122,0.021868744336486626,0.027674636618140982,0.3782,0.5528,0.0006664445184938354,
prefix,8,EP_std,5000,-0.0667933414446876,-0.007976100105660322,-0.07096163466846211,-0.06274264431863535,-0.07138321550172062,-0.062082100584182266,0.2398,0.1386,0.0006664445184938354,
prefix,8,EP_P10,5000,0.1795176419892105,0.03511356048776712,0.1715081818059551,0.18792698102747424,0.16940914776633786,0.18934173540853388,0.6186,0.2768,0.0006664445184938354,
prefix,8,EP_P50,5000,0.11169797875050405,0.02177906291954801,0.10507372427014856,0.11820676374904444,0.10438277852438577,0.11950900608554224,0.5928,0.3108,0.0006664445184938354,
prefix,8,EP_P90,5000,0.037557193081401596,0.0,0.034390881775458314,0.04083146986689487,0.033881459416576595,0.04137009939114819,0.4586,0.4484,0.0006664445184938354,
prefix,8,EP_all_pass,5000,0.0464,0.0,0.0394,0.0532,0.03822236895699349,0.05401223348121433,0.0562,0.934,0.0006664445184938354,
prefix,8,EP_all_fail,5000,-0.0888,0.0,-0.0984,-0.07999499999999998,-0.09830324388134298,-0.07938807680078225,0.0158,0.8796,0.0006664445184938354,
prefix,8,EP_mixed,5000,0.0424,0.0,0.0304,0.0546,0.03075016072691365,0.05470555134635911,0.114,0.8144,0.0006664445184938354,
prefix,8,EP_headroom,5000,-0.08369959437167351,-0.02242515893729158,-0.08782507792334035,-0.07954913087998167,-0.08861348104779714,-0.07887455898160672,0.2004,0.1348,0.0006664445184938354,
prefix,8,covariance_adv_EP,5000,-0.05862516173508836,-0.0040997575941884605,-0.06246604903588745,-0.05500146363056278,-0.06283367636264287,-0.05434200598556419,0.3188,0.1174,0.0006664445184938354,
prefix,8,negative_adv_EP_association,5000,0.0224,0.0,0.014,0.0308,0.01365016050002582,0.031153440429054758,0.0592,0.904,0.0006664445184938354,
prefix,8,positive_EP_failure_rate,4140,0.015272889348976306,0.0,0.008128286192549981,0.022642268357546944,0.007565322817134171,0.02290770466208978,0.3536231884057971,0.34202898550724636,0.0006664445184938354,
prefix,8,EP_positive_mean,4889,0.031191843535263476,0.012843280860510342,0.029533412694276066,0.03296416892258255,0.028990632907460644,0.03349193125077056,0.6017590509306606,0.24463080384536715,0.0006664445184938354,
prefix,8,TTC_mean,5000,0.0366,0.0,0.032725,0.040475625,0.03200578824977454,0.04096918977647587,0.2538,0.6526,0.0006664445184938354,
prefix,8,TTC_min,5000,0.0428,0.0,0.0334,0.0522,0.0326687927349716,0.05243420968933154,0.0786,0.8856,0.0006664445184938354,
prefix,8,TTC_max,5000,0.0,0.0,-0.0022,0.002,-0.0020594143100068603,0.0022087186606438726,0.0026,0.9948,1.0,
