partition,protocol,model,metric,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
B,eval,official_il,pairwise_ADE,1000,0.14513878460787236,0.1434835810214281,0.14310111236320808,0.1472104612874333,0.14314011729574608,0.14730109921052692,1.0,0.0,0.0
B,eval,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,eval,official_il,feasible_rate,1000,93.915625,100.0,92.524921875,95.268828125,92.51507853529706,95.25179601004498,0.96,0.0,0.04
B,eval,official_il,mean_PDMS,1000,92.16205186066037,95.36290741250556,91.30340139057404,92.9654286941758,91.23110224277555,92.98461575661426,0.991,0.0,0.009
B,eval,original_grpo_11970,pairwise_ADE,1000,0.17039030911400915,0.16888007707893848,0.16847100454950703,0.1723721349723637,0.16829853050324214,0.17229560213581496,1.0,0.0,0.0
B,eval,original_grpo_11970,center_shift_m,1000,0.49925880499184133,0.4677548259496689,0.4868016115229577,0.5117314579613507,0.48459085530833634,0.514110005698991,1.0,0.0,0.0
B,eval,original_grpo_11970,feasible_rate,1000,94.584375,100.0,93.134296875,95.865703125,93.14908608147782,95.91828899459713,0.961,0.0,0.039
B,eval,original_grpo_11970,mean_PDMS,1000,95.04948780501354,98.37575576967734,94.36158713673458,95.6691612537679,94.23903140461267,95.74674513787548,0.992,0.0,0.008
B,eval,psi_sft,pairwise_ADE,1000,0.3075296858549118,0.29436812549829483,0.3036165245158598,0.3115946651693433,0.30319021839105986,0.3120178849788131,1.0,0.0,0.0
B,eval,psi_sft,center_shift_m,1000,0.4410620844811201,0.40732355415821075,0.4249392408698797,0.4569836620544084,0.42334811273830164,0.4594240426485541,1.0,0.0,0.0
B,eval,psi_sft,feasible_rate,1000,91.90625,100.0,90.3875,93.309375,90.39314286465776,93.27924456033792,0.963,0.0,0.037
B,eval,psi_sft,mean_PDMS,1000,92.64302767986979,96.86162916743677,91.72991921319739,93.5402418827944,91.70428005811223,93.5761543518222,0.991,0.0,0.009
B,native_grpo,official_il,pairwise_ADE,1000,1.99578551363945,1.9969256520271301,1.9913137773066758,2.0003070044457916,1.9913936157481462,2.000389218676136,1.0,0.0,0.0
B,native_grpo,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,native_grpo,official_il,feasible_rate,1000,69.021875,75.0,67.359296875,70.58140625,67.26521005959077,70.8095760406984,0.981,0.0,0.019
B,native_grpo,official_il,mean_PDMS,1000,69.11198241706329,74.05502674705869,67.94250362170742,70.3127265559473,67.75459277694556,70.38398664339907,0.997,0.0,0.003
B,native_grpo,original_grpo_11970,pairwise_ADE,1000,1.9947348140478134,1.9956893920898438,1.990237542039156,1.9994597844704984,1.9901141590236642,1.9993909389948297,1.0,0.0,0.0
B,native_grpo,original_grpo_11970,center_shift_m,1000,0.49815053497999906,0.46836259961128235,0.48602374028898776,0.510343589260988,0.484477722863577,0.5122967556629119,1.0,0.0,0.0
B,native_grpo,original_grpo_11970,feasible_rate,1000,77.0875,84.375,75.6625,78.546953125,75.50164631596878,78.6999833801586,0.981,0.0,0.019
B,native_grpo,original_grpo_11970,mean_PDMS,1000,79.04323059346123,83.1507136748642,78.09361377725797,79.95185075647342,77.88966796856901,80.15540481481581,0.997,0.0,0.003
B,native_grpo,psi_sft,pairwise_ADE,1000,2.259108817100525,2.256847083568573,2.2529888894706964,2.265582841871679,2.25243348532456,2.265459580770169,1.0,0.0,0.0
B,native_grpo,psi_sft,center_shift_m,1000,0.5081246915459633,0.47721269726753235,0.4934012222025544,0.523704637988843,0.4905704192361686,0.5266178230922567,1.0,0.0,0.0
B,native_grpo,psi_sft,feasible_rate,1000,62.496875,65.625,60.88734375,64.1,60.69101377489087,64.27515853906674,0.981,0.0,0.019
B,native_grpo,psi_sft,mean_PDMS,1000,65.61330486134936,69.03245419638114,64.30267369949912,66.84118481610996,64.24412697020703,66.92155115180782,0.997,0.0,0.003
FULL64,eval,official_il,pairwise_ADE,1000,0.14487218555435538,0.14259319566190234,0.14299853362930007,0.14678897561698684,0.14292759298061045,0.14691621829235635,1.0,0.0,0.0
