run,tag,step,value,wall_time
psi_sr,train/reference_kl_loss_epoch,3989,0.012300700880587101,1782614259.781668
psi_sr,train/reference_kl_loss_epoch,5319,0.01299829687923193,1782629436.2828624
psi_sr,train/reference_kl_loss_epoch,6649,0.013765801675617695,1782644603.056753
psi_sr,train/reference_kl_loss_epoch,7979,0.014155402779579163,1782659727.061048
psi_sr,train/reference_kl_loss_epoch,9309,0.014326773583889008,1782674844.2824275
psi_sr,train/reference_kl_loss_epoch,10639,0.014113322831690311,1782689925.3537655
psi_sr,train/reference_kl_loss_epoch,11969,0.01336796022951603,1782705065.2361724
psi_sr,train/reference_kl_loss_epoch,13299,0.013352657668292522,1782720645.6463377
psi_sr,train/reference_kl_loss_epoch,14629,0.01276468951255083,1782736643.454337
psi_sr,train/reference_kl_loss_epoch,15959,0.012623937800526619,1782753624.7589304
psi_sr,train/reference_kl_loss_epoch,17289,0.01218563411384821,1782769639.197282
psi_sr,train/reference_kl_loss_epoch,18619,0.011590217240154743,1782785690.5084393
psi_sr,train/reference_kl_loss_epoch,19949,0.011367812752723694,1782801914.036785
psi_sr,train/reference_kl_loss_epoch,21279,0.01102042943239212,1782817959.1479852
psi_sr,train/reference_kl_loss_epoch,22609,0.0107896588742733,1782834193.9312394
psi_sr,train/reference_kl_loss_epoch,23939,0.010531097650527954,1782850183.4815576
psi_sr,train/reference_kl_loss_epoch,25269,0.010385703295469284,1782866467.9404657
psi_sr,train/reference_kl_loss_epoch,26599,0.010287932120263577,1782882487.7944474
psi_sr,train/reward_epoch,1329,0.6610410213470459,1782584072.466222
psi_sr,train/reward_epoch,2659,0.6975211501121521,1782599127.0424497
psi_sr,train/reward_epoch,3989,0.7110483646392822,1782614259.6406956
psi_sr,train/reward_epoch,5319,0.7214460372924805,1782629436.1407678
psi_sr,train/reward_epoch,6649,0.7311762571334839,1782644602.9131052
psi_sr,train/reward_epoch,7979,0.7411372661590576,1782659726.9153085
psi_sr,train/reward_epoch,9309,0.7495468258857727,1782674844.1357527
psi_sr,train/reward_epoch,10639,0.7548089027404785,1782689925.2143424
psi_sr,train/reward_epoch,11969,0.762904703617096,1782705065.0884187
psi_sr,train/reward_epoch,13299,0.7680979371070862,1782720645.4923844
psi_sr,train/reward_epoch,14629,0.7759622931480408,1782736643.3026693
psi_sr,train/reward_epoch,15959,0.781245231628418,1782753624.6212084
