token,model,native_vs_floor_and_clip_CRN_ADE,native_vs_floor_and_clip_max_abs
29b53c57c19b57fe,v6_sft,1.585293e-07,2.86102294921875e-06
29b53c57c19b57fe,psi_sft,9.762317e-07,4.291534423828125e-06
88757fb00fda507b,official_il,4.0975675e-07,4.291534423828125e-06
88757fb00fda507b,a5_sft,3.8854935e-07,8.58306884765625e-06
88757fb00fda507b,v6_sft,1.7501632e-07,1.9073486328125e-06
88757fb00fda507b,psi_sft,8.489976e-07,6.198883056640625e-06
e9f4daa7d910568c,official_il,6.01372e-07,7.62939453125e-06
e9f4daa7d910568c,a5_sft,4.6776498e-07,3.814697265625e-06
e9f4daa7d910568c,v6_sft,2.6045814e-07,3.814697265625e-06
e9f4daa7d910568c,psi_sft,9.615225e-07,7.62939453125e-06
b4322d76ebf8569f,official_il,5.8219644e-07,7.62939453125e-06
b4322d76ebf8569f,a5_sft,3.6199214e-07,7.62939453125e-06
b4322d76ebf8569f,v6_sft,3.2339778e-07,7.62939453125e-06
b4322d76ebf8569f,psi_sft,1.034057e-06,7.62939453125e-06
acfc271e3c3d58fa,official_il,5.6225645e-07,3.814697265625e-06
acfc271e3c3d58fa,a5_sft,2.9793483e-07,7.62939453125e-06
acfc271e3c3d58fa,v6_sft,2.4487298e-07,3.814697265625e-06
acfc271e3c3d58fa,psi_sft,9.611279e-07,7.62939453125e-06
b222df74b8155735,official_il,6.832245e-07,1.1444091796875e-05
b222df74b8155735,a5_sft,4.567171e-07,7.62939453125e-06
b222df74b8155735,v6_sft,2.200785e-07,3.814697265625e-06
b222df74b8155735,psi_sft,9.1208676e-07,7.62939453125e-06
8224627048195e4f,official_il,3.7439392e-07,2.384185791015625e-06
8224627048195e4f,a5_sft,1.9776304e-07,1.430511474609375e-06
8224627048195e4f,v6_sft,1.3989867e-07,1.9073486328125e-06
8224627048195e4f,psi_sft,9.365301e-07,6.198883056640625e-06
114a9052bd6851a2,official_il,3.6714653e-07,3.814697265625e-06
114a9052bd6851a2,a5_sft,1.7805706e-07,7.62939453125e-06
114a9052bd6851a2,v6_sft,1.6820714e-07,2.86102294921875e-06
114a9052bd6851a2,psi_sft,8.382986e-07,5.9604644775390625e-06
983b7ed08a4b5a88,official_il,4.3842235e-07,4.291534423828125e-06
983b7ed08a4b5a88,a5_sft,1.6783756e-07,1.9073486328125e-06
983b7ed08a4b5a88,v6_sft,1.5247345e-07,1.9073486328125e-06
983b7ed08a4b5a88,psi_sft,8.6352196e-07,5.7220458984375e-06
14b505fe90ef5fb8,official_il,3.6522678e-07,4.0531158447265625e-06
14b505fe90ef5fb8,a5_sft,1.0494833e-07,7.152557373046875e-07
14b505fe90ef5fb8,v6_sft,9.481691e-08,4.76837158203125e-07
14b505fe90ef5fb8,psi_sft,8.901873e-07,4.291534423828125e-06
410fac99463459e6,official_il,3.597827e-07,2.86102294921875e-06
410fac99463459e6,a5_sft,1.2945293e-07,1.9073486328125e-06
410fac99463459e6,v6_sft,1.16044646e-07,1.9073486328125e-06
410fac99463459e6,psi_sft,8.450961e-07,4.291534423828125e-06
e47d448a999b5595,official_il,4.2837664e-07,3.814697265625e-06
e47d448a999b5595,a5_sft,2.8851173e-07,3.814697265625e-06
e47d448a999b5595,v6_sft,1.9138272e-07,3.814697265625e-06
e47d448a999b5595,psi_sft,8.781617e-07,5.7220458984375e-06
6c0b6e4fdf005a81,official_il,0.0,0.0
6c0b6e4fdf005a81,a5_sft,0.0,0.0
6c0b6e4fdf005a81,v6_sft,1.4590748e-07,1.430511474609375e-06
6c0b6e4fdf005a81,psi_sft,0.0,0.0
ddbfb3b2a05c5918,official_il,6.076275e-07,4.291534423828125e-06
ddbfb3b2a05c5918,a5_sft,3.6082125e-07,3.814697265625e-06
ddbfb3b2a05c5918,v6_sft,3.5362692e-07,3.814697265625e-06
ddbfb3b2a05c5918,psi_sft,1.0153619e-06,3.814697265625e-06
886df3cce3a95a83,official_il,4.2462827e-07,4.76837158203125e-06
886df3cce3a95a83,a5_sft,2.2183005e-07,1.9073486328125e-06
886df3cce3a95a83,v6_sft,1.3826082e-07,1.9073486328125e-06
886df3cce3a95a83,psi_sft,9.3315475e-07,4.76837158203125e-06
0056ae51961f5a18,official_il,3.6840692e-07,2.384185791015625e-06
0056ae51961f5a18,a5_sft,1.631308e-07,9.5367431640625e-07
0056ae51961f5a18,v6_sft,1.0862902e-07,8.344650268554688e-07
0056ae51961f5a18,psi_sft,8.5649214e-07,4.291534423828125e-06
80d5ce364722516b,official_il,3.986135e-07,3.814697265625e-06
80d5ce364722516b,a5_sft,1.7560464e-07,1.9073486328125e-06
80d5ce364722516b,v6_sft,1.5654066e-07,1.9073486328125e-06
80d5ce364722516b,psi_sft,7.603927e-07,4.76837158203125e-06
a3fa79234a9d5d7d,official_il,6.00145e-07,5.7220458984375e-06
a3fa79234a9d5d7d,a5_sft,2.7107535e-07,3.814697265625e-06
a3fa79234a9d5d7d,v6_sft,6.3581786e-07,1.621246337890625e-05
a3fa79234a9d5d7d,psi_sft,8.692574e-07,4.76837158203125e-06
d5201097ad6e5d67,official_il,3.9340836e-07,3.814697265625e-06
d5201097ad6e5d67,a5_sft,1.7191898e-07,1.9073486328125e-06
d5201097ad6e5d67,v6_sft,2.81191e-07,2.384185791015625e-06
d5201097ad6e5d67,psi_sft,8.524539e-07,5.7220458984375e-06
b6bba53a1bef520e,official_il,3.815511e-07,3.814697265625e-06
b6bba53a1bef520e,a5_sft,1.4025444e-07,3.814697265625e-06
b6bba53a1bef520e,v6_sft,1.8692904e-07,3.814697265625e-06
b6bba53a1bef520e,psi_sft,8.7188636e-07,5.7220458984375e-06
7b840b044a6a5e8d,official_il,4.0000182e-07,3.814697265625e-06
7b840b044a6a5e8d,a5_sft,2.4835703e-07,1.9073486328125e-06
7b840b044a6a5e8d,v6_sft,1.7131401e-07,1.430511474609375e-06
7b840b044a6a5e8d,psi_sft,8.107819e-07,6.67572021484375e-06
fb9dcf5b46d65616,official_il,5.691319e-07,3.814697265625e-06
fb9dcf5b46d65616,a5_sft,2.437779e-07,1.9073486328125e-06
fb9dcf5b46d65616,v6_sft,3.1387657e-07,1.9073486328125e-06
fb9dcf5b46d65616,psi_sft,9.624197e-07,5.7220458984375e-06
88f9b4f87b6b5bd5,official_il,5.1908506e-07,3.814697265625e-06
88f9b4f87b6b5bd5,a5_sft,1.9518998e-07,3.814697265625e-06
88f9b4f87b6b5bd5,v6_sft,1.8207604e-07,3.814697265625e-06
88f9b4f87b6b5bd5,psi_sft,9.950081e-07,5.7220458984375e-06
52caccf1b3b95e4e,official_il,5.0201254e-07,3.814697265625e-06
52caccf1b3b95e4e,a5_sft,2.8940332e-07,7.62939453125e-06
52caccf1b3b95e4e,v6_sft,2.1577898e-07,3.814697265625e-06
52caccf1b3b95e4e,psi_sft,9.264054e-07,7.62939453125e-06
1b064a029c0e513a,official_il,3.2284936e-07,3.814697265625e-06
1b064a029c0e513a,a5_sft,2.3669239e-07,3.814697265625e-06
1b064a029c0e513a,v6_sft,2.6278462e-07,3.814697265625e-06
1b064a029c0e513a,psi_sft,8.432938e-07,3.814697265625e-06
ad906e8bb5375747,official_il,4.909954e-07,3.814697265625e-06
ad906e8bb5375747,a5_sft,2.1473849e-07,3.814697265625e-06
ad906e8bb5375747,v6_sft,2.2429785e-07,7.62939453125e-06
ad906e8bb5375747,psi_sft,9.4093554e-07,7.62939453125e-06
77d96cb44005501c,official_il,4.8687116e-07,3.814697265625e-06
77d96cb44005501c,a5_sft,2.4958953e-07,3.814697265625e-06
77d96cb44005501c,v6_sft,3.7700596e-07,7.62939453125e-06
77d96cb44005501c,psi_sft,8.8334923e-07,7.62939453125e-06
7640be138ae05408,official_il,4.607449e-07,3.814697265625e-06
7640be138ae05408,a5_sft,1.5155862e-07,3.814697265625e-06
7640be138ae05408,v6_sft,1.7461991e-07,1.9073486328125e-06
7640be138ae05408,psi_sft,8.9175757e-07,4.76837158203125e-06
3138ce4847ee5007,official_il,3.6898916e-07,3.814697265625e-06
3138ce4847ee5007,a5_sft,2.9990218e-07,3.814697265625e-06
3138ce4847ee5007,v6_sft,2.6232777e-07,3.814697265625e-06
3138ce4847ee5007,psi_sft,8.961749e-07,7.62939453125e-06
e34f51206f0e53db,official_il,3.7916695e-07,3.814697265625e-06
e34f51206f0e53db,a5_sft,1.6453083e-07,3.814697265625e-06
e34f51206f0e53db,v6_sft,1.6770431e-07,1.9073486328125e-06
e34f51206f0e53db,psi_sft,9.648039e-07,5.7220458984375e-06
5da31ca5ce165787,official_il,4.39155e-07,3.814697265625e-06
5da31ca5ce165787,a5_sft,1.9048065e-07,3.814697265625e-06
5da31ca5ce165787,v6_sft,1.302522e-07,1.9073486328125e-06
5da31ca5ce165787,psi_sft,8.500177e-07,4.76837158203125e-06
42231e5449d3576a,official_il,5.5575197e-07,3.814697265625e-06
42231e5449d3576a,a5_sft,2.1671865e-07,1.9073486328125e-06
42231e5449d3576a,v6_sft,2.6330528e-07,1.9073486328125e-06
42231e5449d3576a,psi_sft,9.3894676e-07,3.814697265625e-06
bf78c475adfb5eb1,official_il,4.5575806e-07,3.814697265625e-06
bf78c475adfb5eb1,a5_sft,1.6213957e-07,1.9073486328125e-06
bf78c475adfb5eb1,v6_sft,2.117598e-07,1.9073486328125e-06
bf78c475adfb5eb1,psi_sft,8.534558e-07,4.76837158203125e-06
7fe6e7ce9cb7559d,official_il,4.379413e-07,3.814697265625e-06
7fe6e7ce9cb7559d,a5_sft,2.0661624e-07,3.814697265625e-06
7fe6e7ce9cb7559d,v6_sft,3.0604818e-07,4.76837158203125e-06
7fe6e7ce9cb7559d,psi_sft,9.31417e-07,4.291534423828125e-06
f1d60841a46d53a5,official_il,4.2576795e-07,3.814697265625e-06
f1d60841a46d53a5,a5_sft,1.9805873e-07,1.9073486328125e-06
f1d60841a46d53a5,v6_sft,1.47862e-07,1.9073486328125e-06
f1d60841a46d53a5,psi_sft,9.801502e-07,1.0013580322265625e-05
1819e1b106b354ad,official_il,5.2039604e-07,4.291534423828125e-06
1819e1b106b354ad,a5_sft,2.2278525e-07,3.814697265625e-06
1819e1b106b354ad,v6_sft,2.9650374e-07,3.814697265625e-06
1819e1b106b354ad,psi_sft,9.368984e-07,5.7220458984375e-06
1d10ae25c61f50c4,official_il,4.0865513e-07,3.814697265625e-06
1d10ae25c61f50c4,a5_sft,2.1853944e-07,1.9073486328125e-06
1d10ae25c61f50c4,v6_sft,2.0962038e-07,1.9073486328125e-06
1d10ae25c61f50c4,psi_sft,8.0136067e-07,4.76837158203125e-06
26043d2de718532d,official_il,5.166735e-07,3.814697265625e-06
26043d2de718532d,a5_sft,3.477378e-07,3.814697265625e-06
26043d2de718532d,v6_sft,2.725501e-07,3.814697265625e-06
26043d2de718532d,psi_sft,8.497423e-07,3.814697265625e-06
c852239b5ac95394,official_il,5.0802095e-07,3.814697265625e-06
c852239b5ac95394,a5_sft,2.3139083e-07,3.814697265625e-06
c852239b5ac95394,v6_sft,1.9835407e-07,1.9073486328125e-06
c852239b5ac95394,psi_sft,9.902682e-07,5.7220458984375e-06
f97414b6f4a15866,official_il,6.001062e-07,7.62939453125e-06
f97414b6f4a15866,a5_sft,3.222648e-07,1.9073486328125e-06
f97414b6f4a15866,v6_sft,3.3581375e-07,3.814697265625e-06
f97414b6f4a15866,psi_sft,1.0371378e-06,5.7220458984375e-06
0c9d055f4ccc5d64,official_il,4.7561818e-07,3.814697265625e-06
0c9d055f4ccc5d64,a5_sft,2.3918042e-07,1.9073486328125e-06
0c9d055f4ccc5d64,v6_sft,1.6860227e-07,1.9073486328125e-06
0c9d055f4ccc5d64,psi_sft,1.0268699e-06,4.76837158203125e-06
c6538928de9c552b,official_il,4.230852e-07,3.814697265625e-06
c6538928de9c552b,a5_sft,2.382208e-07,3.814697265625e-06
c6538928de9c552b,v6_sft,2.0185033e-07,3.814697265625e-06
c6538928de9c552b,psi_sft,8.875862e-07,5.7220458984375e-06
8fc454e70d1554b7,official_il,4.1241026e-07,4.291534423828125e-06
8fc454e70d1554b7,a5_sft,1.8356658e-07,1.9073486328125e-06
8fc454e70d1554b7,v6_sft,1.6954903e-07,2.86102294921875e-06
8fc454e70d1554b7,psi_sft,9.2378355e-07,4.76837158203125e-06
ef4f3026ae1b56a3,official_il,4.4718837e-07,4.76837158203125e-06
ef4f3026ae1b56a3,a5_sft,1.9820493e-07,2.86102294921875e-06
ef4f3026ae1b56a3,v6_sft,1.4515598e-07,1.9073486328125e-06
ef4f3026ae1b56a3,psi_sft,9.264459e-07,4.76837158203125e-06
9e454d3b139c5a3d,official_il,4.2303327e-07,7.62939453125e-06
9e454d3b139c5a3d,a5_sft,1.8354473e-07,7.62939453125e-06
9e454d3b139c5a3d,v6_sft,2.3591367e-07,3.814697265625e-06
9e454d3b139c5a3d,psi_sft,9.671287e-07,7.62939453125e-06
75341958391d5aba,official_il,5.440328e-07,3.814697265625e-06
75341958391d5aba,a5_sft,2.376617e-07,1.9073486328125e-06
75341958391d5aba,v6_sft,3.5296688e-07,9.5367431640625e-06
75341958391d5aba,psi_sft,9.552672e-07,6.198883056640625e-06
f6f213b156de552d,official_il,4.803e-07,7.62939453125e-06
f6f213b156de552d,a5_sft,2.6851654e-07,7.62939453125e-06
f6f213b156de552d,v6_sft,3.7783042e-07,7.62939453125e-06
f6f213b156de552d,psi_sft,8.4246653e-07,7.62939453125e-06
1cb9fa36aea25d6a,official_il,3.8381935e-07,3.814697265625e-06
1cb9fa36aea25d6a,a5_sft,1.3548181e-07,1.9073486328125e-06
1cb9fa36aea25d6a,v6_sft,1.705584e-07,3.814697265625e-06
1cb9fa36aea25d6a,psi_sft,8.32689e-07,6.198883056640625e-06
8635030755615376,official_il,4.25464e-07,3.814697265625e-06
8635030755615376,a5_sft,2.283844e-07,1.9073486328125e-06
8635030755615376,v6_sft,1.11542214e-07,1.9073486328125e-06
8635030755615376,psi_sft,8.004477e-07,4.0531158447265625e-06
86fbc624ea435e56,official_il,3.336101e-07,4.76837158203125e-06
86fbc624ea435e56,a5_sft,1.7052224e-07,1.9073486328125e-06
86fbc624ea435e56,v6_sft,1.4643079e-07,1.9073486328125e-06
86fbc624ea435e56,psi_sft,8.6603166e-07,5.7220458984375e-06
1b53682e2df854e1,official_il,3.5864014e-07,3.814697265625e-06
1b53682e2df854e1,a5_sft,2.0615448e-07,1.9073486328125e-06
1b53682e2df854e1,v6_sft,1.5829212e-07,1.9073486328125e-06
1b53682e2df854e1,psi_sft,9.851559e-07,4.291534423828125e-06
d45a215505f05382,official_il,4.897964e-07,3.814697265625e-06
d45a215505f05382,a5_sft,1.7436321e-07,3.814697265625e-06
d45a215505f05382,v6_sft,1.9239012e-07,3.814697265625e-06
d45a215505f05382,psi_sft,8.1934706e-07,4.291534423828125e-06
4775f8e1a53d5c6f,official_il,4.413279e-07,4.291534423828125e-06
4775f8e1a53d5c6f,a5_sft,1.9175714e-07,2.86102294921875e-06
4775f8e1a53d5c6f,v6_sft,1.7664058e-07,1.9073486328125e-06
4775f8e1a53d5c6f,psi_sft,8.221525e-07,4.76837158203125e-06
598efc24965e57ba,official_il,4.184041e-07,3.814697265625e-06
598efc24965e57ba,a5_sft,2.1828822e-07,3.814697265625e-06
598efc24965e57ba,v6_sft,1.679372e-07,3.814697265625e-06
598efc24965e57ba,psi_sft,9.5288993e-07,5.7220458984375e-06
f36236f06fb556a0,official_il,3.7011992e-07,3.814697265625e-06
f36236f06fb556a0,a5_sft,1.8217627e-07,5.7220458984375e-06
f36236f06fb556a0,v6_sft,2.4120646e-07,3.814697265625e-06
f36236f06fb556a0,psi_sft,8.159511e-07,5.7220458984375e-06
45e7e76381d85846,official_il,4.7127236e-07,3.814697265625e-06
45e7e76381d85846,a5_sft,2.024764e-07,1.9073486328125e-06
45e7e76381d85846,v6_sft,2.3070741e-07,1.9073486328125e-06
45e7e76381d85846,psi_sft,9.114865e-07,5.7220458984375e-06
bae3d8ac0ee85cad,official_il,3.8738426e-07,5.7220458984375e-06
bae3d8ac0ee85cad,a5_sft,1.83626e-07,1.9073486328125e-06
bae3d8ac0ee85cad,v6_sft,1.5228356e-07,1.9073486328125e-06
bae3d8ac0ee85cad,psi_sft,8.145332e-07,4.76837158203125e-06
4833c4f6d87f5021,official_il,4.078919e-07,3.814697265625e-06
4833c4f6d87f5021,a5_sft,1.2689121e-07,1.9073486328125e-06
4833c4f6d87f5021,v6_sft,1.8444689e-07,1.9073486328125e-06
4833c4f6d87f5021,psi_sft,9.975852e-07,5.7220458984375e-06
a507cbf8c4055960,official_il,3.7171287e-07,3.814697265625e-06
a507cbf8c4055960,a5_sft,2.9308825e-07,8.58306884765625e-06
a507cbf8c4055960,v6_sft,1.14139105e-07,1.9073486328125e-06
a507cbf8c4055960,psi_sft,8.021676e-07,4.76837158203125e-06
8d76cc7ca097546b,official_il,4.1604318e-07,4.291534423828125e-06
8d76cc7ca097546b,a5_sft,1.7644513e-07,9.5367431640625e-07
8d76cc7ca097546b,v6_sft,1.8517511e-07,1.9073486328125e-06
8d76cc7ca097546b,psi_sft,8.642511e-07,5.7220458984375e-06
007505437ed45b53,official_il,3.700852e-07,3.814697265625e-06
007505437ed45b53,a5_sft,1.9071877e-07,1.9073486328125e-06
007505437ed45b53,v6_sft,1.609168e-07,1.9073486328125e-06
007505437ed45b53,psi_sft,9.3979224e-07,5.7220458984375e-06
99c663a7b4e15514,official_il,3.7497603e-07,4.291534423828125e-06
99c663a7b4e15514,a5_sft,1.8804748e-07,1.9073486328125e-06
99c663a7b4e15514,v6_sft,1.4346253e-07,1.9073486328125e-06
99c663a7b4e15514,psi_sft,8.4503836e-07,4.291534423828125e-06
113b14c30cc25989,official_il,3.6425615e-07,3.814697265625e-06
113b14c30cc25989,a5_sft,1.4951105e-07,1.9073486328125e-06
113b14c30cc25989,v6_sft,1.3204433e-07,1.9073486328125e-06
113b14c30cc25989,psi_sft,9.052922e-07,5.7220458984375e-06
a4b7b2795e615efb,official_il,3.709573e-07,3.814697265625e-06
a4b7b2795e615efb,a5_sft,3.843265e-07,9.5367431640625e-06
a4b7b2795e615efb,v6_sft,1.5292687e-07,9.5367431640625e-07
a4b7b2795e615efb,psi_sft,9.272346e-07,4.291534423828125e-06
fbec1eb4b33955e2,official_il,4.457565e-07,3.814697265625e-06
fbec1eb4b33955e2,a5_sft,1.6093396e-07,1.9073486328125e-06
fbec1eb4b33955e2,v6_sft,1.3036706e-07,1.9073486328125e-06
fbec1eb4b33955e2,psi_sft,9.399483e-07,4.76837158203125e-06
eba5b88270db545e,official_il,4.4413707e-07,4.291534423828125e-06
eba5b88270db545e,a5_sft,2.4580572e-07,2.86102294921875e-06
eba5b88270db545e,v6_sft,1.7676601e-07,1.9073486328125e-06
eba5b88270db545e,psi_sft,9.618169e-07,7.62939453125e-06
0481ff72500154f2,official_il,4.795763e-07,3.814697265625e-06
0481ff72500154f2,a5_sft,2.5084745e-07,3.814697265625e-06
0481ff72500154f2,v6_sft,2.2841985e-07,3.814697265625e-06
0481ff72500154f2,psi_sft,9.616685e-07,5.7220458984375e-06
de0fb293bb4859e7,official_il,4.1233503e-07,3.814697265625e-06
de0fb293bb4859e7,a5_sft,2.4165914e-07,2.1457672119140625e-06
de0fb293bb4859e7,v6_sft,2.2901159e-07,3.337860107421875e-06
de0fb293bb4859e7,psi_sft,7.926632e-07,6.198883056640625e-06
e5ba0fd6afc15419,official_il,5.753508e-07,3.814697265625e-06
e5ba0fd6afc15419,a5_sft,3.4107694e-07,3.814697265625e-06
e5ba0fd6afc15419,v6_sft,2.9177062e-07,3.814697265625e-06
e5ba0fd6afc15419,psi_sft,9.4917425e-07,4.291534423828125e-06
07bd6c8c7de152a6,official_il,4.7152696e-07,2.86102294921875e-06
07bd6c8c7de152a6,a5_sft,2.536409e-07,1.9073486328125e-06
07bd6c8c7de152a6,v6_sft,1.8176206e-07,1.9073486328125e-06
07bd6c8c7de152a6,psi_sft,8.5247257e-07,7.62939453125e-06
66c135a6ec7f53c4,official_il,4.0076714e-07,2.86102294921875e-06
66c135a6ec7f53c4,a5_sft,2.1349601e-07,1.430511474609375e-06
66c135a6ec7f53c4,v6_sft,1.6003455e-07,9.5367431640625e-07
66c135a6ec7f53c4,psi_sft,1.025352e-06,4.76837158203125e-06
84b13f58e18551a8,official_il,4.4634083e-07,3.814697265625e-06
84b13f58e18551a8,a5_sft,1.5574224e-07,1.9073486328125e-06
84b13f58e18551a8,v6_sft,1.9885718e-07,2.86102294921875e-06
84b13f58e18551a8,psi_sft,8.68534e-07,3.814697265625e-06
6b5978b04dc85323,official_il,3.3425806e-07,3.814697265625e-06
6b5978b04dc85323,a5_sft,2.125181e-07,1.9073486328125e-06
6b5978b04dc85323,v6_sft,9.368651e-08,9.5367431640625e-07
6b5978b04dc85323,psi_sft,8.494333e-07,4.76837158203125e-06
d4b1d28cb67b5618,official_il,4.5895894e-07,7.62939453125e-06
d4b1d28cb67b5618,a5_sft,2.7421638e-07,7.62939453125e-06
d4b1d28cb67b5618,v6_sft,2.9226257e-07,3.814697265625e-06
d4b1d28cb67b5618,psi_sft,9.5127757e-07,7.62939453125e-06
a2e11073e3025626,official_il,4.5497603e-07,4.76837158203125e-06
a2e11073e3025626,a5_sft,2.2897635e-07,1.9073486328125e-06
