model,epoch,optimizer_step,metric,value,wall_time
mts_8751,155,125891,train/dpsi_enabled_epoch,1.0,1783752447.0567682
mts_8751,155,125891,train/dpsi_loss_epoch,0.03283103182911873,1783752447.057669
mts_8751,155,125891,train/dpsi_pairwise_rank_loss_epoch,0.0,1783752447.0585485
mts_8751,155,125891,train/dpsi_invalid_repulsion_loss_epoch,0.0,1783752447.059397
mts_8751,155,125891,train/dpsi_preference_dpo_loss_epoch,0.0,1783752447.060273
mts_8751,155,125891,train/dpsi_loss_weight_effective_epoch,1.0,1783752447.061149
mts_8751,155,125891,train/dpsi_bc_loss_epoch,0.0,1783752447.0620198
mts_8751,155,125891,train/dpsi_per_sample_loss_mean_epoch,0.13274212181568146,1783752447.062868
mts_8751,155,125891,train/dpsi_target_norm_mean_epoch,0.6587134003639221,1783752447.0637252
mts_8751,155,125891,train/dpsi_effective_weight_sum_epoch,17.766660690307617,1783752447.0645895
mts_8751,155,125891,train/dpsi_zero_weight_ratio_epoch,0.04471961781382561,1783752447.0655074
mts_8751,155,125891,train/dpsi_sampled_weight_sum_mean_epoch,1.1104975938796997,1783752447.066328
mts_8751,155,125891,train/dpsi_sampled_real_ratio_epoch,0.9552803635597229,1783752447.0671978
mts_8751,155,125891,train/dpsi_support_count_mean_epoch,10.279151916503906,1783752447.0680647
mts_8751,155,125891,train/dpsi_pairwise_distance_mean_epoch,1.5813891887664795,1783752447.0689805
mts_8751,155,125891,train/dpsi_source_entropy_mean_epoch,0.7243210673332214,1783752447.069901
mts_8751,155,125891,train/dpsi_beta_mean_epoch,0.2709069550037384,1783752447.0707586
mts_8751,155,125891,train/dpsi_beta_max_epoch,0.39999672770500183,1783752447.0715482
mts_8751,155,125891,train/dpsi_low_support_ratio_epoch,0.0610332265496254,1783752447.072472
mts_8751,155,125891,train/dpsi_high_gt_saturated_ratio_epoch,0.0,1783752447.0733397
mts_8751,155,125891,train/dpsi_selected_has_improver_ratio_epoch,0.5115599036216736,1783752447.0741591
mts_8751,155,125891,train/dpsi_scene_weight_mean_epoch,1.1104975938796997,1783752447.0750425
mts_8751,155,125891,train/dpsi_anchor_weight_mean_epoch,0.8247122764587402,1783752447.0758703
mts_8751,155,125891,train/dpsi_pareto_weight_mean_epoch,0.28578540682792664,1783752447.0769184
mts_8751,155,125891,train/dpsi_effective_target_count_mean_epoch,1.841822624206543,1783752447.0779543
mts_8751,155,125891,train/dpsi_row_weight_sum_mean_epoch,1.1104975938796997,1783752447.0789118
mts_8751,155,125891,train/dpsi_zero_row_ratio_epoch,0.0,1783752447.079923
mts_8751,155,125891,train/dpsi_external_weight_ratio_epoch,0.2091539204120636,1783752447.080759
mts_8751,155,125891,train/dpsi_gt_weight_ratio_epoch,0.7349621653556824,1783752447.08164
mts_8751,155,125891,train/dpsi_il_weight_ratio_epoch,0.0,1783752447.082496
mts_8751,155,125891,train/dpsi_sampled_target_count_mean_epoch,3.8211214542388916,1783752447.083352
mts_8751,155,125891,train/dpsi_sampled_anchor_ratio_epoch,0.9896987080574036,1783752447.0842304
mts_8751,155,125891,train/dpsi_sampled_best_ratio_epoch,1.0,1783752447.085084
mts_8751,155,125891,train/awac_loss_epoch,0.03283103182911873,1783752447.0858653
mts_8751,155,125891,train/reward_mean_epoch,0.9730175733566284,1783752447.086905
mts_8751,155,125891,train/gt_reward_mean_epoch,0.9284936189651489,1783752447.0879881
mts_8751,155,125891,train/il_reward_mean_epoch,0.9284936189651489,1783752447.0959287
mts_8751,155,125891,train/best_selected_reward_mean_epoch,0.9839534759521484,1783752447.1246676
mts_8751,155,125891,train/valid_candidate_ratio_epoch,1.0,1783752447.1636727
mts_8751,155,125891,train/selected_valid_ratio_epoch,1.0,1783752447.1908255
