model,protocol,split,metric,mean,low,high,scenes,logs
a5_grpo_300,native_grpo,confirmation,positive_mass,1.700974702835083,1.284762157160343,2.1497785367119304,256,174
a5_grpo_300,native_grpo,confirmation,ep_only_strict_mass,0.0,0.0,0.0,256,174
a5_grpo_300,native_grpo,confirmation,ep_only_components_mass,0.6552104353904724,0.48325702989872416,0.8492557443666066,256,174
a5_grpo_300,native_grpo,confirmation,information_active,0.537109375,0.473381490726497,0.5992217898832685,256,174
a5_grpo_300,native_grpo,confirmation,positive_count,3.87890625,3.234259409594096,4.5605528109681375,256,174
a5_grpo_300,native_grpo,confirmation,feasible_comparison,1.0,1.0,1.0,256,174
a5_grpo_300,native_grpo,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,174
a5_grpo_300,native_grpo,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,174
a5_grpo_300,native_grpo,confirmation,positive_weighted_raw_progress_shift,0.6237907423405757,0.5010080820474899,0.7398225068536831,150,115
a5_grpo_300,native_grpo,confirmation,positive_weighted_end_speed_shift,0.25377870551350695,0.19309614849113713,0.3128636006940102,150,115
a5_grpo_300,native_grpo,confirmation,shadow_fixed_mass,0.9817630992620252,0.6117591011418955,1.4250054399275116,256,174
a5_grpo_300,native_grpo,confirmation,shadow_fixed_positive_disappeared,3.041015625,2.4595760054652467,3.6394119771834506,256,174
a5_grpo_300,native_grpo,confirmation,shadow_fixed_positive_flipped,3.041015625,2.459671970357454,3.5954309676863914,256,174
a5_grpo_300,native_grpo,confirmation,shadow_fixed_information_active,0.12109375,0.0836905491810458,0.15909303711270004,256,174
a5_grpo_300,native_grpo,confirmation,shadow_fixed_rank_changed,0.443359375,0.38270990113619596,0.5041506851703337,256,174
a5_grpo_300,native_grpo,confirmation,shadow_fixed_spearman,0.8722774465412824,0.8149199973980559,0.9238117891381069,64,58
a5_grpo_300,native_grpo,confirmation,shadow_full_mass,1.707453508861363,1.1170984029548026,2.3797851011859996,256,174
a5_grpo_300,native_grpo,confirmation,shadow_full_positive_disappeared,3.041015625,2.467479674796748,3.6234951305428926,256,174
a5_grpo_300,native_grpo,confirmation,shadow_full_positive_flipped,3.041015625,2.4770910679187597,3.612459565890019,256,174
a5_grpo_300,native_grpo,confirmation,shadow_full_information_active,0.12109375,0.08510527942085283,0.15985318035206647,256,174
a5_grpo_300,native_grpo,confirmation,shadow_full_rank_changed,0.46875,0.40573482454407794,0.529662271367077,256,174
a5_grpo_300,native_grpo,confirmation,shadow_full_spearman,0.834517779711905,0.7790854245685581,0.8878100775485112,64,58
a5_sft,deployment,calibration,all_infeasible,0.001953125,0.0,0.006384348461327737,256,162
a5_sft,deployment,calibration,mixed_feasible,0.015625,0.003861003861003861,0.030741463067282752,256,162
a5_sft,deployment,calibration,all_feasible,0.982421875,0.9655172413793104,0.9960003984063746,256,162
a5_sft,deployment,calibration,all_full_pdms,0.322265625,0.2638888888888889,0.38198087725984725,256,162
a5_sft,deployment,calibration,all_ep_saturated,0.330078125,0.2744360902255639,0.391217698588062,256,162
a5_sft,deployment,calibration,all_components_identical,0.32421875,0.2654298703035165,0.38354223982544355,256,162
a5_sft,deployment,calibration,ep_only_components,0.65625,0.5959785425101214,0.7131155705048658,256,162
a5_sft,deployment,calibration,ep_only_identical_gates,0.0703125,0.04347155126140634,0.1,256,162
a5_sft,deployment,calibration,positive_mass,0.7175076007843018,0.5169298140276517,0.9799799652107967,256,162
a5_sft,deployment,calibration,ep_only_strict_mass,0.0,0.0,0.0,256,162
a5_sft,deployment,calibration,ep_only_components_mass,0.5707281231880188,0.46160730527552163,0.6899395474607689,256,162
a5_sft,deployment,calibration,information_active,0.595703125,0.5386101003147128,0.6521785780929278,256,162
a5_sft,deployment,calibration,positive_count,2.966796875,2.452720877981334,3.5000902527075817,256,162
a5_sft,deployment,calibration,feasible_comparison,0.99609375,0.9874986924686193,1.0,256,162
a5_sft,deployment,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,162
a5_sft,deployment,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,162
a5_sft,deployment,calibration,positive_weighted_raw_progress_shift,0.43951582832683517,0.31499026298902766,0.5842700852240249,215,145
a5_sft,deployment,calibration,positive_weighted_end_speed_shift,0.1678059505420803,0.11699902527847013,0.2305738406294553,215,145
a5_sft,deployment,calibration,shadow_fixed_mass,0.1467794383841741,7.599696776972344e-08,0.3932688482820705,256,162
a5_sft,deployment,calibration,shadow_fixed_positive_disappeared,0.466796875,0.4096068548387097,0.5257602812119659,256,162
a5_sft,deployment,calibration,shadow_fixed_positive_flipped,0.365234375,0.30783582089552236,0.42355647908649297,256,162
a5_sft,deployment,calibration,shadow_fixed_information_active,0.01171875,0.001893760720411664,0.025532303152663458,256,162
a5_sft,deployment,calibration,shadow_fixed_rank_changed,0.65625,0.5964846077457795,0.7160025423728813,256,162
a5_sft,deployment,calibration,shadow_fixed_spearman,0.9599229104142505,0.8797687312427515,1.0,7,7
a5_sft,deployment,calibration,shadow_full_mass,0.1467793621122837,0.0,0.3823909627504586,256,162
a5_sft,deployment,calibration,shadow_full_positive_disappeared,1.99609375,1.654180396475771,2.3563703160638645,256,162
a5_sft,deployment,calibration,shadow_full_positive_flipped,0.18359375,0.13911252425418383,0.23251028806584362,256,162
a5_sft,deployment,calibration,shadow_full_information_active,0.009765625,0.0,0.022222222222222223,256,162
a5_sft,deployment,calibration,shadow_full_rank_changed,0.65625,0.5967671194114318,0.7154471544715447,256,162
a5_sft,deployment,calibration,shadow_full_spearman,0.9541951743552511,0.8625855230657533,1.0,7,7
a5_sft,deployment,confirmation,all_infeasible,0.0,0.0,0.0,256,174
