source,split,selector,comparator,metric,mean,low,high,scenes,logs
native_within_group,confirmation,C,A,evaluation_NC_fail,-0.001875,-0.005478158356901742,0.0,100,82
native_within_group,confirmation,C,A,selection_NC_fail,-0.00125,-0.0031565656565656565,0.0,100,82
native_within_group,confirmation,C,A,evaluation_DAC_fail,-0.0015625,-0.0051577669902912624,0.0018944225417439722,100,82
native_within_group,confirmation,C,A,selection_DAC_fail,-0.003125,-0.007646446211463308,0.0,100,82
native_within_group,confirmation,C,A,evaluation_TTC_fail,-0.001875,-0.00547680412371134,0.0,100,82
native_within_group,confirmation,C,A,selection_TTC_fail,-0.0015625,-0.004062839673913044,0.0,100,82
native_within_group,confirmation,C,A,evaluation_hard_fail,-0.003125,-0.00806572774503722,0.0012632771009059693,100,82
native_within_group,confirmation,C,A,selection_hard_fail,-0.00375,-0.008254716981132075,-0.00030048076923076925,100,82
native_within_group,confirmation,C,A,nominal_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,C,A,nominal_raw_progress,-0.00528726817850226,-0.022915536270294846,0.011601888111247837,100,82
native_within_group,confirmation,C,A,nominal_end_speed,0.0003935037650733109,-0.018960002156827947,0.015405751898011587,100,82
native_within_group,confirmation,C,A,nominal_EP,0.0,0.0,0.0,100,82
native_within_group,confirmation,C,A,evaluation_raw_progress,-0.005322443430664787,-0.023212833772114642,0.012367289630489244,100,82
native_within_group,confirmation,C,A,evaluation_end_speed,0.000422162427638183,-0.01898357355408049,0.015308860634318945,100,82
native_within_group,confirmation,C,A,evaluation_PDMS,0.0031257975681237304,-0.0009571817528459995,0.008065759852871668,100,82
native_within_group,confirmation,C,B,evaluation_risk,-0.003125,-0.007973754167508586,0.0010310978084415617,100,82
native_within_group,confirmation,C,B,selection_risk,-0.0040625,-0.00883853273299028,-0.00032216494845360824,100,82
native_within_group,confirmation,C,B,evaluation_NC_fail,-0.001875,-0.005366161616161616,0.0,100,82
native_within_group,confirmation,C,B,selection_NC_fail,-0.00125,-0.0031565656565656565,0.0,100,82
native_within_group,confirmation,C,B,evaluation_DAC_fail,-0.0015625,-0.005462078051959727,0.001838235294117647,100,82
native_within_group,confirmation,C,B,selection_DAC_fail,-0.003125,-0.007393304854679017,0.00030637254901960784,100,82
native_within_group,confirmation,C,B,evaluation_TTC_fail,-0.001875,-0.005420918367346939,0.0,100,82
native_within_group,confirmation,C,B,selection_TTC_fail,-0.0015625,-0.003941441441441441,0.0,100,82
native_within_group,confirmation,C,B,evaluation_hard_fail,-0.003125,-0.00811298076923077,0.000966746536726805,100,82
native_within_group,confirmation,C,B,selection_hard_fail,-0.00375,-0.008177570093457943,-0.0002874410377358222,100,82
native_within_group,confirmation,C,B,nominal_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,C,B,nominal_raw_progress,-0.00528726817850226,-0.02228540583999302,0.012852210878491152,100,82
native_within_group,confirmation,C,B,nominal_end_speed,0.0003935037650733109,-0.01810584763247127,0.015258395291830654,100,82
native_within_group,confirmation,C,B,nominal_EP,0.0,0.0,0.0,100,82
native_within_group,confirmation,C,B,evaluation_raw_progress,-0.005322443430664787,-0.023073178059554885,0.01222344659166215,100,82
native_within_group,confirmation,C,B,evaluation_end_speed,0.000422162427638183,-0.018286805832301516,0.015383715937072594,100,82
native_within_group,confirmation,C,B,evaluation_PDMS,0.0031257975681237304,-0.000986997992585344,0.007965191445449746,100,82
native_within_group,confirmation,D,A,evaluation_risk,-0.0053125,-0.010937902706185566,-0.0011901954177897566,100,82
native_within_group,confirmation,D,A,selection_risk,-0.0065625,-0.012436224489795918,-0.0016276041666666667,100,82
native_within_group,confirmation,D,A,evaluation_NC_fail,-0.001875,-0.005259982412714956,0.0,100,82
native_within_group,confirmation,D,A,selection_NC_fail,-0.00125,-0.003222488455756013,0.0,100,82
native_within_group,confirmation,D,A,evaluation_DAC_fail,-0.00375,-0.008464331765776698,-0.0003255208333333333,100,82
native_within_group,confirmation,D,A,selection_DAC_fail,-0.005625,-0.011185855263157895,-0.000986842105263158,100,82
native_within_group,confirmation,D,A,evaluation_TTC_fail,-0.001875,-0.005366161616161616,0.0,100,82
native_within_group,confirmation,D,A,selection_TTC_fail,-0.0015625,-0.0040225267486426065,0.0,100,82
native_within_group,confirmation,D,A,evaluation_hard_fail,-0.0053125,-0.011047979797979798,-0.0009282178217821782,100,82
native_within_group,confirmation,D,A,selection_hard_fail,-0.00625,-0.011948529411764705,-0.001577888257575756,100,82
native_within_group,confirmation,D,A,nominal_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,D,A,nominal_raw_progress,-0.0009157566946838891,-0.003436527847173189,0.001143980581134309,100,82
native_within_group,confirmation,D,A,nominal_end_speed,0.0009983101599170658,-0.001182227707958709,0.003607023736668361,100,82
native_within_group,confirmation,D,A,nominal_EP,0.0,0.0,0.0,100,82
native_within_group,confirmation,D,A,evaluation_raw_progress,-0.0019760870148269926,-0.00426089885571663,-0.00029861252681729944,100,82
