protocol,rule,partition,condition,selected_scenes,mean_margin,passes,interpretation
native_grpo,directional,FULL64,PSI_ADE_up,293,0.25345383774119434,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,FULL64,PSI_center_shift_larger,293,0.000336517158872857,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,RL_PDMS_up,293,4.9888518423881685,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,PSI_PDMS_up,293,1.2917472562448808,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,RL_PDMS_gain_larger,293,3.696104586143288,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,RL_feasible_up,293,-1.0000000000000717e-05,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,PSI_feasible_gain_larger,293,0.001163208191126279,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,RL_ADE_not_up,293,0.0023176218462478584,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,PSI_ADE_up,293,0.2528798501994423,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,A,PSI_center_shift_larger,293,0.01136640685790636,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,RL_PDMS_up,293,5.01063594906905,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,PSI_PDMS_up,293,0.9005469776650422,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,RL_PDMS_gain_larger,293,4.109088971404007,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,RL_feasible_up,293,0.0004166211604095537,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,PSI_feasible_gain_larger,293,-0.0010765529010238937,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,RL_ADE_not_up,293,0.003613356437292522,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,PSI_ADE_up,293,0.25402782528294643,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,directional,B,PSI_center_shift_larger,293,0.006794836221335296,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,RL_PDMS_gain_min,183,3.998128392201445,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,PSI_PDMS_gain_min,183,0.8983529738767196,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,PSI_PDMS_gain_max,183,0.0016470261232804729,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,RL_feasible_gain_min,183,0.017954918032786888,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,RL_feasible_gain_max,183,0.0010450819672131182,True,descriptive_only_selection_used_FULL64_including_both_halves
