run,path,step_from_name,bytes,sha256,epoch,global_step,state_dict_key_count
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=2700.ckpt,2700,596500713,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=300.ckpt,300,582725161,caf3aa73fdb3172e1b6257629914f66966ea980c9d0b7fe9e86c077aa49d162d,0.0,300.0,785.0
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=3000.ckpt,3000,596588137,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=3300.ckpt,3300,596177705,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=3600.ckpt,3600,596277993,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=3900.ckpt,3900,596373929,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=4200.ckpt,4200,596466281,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=4500.ckpt,4500,596555241,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=4800.ckpt,4800,596640425,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=5100.ckpt,5100,596240937,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=5400.ckpt,5400,596338601,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=5700.ckpt,5700,596432489,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=600.ckpt,600,582828329,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=6000.ckpt,6000,596524265,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=6300.ckpt,6300,596610153,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=6600.ckpt,6600,596202345,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=6900.ckpt,6900,596301865,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=7200.ckpt,7200,596397673,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=7500.ckpt,7500,596489577,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=7800.ckpt,7800,596578921,,,,
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=8100.ckpt,8100,596163689,8116c5574b78cfefce4836995617396fffeec42d98d921a2e463e5bdf12e9c3a,5.0,8100.0,785.0
a5,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_exact_b8g16_epoch155_r4_20260712T083012Z/step_checkpoints/step-step=900.ckpt,900,582931561,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/lightning_logs/version_0/checkpoints/epoch=0-step=1614.ckpt,1614,596153385,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/lightning_logs/version_0/checkpoints/epoch=1-step=3228.ckpt,3228,596153385,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=1200.ckpt,1200,583034793,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=1500.ckpt,1500,583137961,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=1800.ckpt,1800,596216553,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=2100.ckpt,2100,596315945,e2d5bd16aa2c2f26993c1aec131f0b45d55d636e5a6ca0fa06df30fb6adc4753,1.0,2100.0,785.0
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=2400.ckpt,2400,596412009,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=2700.ckpt,2700,596503593,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=300.ckpt,300,582725161,2a3b3ee14c24bf38e5cfeebe2923f7830e786ed74fae472b04e2e8ede37e82f0,0.0,300.0,785.0
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=3000.ckpt,3000,596592745,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=3300.ckpt,3300,596177769,2ae6d21a554427a43b36e561b5899dd1878cf4672c4287c39acb47d03e2dc42a,2.0,3300.0,785.0
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=600.ckpt,600,582828393,,,,
v6,/mnt/project/VLA-AD_last_vla_dev/outputs/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/hydra/training_recogdrive_agent/stage3_lfp_grpo_v1_v6_epoch165_formal_20260715T145650Z/step_checkpoints/step-step=900.ckpt,900,582931561,,,,
