run,tag,phase,step,mean,n
a5_lfp,train/lfp_advantage_clip_ratio_step,steps_1614_plus,8199,0.020700457606221547,659
a5_lfp,train/lfp_advantage_magnitude_mean_epoch,epoch_observation,1613,0.251993864774704,1
a5_lfp,train/lfp_advantage_magnitude_mean_epoch,epoch_observation,3227,0.27295178174972534,1
a5_lfp,train/lfp_advantage_magnitude_mean_epoch,epoch_observation,4841,0.23316287994384766,1
a5_lfp,train/lfp_advantage_magnitude_mean_epoch,epoch_observation,6455,0.2095348834991455,1
a5_lfp,train/lfp_advantage_magnitude_mean_epoch,epoch_observation,8069,0.19338662922382355,1
a5_lfp,train/lfp_advantage_magnitude_mean_step,steps_0_300,299,0.3265459651748339,30
a5_lfp,train/lfp_advantage_magnitude_mean_step,steps_301_1613,1609,0.23481431950367135,131
a5_lfp,train/lfp_advantage_magnitude_mean_step,steps_1614_plus,8199,0.22572373398699783,659
a5_lfp,train/lfp_all_infeasible_group_ratio_epoch,epoch_observation,1613,0.0038920301012694836,1
a5_lfp,train/lfp_all_infeasible_group_ratio_epoch,epoch_observation,3227,0.003940438386052847,1
a5_lfp,train/lfp_all_infeasible_group_ratio_epoch,epoch_observation,4841,0.004550383426249027,1
a5_lfp,train/lfp_all_infeasible_group_ratio_epoch,epoch_observation,6455,0.0040953452698886395,1
a5_lfp,train/lfp_all_infeasible_group_ratio_epoch,epoch_observation,8069,0.0039985282346606255,1
a5_lfp,train/lfp_all_infeasible_group_ratio_step,steps_0_300,299,0.0010416666666666667,30
a5_lfp,train/lfp_all_infeasible_group_ratio_step,steps_301_1613,1609,0.0036975190839694657,131
a5_lfp,train/lfp_all_infeasible_group_ratio_step,steps_1614_plus,8199,0.004338960546282246,659
a5_lfp,train/lfp_all_infeasible_rescue_ratio_epoch,epoch_observation,1613,0.0017838471103459597,1
a5_lfp,train/lfp_all_infeasible_rescue_ratio_epoch,epoch_observation,3227,0.0017451203893870115,1
a5_lfp,train/lfp_all_infeasible_rescue_ratio_epoch,epoch_observation,4841,0.002227993682026863,1
a5_lfp,train/lfp_all_infeasible_rescue_ratio_epoch,epoch_observation,6455,0.0018619055626913905,1
a5_lfp,train/lfp_all_infeasible_rescue_ratio_epoch,epoch_observation,8069,0.0018649310804903507,1
a5_lfp,train/lfp_all_infeasible_rescue_ratio_step,steps_0_300,299,0.000390625,30
a5_lfp,train/lfp_all_infeasible_rescue_ratio_step,steps_301_1613,1609,0.0011778387404580153,131
a5_lfp,train/lfp_all_infeasible_rescue_ratio_step,steps_1614_plus,8199,0.0019368242602427921,659
a5_lfp,train/lfp_dac_mean_epoch,epoch_observation,1613,0.987808346748352,1
a5_lfp,train/lfp_dac_mean_epoch,epoch_observation,3227,0.9846188426017761,1
a5_lfp,train/lfp_dac_mean_epoch,epoch_observation,4841,0.9861358404159546,1
a5_lfp,train/lfp_dac_mean_epoch,epoch_observation,6455,0.9864081740379333,1
a5_lfp,train/lfp_dac_mean_epoch,epoch_observation,8069,0.9874380230903625,1
a5_lfp,train/lfp_dac_mean_step,steps_0_300,299,0.98740234375,30
a5_lfp,train/lfp_dac_mean_step,steps_301_1613,1609,0.9873121421755725,131
a5_lfp,train/lfp_dac_mean_step,steps_1614_plus,8199,0.9860707004081135,659
a5_lfp,train/lfp_delta_scalar_mean_epoch,epoch_observation,1613,0.016986755654215813,1
a5_lfp,train/lfp_delta_scalar_mean_epoch,epoch_observation,3227,0.024132942780852318,1
a5_lfp,train/lfp_delta_scalar_mean_epoch,epoch_observation,4841,0.030781956389546394,1
a5_lfp,train/lfp_delta_scalar_mean_epoch,epoch_observation,6455,0.03440428152680397,1
a5_lfp,train/lfp_delta_scalar_mean_epoch,epoch_observation,8069,0.03757130727171898,1
a5_lfp,train/lfp_delta_scalar_mean_step,steps_0_300,299,0.008366151611941557,30
a5_lfp,train/lfp_delta_scalar_mean_step,steps_301_1613,1609,0.018764351603027633,131
a5_lfp,train/lfp_delta_scalar_mean_step,steps_1614_plus,8199,0.031145448002212417,659
a5_lfp,train/lfp_ep_mean_epoch,epoch_observation,1613,0.9527449011802673,1
a5_lfp,train/lfp_ep_mean_epoch,epoch_observation,3227,0.9521012306213379,1
a5_lfp,train/lfp_ep_mean_epoch,epoch_observation,4841,0.9573327898979187,1
a5_lfp,train/lfp_ep_mean_epoch,epoch_observation,6455,0.9595528841018677,1
a5_lfp,train/lfp_ep_mean_epoch,epoch_observation,8069,0.9621791839599609,1
a5_lfp,train/lfp_ep_mean_step,steps_0_300,299,0.9391733646392822,30
a5_lfp,train/lfp_ep_mean_step,steps_301_1613,1609,0.9564543534781187,131
a5_lfp,train/lfp_ep_mean_step,steps_1614_plus,8199,0.9577934552034948,659
a5_lfp,train/lfp_exact_kl_epoch,epoch_observation,1613,0.23195421695709229,1
a5_lfp,train/lfp_exact_kl_epoch,epoch_observation,3227,0.27163490653038025,1
a5_lfp,train/lfp_exact_kl_epoch,epoch_observation,4841,0.29102823138237,1
a5_lfp,train/lfp_exact_kl_epoch,epoch_observation,6455,0.29116570949554443,1
a5_lfp,train/lfp_exact_kl_epoch,epoch_observation,8069,0.281639963388443,1
a5_lfp,train/lfp_exact_kl_step,steps_0_300,299,0.27512311935424805,30
a5_lfp,train/lfp_exact_kl_step,steps_301_1613,1609,0.2215532053062934,131
a5_lfp,train/lfp_exact_kl_step,steps_1614_plus,8199,0.2829253605944253,659
a5_lfp,train/lfp_feasible_ratio_epoch,epoch_observation,1613,0.9701938033103943,1
a5_lfp,train/lfp_feasible_ratio_epoch,epoch_observation,3227,0.9628925919532776,1
a5_lfp,train/lfp_feasible_ratio_epoch,epoch_observation,4841,0.96650630235672,1
a5_lfp,train/lfp_feasible_ratio_epoch,epoch_observation,6455,0.9689321517944336,1
a5_lfp,train/lfp_feasible_ratio_epoch,epoch_observation,8069,0.9707141518592834,1
a5_lfp,train/lfp_feasible_ratio_step,steps_0_300,299,0.9761067708333333,30
a5_lfp,train/lfp_feasible_ratio_step,steps_301_1613,1609,0.9694432848282443,131
a5_lfp,train/lfp_feasible_ratio_step,steps_1614_plus,8199,0.9670492189968845,659
a5_lfp,train/lfp_nc_mean_epoch,epoch_observation,1613,0.9950699210166931,1
a5_lfp,train/lfp_nc_mean_epoch,epoch_observation,3227,0.9942209720611572,1
a5_lfp,train/lfp_nc_mean_epoch,epoch_observation,4841,0.9955415725708008,1
a5_lfp,train/lfp_nc_mean_epoch,epoch_observation,6455,0.9960063099861145,1
a5_lfp,train/lfp_nc_mean_epoch,epoch_observation,8069,0.9965687394142151,1
a5_lfp,train/lfp_nc_mean_step,steps_0_300,299,0.9966959635416667,30
a5_lfp,train/lfp_nc_mean_step,steps_301_1613,1609,0.9952774630248091,131
a5_lfp,train/lfp_nc_mean_step,steps_1614_plus,8199,0.9954809904641193,659
a5_lfp,train/lfp_negative_advantage_ratio_epoch,epoch_observation,1613,0.43770694732666016,1
a5_lfp,train/lfp_negative_advantage_ratio_epoch,epoch_observation,3227,0.4139899015426636,1
a5_lfp,train/lfp_negative_advantage_ratio_epoch,epoch_observation,4841,0.4151287078857422,1
a5_lfp,train/lfp_negative_advantage_ratio_epoch,epoch_observation,6455,0.4191986322402954,1
a5_lfp,train/lfp_negative_advantage_ratio_epoch,epoch_observation,8069,0.4121340215206146,1
a5_lfp,train/lfp_negative_advantage_ratio_step,steps_0_300,299,0.42578125,30
a5_lfp,train/lfp_negative_advantage_ratio_step,steps_301_1613,1609,0.4037452290076336,131
a5_lfp,train/lfp_negative_advantage_ratio_step,steps_1614_plus,8199,0.40593520525916393,659
a5_lfp,train/lfp_negative_fraction_mean_epoch,epoch_observation,1613,0.43770694732666016,1
a5_lfp,train/lfp_negative_fraction_mean_epoch,epoch_observation,3227,0.4139899015426636,1
a5_lfp,train/lfp_negative_fraction_mean_epoch,epoch_observation,4841,0.4151287078857422,1
a5_lfp,train/lfp_negative_fraction_mean_epoch,epoch_observation,6455,0.4191986322402954,1
a5_lfp,train/lfp_negative_fraction_mean_epoch,epoch_observation,8069,0.4121340215206146,1
a5_lfp,train/lfp_negative_fraction_mean_step,steps_0_300,299,0.42578125,30
a5_lfp,train/lfp_negative_fraction_mean_step,steps_301_1613,1609,0.4037452290076336,131
a5_lfp,train/lfp_negative_fraction_mean_step,steps_1614_plus,8199,0.40593520525916393,659
a5_lfp,train/lfp_positive_advantage_ratio_epoch,epoch_observation,1613,0.36431506276130676,1
a5_lfp,train/lfp_positive_advantage_ratio_epoch,epoch_observation,3227,0.3985893726348877,1
a5_lfp,train/lfp_positive_advantage_ratio_epoch,epoch_observation,4841,0.40109026432037354,1
a5_lfp,train/lfp_positive_advantage_ratio_epoch,epoch_observation,6455,0.4026665687561035,1
a5_lfp,train/lfp_positive_advantage_ratio_epoch,epoch_observation,8069,0.41543909907341003,1
a5_lfp,train/lfp_positive_advantage_ratio_step,steps_0_300,299,0.32978515625,30
a5_lfp,train/lfp_positive_advantage_ratio_step,steps_301_1613,1609,0.41737983062977096,131
a5_lfp,train/lfp_positive_advantage_ratio_step,steps_1614_plus,8199,0.4122747110940618,659
a5_lfp,train/lfp_positive_fraction_mean_epoch,epoch_observation,1613,0.36431506276130676,1
a5_lfp,train/lfp_positive_fraction_mean_epoch,epoch_observation,3227,0.3985893726348877,1
a5_lfp,train/lfp_positive_fraction_mean_epoch,epoch_observation,4841,0.40109026432037354,1
a5_lfp,train/lfp_positive_fraction_mean_epoch,epoch_observation,6455,0.4026665687561035,1
a5_lfp,train/lfp_positive_fraction_mean_epoch,epoch_observation,8069,0.41543909907341003,1
a5_lfp,train/lfp_positive_fraction_mean_step,steps_0_300,299,0.32978515625,30
a5_lfp,train/lfp_positive_fraction_mean_step,steps_301_1613,1609,0.41737983062977096,131
a5_lfp,train/lfp_positive_fraction_mean_step,steps_1614_plus,8199,0.4122747110940618,659
a5_lfp,train/lfp_ref_scalar_mean_epoch,epoch_observation,1613,0.9388867616653442,1
a5_lfp,train/lfp_ref_scalar_mean_epoch,epoch_observation,3227,0.928299605846405,1
a5_lfp,train/lfp_ref_scalar_mean_epoch,epoch_observation,4841,0.9280554056167603,1
a5_lfp,train/lfp_ref_scalar_mean_epoch,epoch_observation,6455,0.9270699620246887,1
a5_lfp,train/lfp_ref_scalar_mean_epoch,epoch_observation,8069,0.9271381497383118,1
a5_lfp,train/lfp_ref_scalar_mean_step,steps_0_300,299,0.9389162878195445,30
a5_lfp,train/lfp_ref_scalar_mean_step,steps_301_1613,1609,0.9395860196979902,131
a5_lfp,train/lfp_ref_scalar_mean_step,steps_1614_plus,8199,0.9280340437281295,659
a5_lfp,train/lfp_reference_kl_coeff_epoch,epoch_observation,1613,0.005000085104256868,1
a5_lfp,train/lfp_reference_kl_coeff_epoch,epoch_observation,3227,0.005000085104256868,1
a5_lfp,train/lfp_reference_kl_coeff_epoch,epoch_observation,4841,0.005000085104256868,1
a5_lfp,train/lfp_reference_kl_coeff_epoch,epoch_observation,6455,0.005000085104256868,1
a5_lfp,train/lfp_reference_kl_coeff_epoch,epoch_observation,8069,0.005000085104256868,1
a5_lfp,train/lfp_reference_kl_coeff_step,steps_0_300,299,0.004999999422580004,30
a5_lfp,train/lfp_reference_kl_coeff_step,steps_301_1613,1609,0.004999999422580004,131
a5_lfp,train/lfp_reference_kl_coeff_step,steps_1614_plus,8199,0.004999999422580004,659
a5_lfp,train/lfp_sampler_entropy,steps_301_1613,1613,11.272994041442871,1
a5_lfp,train/lfp_sampler_entropy,steps_1614_plus,8069,11.25901746749878,4
a5_lfp,train/lfp_sampler_priority_max_to_median,steps_301_1613,1613,6.134685039520264,1
a5_lfp,train/lfp_sampler_priority_max_to_median,steps_1614_plus,8069,5.523655414581299,4
a5_lfp,train/lfp_sampler_uniform_ratio_actual,steps_301_1613,1613,1.0,1
a5_lfp,train/lfp_sampler_uniform_ratio_actual,steps_1614_plus,8069,0.20003291964530945,4
a5_lfp,train/lfp_sampler_unseen_scene_ratio,steps_301_1613,1613,0.0,1
a5_lfp,train/lfp_sampler_unseen_scene_ratio,steps_1614_plus,8069,0.0,4
a5_lfp,train/lfp_scalar_mean_epoch,epoch_observation,1613,0.9558735489845276,1
a5_lfp,train/lfp_scalar_mean_epoch,epoch_observation,3227,0.9524325132369995,1
a5_lfp,train/lfp_scalar_mean_epoch,epoch_observation,4841,0.9588372707366943,1
a5_lfp,train/lfp_scalar_mean_epoch,epoch_observation,6455,0.9614739418029785,1
a5_lfp,train/lfp_scalar_mean_epoch,epoch_observation,8069,0.9647088646888733,1
a5_lfp,train/lfp_scalar_mean_step,steps_0_300,299,0.9472824335098267,30
a5_lfp,train/lfp_scalar_mean_step,steps_301_1613,1609,0.9583503754084347,131
a5_lfp,train/lfp_scalar_mean_step,steps_1614_plus,8199,0.9591794869606701,659
a5_lfp,train/lfp_ttc_mean_epoch,epoch_observation,1613,0.9639478921890259,1
a5_lfp,train/lfp_ttc_mean_epoch,epoch_observation,3227,0.958501935005188,1
a5_lfp,train/lfp_ttc_mean_epoch,epoch_observation,4841,0.9673389196395874,1
a5_lfp,train/lfp_ttc_mean_epoch,epoch_observation,6455,0.9713332056999207,1
a5_lfp,train/lfp_ttc_mean_epoch,epoch_observation,8069,0.9752040505409241,1
a5_lfp,train/lfp_ttc_mean_step,steps_0_300,299,0.96181640625,30
a5_lfp,train/lfp_ttc_mean_step,steps_301_1613,1609,0.9652164837786259,131
a5_lfp,train/lfp_ttc_mean_step,steps_1614_plus,8199,0.9678341948931786,659
a5_lfp,train/lfp_zero_advantage_ratio_epoch,epoch_observation,1613,0.19797798991203308,1
a5_lfp,train/lfp_zero_advantage_ratio_epoch,epoch_observation,3227,0.18742072582244873,1
a5_lfp,train/lfp_zero_advantage_ratio_epoch,epoch_observation,4841,0.18378102779388428,1
a5_lfp,train/lfp_zero_advantage_ratio_epoch,epoch_observation,6455,0.17813479900360107,1
a5_lfp,train/lfp_zero_advantage_ratio_epoch,epoch_observation,8069,0.17242684960365295,1
a5_lfp,train/lfp_zero_advantage_ratio_step,steps_0_300,299,0.24443359375,30
a5_lfp,train/lfp_zero_advantage_ratio_step,steps_301_1613,1609,0.1788749403625954,131
a5_lfp,train/lfp_zero_advantage_ratio_step,steps_1614_plus,8199,0.18179008373722141,659
a5_lfp,train/reference_kl_coeff_epoch,epoch_observation,1613,0.005000085104256868,1
a5_lfp,train/reference_kl_coeff_epoch,epoch_observation,3227,0.005000085104256868,1
a5_lfp,train/reference_kl_coeff_epoch,epoch_observation,4841,0.005000085104256868,1
a5_lfp,train/reference_kl_coeff_epoch,epoch_observation,6455,0.005000085104256868,1
a5_lfp,train/reference_kl_coeff_epoch,epoch_observation,8069,0.005000085104256868,1
a5_lfp,train/reference_kl_coeff_step,steps_0_300,299,0.004999999422580004,30
a5_lfp,train/reference_kl_coeff_step,steps_301_1613,1609,0.004999999422580004,131
a5_lfp,train/reference_kl_coeff_step,steps_1614_plus,8199,0.004999999422580004,659
a5_lfp,train/reference_kl_loss_epoch,epoch_observation,1613,0.23195421695709229,1
a5_lfp,train/reference_kl_loss_epoch,epoch_observation,3227,0.27163490653038025,1
a5_lfp,train/reference_kl_loss_epoch,epoch_observation,4841,0.29102823138237,1
a5_lfp,train/reference_kl_loss_epoch,epoch_observation,6455,0.29116570949554443,1
a5_lfp,train/reference_kl_loss_epoch,epoch_observation,8069,0.281639963388443,1
a5_lfp,train/reference_kl_loss_step,steps_0_300,299,0.27512311935424805,30
a5_lfp,train/reference_kl_loss_step,steps_301_1613,1609,0.2215532053062934,131
a5_lfp,train/reference_kl_loss_step,steps_1614_plus,8199,0.2829253605944253,659
a5_lfp,train/reward_epoch,epoch_observation,1613,0.9558735489845276,1
a5_lfp,train/reward_epoch,epoch_observation,3227,0.9524325132369995,1
a5_lfp,train/reward_epoch,epoch_observation,4841,0.9588372707366943,1
a5_lfp,train/reward_epoch,epoch_observation,6455,0.9614739418029785,1
a5_lfp,train/reward_epoch,epoch_observation,8069,0.9647088646888733,1
a5_lfp,train/reward_step,steps_0_300,299,0.9472824335098267,30
a5_lfp,train/reward_step,steps_301_1613,1609,0.9583503754084347,131
a5_lfp,train/reward_step,steps_1614_plus,8199,0.9591794869606701,659
official_original,epoch,steps_0_300,299,0.0,6
official_original,epoch,steps_301_1613,1599,0.2222222222222222,27
official_original,epoch,steps_1614_plus,13299,5.091286307053942,241
official_original,train/bc_loss_epoch,epoch_observation,1329,-0.10019422322511673,1
official_original,train/bc_loss_epoch,epoch_observation,2659,-0.10117693245410919,1
official_original,train/bc_loss_epoch,epoch_observation,3989,-0.10180512815713882,1
official_original,train/bc_loss_epoch,epoch_observation,5319,-0.1023135781288147,1
official_original,train/bc_loss_epoch,epoch_observation,6649,-0.10338567197322845,1
official_original,train/bc_loss_epoch,epoch_observation,7979,-0.10483340919017792,1
official_original,train/bc_loss_epoch,epoch_observation,9309,-0.10575275123119354,1
official_original,train/bc_loss_epoch,epoch_observation,10639,-0.10523601621389389,1
official_original,train/bc_loss_epoch,epoch_observation,11969,-0.10626933723688126,1
official_original,train/bc_loss_epoch,epoch_observation,13299,-0.10774058103561401,1
official_original,train/bc_loss_step,steps_0_300,299,-0.09302778169512749,6
official_original,train/bc_loss_step,steps_301_1613,1599,-0.09832182182715489,26
official_original,train/bc_loss_step,steps_1614_plus,13299,-0.10523573826584551,234
official_original,train/reward_epoch,epoch_observation,1329,0.7659486532211304,1
official_original,train/reward_epoch,epoch_observation,2659,0.7819413542747498,1
official_original,train/reward_epoch,epoch_observation,3989,0.7894821763038635,1
official_original,train/reward_epoch,epoch_observation,5319,0.7933908104896545,1
official_original,train/reward_epoch,epoch_observation,6649,0.7991524934768677,1
official_original,train/reward_epoch,epoch_observation,7979,0.8042013049125671,1
official_original,train/reward_epoch,epoch_observation,9309,0.8085820078849792,1
official_original,train/reward_epoch,epoch_observation,10639,0.8125090599060059,1
official_original,train/reward_epoch,epoch_observation,11969,0.8153508305549622,1
official_original,train/reward_epoch,epoch_observation,13299,0.817207932472229,1
official_original,train/reward_step,steps_0_300,299,0.7584491670131683,6
official_original,train/reward_step,steps_301_1613,1599,0.7702836187986227,26
official_original,train/reward_step,steps_1614_plus,13299,0.8011078668965234,234
psi_sr,epoch,steps_0_300,299,0.0,6
psi_sr,epoch,steps_301_1613,1599,0.2222222222222222,27
psi_sr,epoch,steps_1614_plus,26599,10.097087378640778,515
psi_sr,train/base_reward_epoch,epoch_observation,1329,0.7724456787109375,1
psi_sr,train/base_reward_epoch,epoch_observation,2659,0.7903929948806763,1
psi_sr,train/base_reward_epoch,epoch_observation,3989,0.7967483997344971,1
psi_sr,train/base_reward_epoch,epoch_observation,5319,0.8015736937522888,1
psi_sr,train/base_reward_epoch,epoch_observation,6649,0.8061361312866211,1
psi_sr,train/base_reward_epoch,epoch_observation,7979,0.8107311129570007,1
psi_sr,train/base_reward_epoch,epoch_observation,9309,0.8146613836288452,1
psi_sr,train/base_reward_epoch,epoch_observation,10639,0.8170271515846252,1
psi_sr,train/base_reward_epoch,epoch_observation,11969,0.8208191990852356,1
psi_sr,train/base_reward_epoch,epoch_observation,13299,0.8230722546577454,1
psi_sr,train/base_reward_epoch,epoch_observation,14629,0.8266378045082092,1
psi_sr,train/base_reward_epoch,epoch_observation,15959,0.8292104005813599,1
psi_sr,train/base_reward_epoch,epoch_observation,17289,0.8315812945365906,1
psi_sr,train/base_reward_epoch,epoch_observation,18619,0.8333861827850342,1
psi_sr,train/base_reward_epoch,epoch_observation,19949,0.8360801339149475,1
psi_sr,train/base_reward_epoch,epoch_observation,21279,0.8375908136367798,1
psi_sr,train/base_reward_epoch,epoch_observation,22609,0.8397175669670105,1
psi_sr,train/base_reward_epoch,epoch_observation,23939,0.8411944508552551,1
psi_sr,train/base_reward_epoch,epoch_observation,25269,0.8414596319198608,1
psi_sr,train/base_reward_epoch,epoch_observation,26599,0.842593789100647,1
psi_sr,train/base_reward_step,steps_0_300,299,0.7015791237354279,6
psi_sr,train/base_reward_step,steps_301_1613,1599,0.798910881464298,26
psi_sr,train/base_reward_step,steps_1614_plus,26599,0.8238693709373475,500
psi_sr,train/bc_coeff_epoch,epoch_observation,1329,0.10000323504209518,1
psi_sr,train/bc_coeff_epoch,epoch_observation,2659,0.08999685198068619,1
psi_sr,train/bc_coeff_epoch,epoch_observation,3989,0.07999560981988907,1
psi_sr,train/bc_coeff_epoch,epoch_observation,5319,0.07000471651554108,1
psi_sr,train/bc_coeff_epoch,epoch_observation,6649,0.059998173266649246,1
psi_sr,train/bc_coeff_epoch,epoch_observation,7979,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,9309,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,10639,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,11969,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,13299,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,14629,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,15959,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,17289,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,18619,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,19949,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,21279,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,22609,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,23939,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,25269,0.05000161752104759,1
psi_sr,train/bc_coeff_epoch,epoch_observation,26599,0.05000161752104759,1
psi_sr,train/bc_coeff_step,steps_0_300,299,0.10000000894069672,6
psi_sr,train/bc_coeff_step,steps_301_1613,1599,0.09769231539506179,26
psi_sr,train/bc_coeff_step,steps_1614_plus,26599,0.05486000318080187,500
psi_sr,train/bc_loss_epoch,epoch_observation,1329,-0.1004113182425499,1
psi_sr,train/bc_loss_epoch,epoch_observation,2659,-0.09954513609409332,1
psi_sr,train/bc_loss_epoch,epoch_observation,3989,-0.10043558478355408,1
psi_sr,train/bc_loss_epoch,epoch_observation,5319,-0.10045739263296127,1
psi_sr,train/bc_loss_epoch,epoch_observation,6649,-0.09972713142633438,1
psi_sr,train/bc_loss_epoch,epoch_observation,7979,-0.0992932841181755,1
psi_sr,train/bc_loss_epoch,epoch_observation,9309,-0.09878596663475037,1
psi_sr,train/bc_loss_epoch,epoch_observation,10639,-0.0999566987156868,1
psi_sr,train/bc_loss_epoch,epoch_observation,11969,-0.10034447908401489,1
psi_sr,train/bc_loss_epoch,epoch_observation,13299,-0.10028502345085144,1
psi_sr,train/bc_loss_epoch,epoch_observation,14629,-0.10044115036725998,1
psi_sr,train/bc_loss_epoch,epoch_observation,15959,-0.10174708813428879,1
psi_sr,train/bc_loss_epoch,epoch_observation,17289,-0.10102462023496628,1
psi_sr,train/bc_loss_epoch,epoch_observation,18619,-0.10226956754922867,1
psi_sr,train/bc_loss_epoch,epoch_observation,19949,-0.1034107655286789,1
psi_sr,train/bc_loss_epoch,epoch_observation,21279,-0.10239087790250778,1
psi_sr,train/bc_loss_epoch,epoch_observation,22609,-0.10355467349290848,1
psi_sr,train/bc_loss_epoch,epoch_observation,23939,-0.10392006486654282,1
psi_sr,train/bc_loss_epoch,epoch_observation,25269,-0.10401011258363724,1
psi_sr,train/bc_loss_epoch,epoch_observation,26599,-0.1044275313615799,1
psi_sr,train/bc_loss_step,steps_0_300,299,-0.10151685525973637,6
psi_sr,train/bc_loss_step,steps_301_1613,1599,-0.11097377510024951,26
psi_sr,train/bc_loss_step,steps_1614_plus,26599,-0.1021504363459535,500
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,1329,0.7724456787109375,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,2659,0.7903929948806763,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,3989,0.7967483997344971,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,5319,0.8015736937522888,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,6649,0.8061361312866211,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,7979,0.8107311129570007,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,9309,0.8146613836288452,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,10639,0.8170271515846252,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,11969,0.8208191990852356,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,13299,0.8230722546577454,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,14629,0.8266378045082092,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,15959,0.8292104005813599,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,17289,0.8315812945365906,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,18619,0.8333861827850342,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,19949,0.8360801339149475,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,21279,0.8375908136367798,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,22609,0.8397175669670105,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,23939,0.8411944508552551,1
psi_sr,train/core_pareto_pdms_formula_mean_epoch,epoch_observation,25269,0.8414596319198608,1
