source,unique_candidates,covered_scenes,scene_denominator,mean_unique_per_covered_scene,raw_mean_PDMS,raw_median_PDMS,raw_mean_p_A,raw_mean_p_B,raw_hard_safe_fraction,raw_conservative_feasible_fraction,raw_local_gain_primary,PDMS_P10,PDMS_P25,PDMS_P50,PDMS_P75,PDMS_P90,p_A_P10,p_A_P25,p_A_P50,p_A_P75,p_A_P90,p_B_P10,p_B_P25,p_B_P50,p_B_P75,p_B_P90,score_selected_count,score_selected_scene_count,score_selected_fraction,score_PDMS,score_p_B,score_local_gain,score_strict_fraction,score_fallback_fraction,pareto_selected_count,pareto_selected_scene_count,pareto_selected_fraction,pareto_PDMS,pareto_p_B,pareto_local_gain,pareto_strict_fraction,pareto_fallback_fraction,gt_geometry_selected_count,gt_geometry_selected_scene_count,gt_geometry_selected_fraction,gt_geometry_PDMS,gt_geometry_p_B,gt_geometry_local_gain,gt_geometry_strict_fraction,gt_geometry_fallback_fraction,grpo_mass_pc_selected_count,grpo_mass_pc_selected_scene_count,grpo_mass_pc_selected_fraction,grpo_mass_pc_PDMS,grpo_mass_pc_p_B,grpo_mass_pc_local_gain,grpo_mass_pc_strict_fraction,grpo_mass_pc_fallback_fraction,generated_pre_dedup,table,variant,pool_type,method,full_scene_denominator,observed_scene_count,nonempty_scene_count,candidate_denominator,local_gain_candidate_denominator,local_gain_scene_denominator,valid_unique_count,unique_parent_count,strict_count,strict_16_scene_fraction,empty_scene,insufficient_scene,candidate_PDMS,median_PDMS,min_PDMS,PDMS_gain_over_b_s,conservative_feasible_fraction,hard_safe_fraction,mean_candidate_p_B,median_candidate_p_B,P10_candidate_p_B,fraction_candidate_p_B_ge_3percent,mean_candidate_p_B_safe,mean_candidate_p_B_quality,candidate_local_gain,candidate_local_gain_median,fraction_local_gain_ge_0_5point,local_gain_defined_candidate_count,local_gain_defined_scene_count,local_gain_all_hits_descriptive,zero_hit_fraction,external_source_fraction,C_overlap_fraction,near_duplicate_representatives_0_02m,near_duplicate_representatives_0_10m,fallback_fraction,selection_optimism,sum_individual_mass,pairwise_ADE,PoolMass,GroupPoolHit,GroupPoolHit_ci_low,GroupPoolHit_ci_high,QualityMatchedPoolMass,source_GT_fraction,source_GT_structured_fraction,source_ddv2_fraction,source_drivor_fraction,source_IL_native_C_fraction,level_0_fraction,level_1_fraction,level_2_fraction,level_3_fraction,NC,DAC,EP,TTC,Comfort,DDC,epsilon,pmin,gt_geometry_radius
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,strict,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,16.0,1.0,0.0,0.0,96.78550848219804,96.72514048674238,96.0895338364997,27.755960222008827,0.9670625,1.0,6.4697265625e-06,4.8828125e-07,0.0,0.0,5.31005859375e-06,4.94384765625e-06,,,,0.0,0.0,11.286626080862993,0.9935,0.5723125,0.0,15.192,13.492,0.0,4.8828125e-07,0.000103515625,0.6442813260376261,5.46875e-05,0.0004375,8.03733578497487e-05,0.0299060880789193,4.296875e-05,0.0001875,0.3645625,0.23925,0.3330625,0.0629375,1.0,0.0,0.0,0.0,1.0,1.0,0.9228522035727524,1.0,1.0,0.9786875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,operational,grpo_mass_pc,1000.0,1000.0,1000.0,16000.0,0.0,0.0,321.0,16.0,0.0,0.0,0.0,0.0,99.23711672669108,99.23297819821492,98.68291526285124,30.20756846650189,0.9438125,1.0,1.28173828125e-06,0.0,0.0,0.0,6.7138671875e-07,6.7138671875e-07,,,,0.0,0.0,28.08957525665725,0.9986875,0.5959375,0.0,15.941,15.502,1.0,-7.9345703125e-07,2.05078125e-05,2.0098191141542934,9.765625e-06,7.8125e-05,1.3804318928742413e-05,0.0292748493051619,5.859375e-06,6.25e-05,0.061875,0.200625,0.3953125,0.342125,0.0,1.0,0.0,0.0,1.0,1.0,0.981690801440586,1.0,1.0,0.9579375,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,primary,strict,grpo_mass_pc,1000.0,1000.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0291369562735084,0.0,,,,,,,,,,,,,,,,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,operational,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,99.18108255776808,99.18816456715491,98.5679829940782,30.15153429757889,0.93775,1.0,2.3193359375e-06,0.0,0.0,0.0,1.708984375e-06,1.64794921875e-06,,,,0.0,0.0,14.249031999198934,0.997625,0.8470625,0.0,15.906,15.348,0.0,-1.220703125e-06,3.7109375e-05,1.7237376201797583,1.953125e-05,0.00015625,2.7608637857484825e-05,0.0294127423368154,1.46484375e-05,0.000125,0.1528125,0.348125,0.4989375,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.980345981386434,1.0,1.0,0.95396875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,strict,score,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,99.18108255776808,99.18816456715491,98.5679829940782,30.15153429757889,0.93775,1.0,2.3193359375e-06,0.0,0.0,0.0,1.708984375e-06,1.64794921875e-06,,,,0.0,0.0,14.249031999198934,0.997625,0.8470625,0.0,15.906,15.348,0.0,-1.220703125e-06,3.7109375e-05,1.7237376201797583,1.953125e-05,0.00015625,2.7608637857484825e-05,0.0294127423368154,1.46484375e-05,0.000125,0.1528125,0.348125,0.4989375,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.980345981386434,1.0,1.0,0.95396875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,operational,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,98.23852648766372,98.53051707918486,95.21068705518869,29.208978227474542,0.9461875,1.0,2.197265625e-06,0.0,0.0,0.0,1.52587890625e-06,1.46484375e-06,,,,0.0,0.0,12.59063677230763,0.99775,0.84875,0.0,15.924,15.419,0.0,-1.220703125e-06,3.515625e-05,1.7186776366926326,1.953125e-05,0.00015625,2.7608637857484825e-05,0.0294127423368154,1.46484375e-05,0.000125,0.151125,0.350125,0.498625,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9823496357039296,0.979125,0.990625,0.97709375,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,strict,pareto,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,98.23852648766372,98.53051707918486,95.21068705518869,29.208978227474542,0.9461875,1.0,2.197265625e-06,0.0,0.0,0.0,1.52587890625e-06,1.46484375e-06,,,,0.0,0.0,12.59063677230763,0.99775,0.84875,0.0,15.924,15.419,0.0,-1.220703125e-06,3.515625e-05,1.7186776366926326,1.953125e-05,0.00015625,2.7608637857484825e-05,0.0294127423368154,1.46484375e-05,0.000125,0.151125,0.350125,0.498625,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9823496357039296,0.979125,0.990625,0.97709375,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,operational,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,96.76887299964596,96.70391710346664,96.06905995527715,27.73932473945676,0.9671875,1.0,7.080078125e-06,4.8828125e-07,0.0,0.0,5.9814453125e-06,5.67626953125e-06,,,,0.0,0.0,9.932874188388723,0.992875,0.61125,0.0,15.171,13.428,0.0,5.4931640625e-07,0.00011328125,0.5953004408259108,5.76171875e-05,0.0004609375,8.451465352837143e-05,0.0299474559884154,4.78515625e-05,0.0001875,0.3885625,0.2608125,0.3504375,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9224529519915028,1.0,1.0,0.97878125,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,strict,gt_geometry,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,16.0,1.0,0.0,0.0,96.76887299964596,96.70391710346664,96.06905995527715,27.73932473945676,0.9671875,1.0,7.080078125e-06,4.8828125e-07,0.0,0.0,5.9814453125e-06,5.67626953125e-06,,,,0.0,0.0,9.932874188388723,0.992875,0.61125,0.0,15.171,13.428,0.0,5.4931640625e-07,0.00011328125,0.5953004408259108,5.76171875e-05,0.0004609375,8.451465352837143e-05,0.0299474559884154,4.78515625e-05,0.0001875,0.3885625,0.2608125,0.3504375,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9224529519915028,1.0,1.0,0.97878125,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,operational,grpo_mass_pc,1000.0,1000.0,1000.0,16000.0,0.0,0.0,257.0,16.0,0.0,0.0,0.0,0.0,99.18108255776808,99.18816456715491,98.5679829940782,30.15153429757889,0.93775,1.0,2.3193359375e-06,0.0,0.0,0.0,1.708984375e-06,1.64794921875e-06,,,,0.0,0.0,14.249031999198934,0.997625,0.8470625,0.0,15.906,15.348,1.0,-1.220703125e-06,3.7109375e-05,1.7237376201797583,1.953125e-05,0.00015625,2.7608637857484825e-05,0.0294127423368154,1.46484375e-05,0.000125,0.1528125,0.348125,0.4989375,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.980345981386434,1.0,1.0,0.95396875,0.5,0.03,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_native,no_il_native,strict,grpo_mass_pc,1000.0,1000.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0291369562735084,0.0,,,,,,,,,,,,,,,,0.5,0.03,1.0
