variant,pool_type,comparator,metric,interpretation,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count
eps0.25_p0.01,operational,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,2.4516082444930616,0.7434145412787316,2.2577286832198933,2.644304681831504,0.3916196469624202,1.055831147081641,0.584,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.02325,0.0,-0.029,-0.0178125,0.0,0.0,0.034,0.0003332222592469177,3000,1000
eps0.25_p0.01,operational,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,strict,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,strict,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.01,strict,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.01,strict,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.01,strict,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,1.1038265228401956,0.0,0.8469447856440021,1.373393665111823,0.0,0.0,0.182,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.0023125,0.0,-0.0115640625,0.006876562500000006,0.0,0.0,0.068,0.6124625124958347,3000,1000
eps0.25_p0.03,operational,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,operational,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,2.4516082444930616,0.7434145412787316,2.260656807814602,2.6386917095669125,0.3876707878706915,1.0658821189234473,0.584,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.02325,0.0,-0.0290015625,-0.017875,0.0,0.0,0.034,0.0003332222592469177,3000,1000
eps0.25_p0.03,operational,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,strict,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,strict,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.03,strict,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.03,strict,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.03,strict,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,1.1038265228401956,0.0,0.850679578648242,1.376320514515274,0.0,0.0,0.182,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.0023125,0.0,-0.0111890625,0.0063765625000000055,0.0,0.0,0.068,0.6134621792735755,3000,1000
eps0.25_p0.05,operational,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,operational,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,2.4516082444930616,0.7434145412787316,2.2547129116899627,2.6521136222368185,0.38855014398370713,1.0658821189234473,0.584,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.02325,0.0,-0.0291875,-0.01775,0.0,0.0,0.034,0.0003332222592469177,3000,1000
eps0.25_p0.05,operational,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,strict,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,strict,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.25_p0.05,strict,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.25_p0.05,strict,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.25_p0.05,strict,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,4.2724609375e-07,0.0,0.0,1.15966796875e-06,0.0,0.0,0.003,0.16827724091969343,3000,1000
eps0.5_p0.01,operational,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,9.765625e-07,0.0,0.0,2.9296875e-06,0.0,0.0,0.001,0.6391202932355882,3000,1000
eps0.5_p0.01,operational,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,1.1038265228401956,0.0,0.8644391498128995,1.3671048440676623,0.0,0.0,0.182,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.0023125,0.0,-0.01125,0.006501562500000006,0.0,0.0,0.068,0.6064645118293902,3000,1000
eps0.5_p0.01,operational,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000
eps0.5_p0.01,operational,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-5.18798828125e-06,0.0,-7.01904296875e-06,-3.60107421875e-06,0.0,0.0,0.002,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,gt_geometry,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-4.4921875e-05,0.0,-5.95703125e-05,-3.22265625e-05,0.0,0.0,0.002,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,gt_geometry,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,2.4516082444930616,0.7434145412787316,2.26061224554987,2.6535388390407078,0.39473204536128037,1.0791430631343886,0.584,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,gt_geometry,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,gt_geometry,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-0.02325,0.0,-0.0288125,-0.017875,0.0,0.0,0.034,0.0003332222592469177,3000,1000
eps0.5_p0.01,operational,gt_geometry,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-3.7109375e-05,0.0,-4.98046875e-05,-2.5390625e-05,0.0,0.0,0.001,0.0003332222592469177,3000,1000
eps0.5_p0.01,strict,score,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,score,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-9.765625e-06,0.0,-1.66015625e-05,-3.90625e-06,0.0,0.0,0.0,0.003998667110963012,3000,1000
eps0.5_p0.01,strict,score,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,score,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.5_p0.01,strict,score,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,score,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-5.859375e-06,0.0,-1.07421875e-05,-1.953125e-06,0.0,0.0,0.0,0.02332555814728424,3000,1000
eps0.5_p0.01,strict,pareto,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,pareto,PoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-8.7890625e-06,0.0,-1.46484375e-05,-2.9296875e-06,0.0,0.0,0.0,0.004665111629456847,3000,1000
eps0.5_p0.01,strict,pareto,candidate_PDMS,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,pareto,strict_16_scene_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000
eps0.5_p0.01,strict,pareto,conservative_feasible_fraction,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
eps0.5_p0.01,strict,pareto,QualityMatchedPoolMass,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,1000,-5.859375e-06,0.0,-1.07421875e-05,-1.953125e-06,0.0,0.0,0.0,0.02299233588803732,3000,1000
eps0.5_p0.01,strict,gt_geometry,mean_candidate_p_B,PRESPECIFIED_SENSITIVITY_DESCRIPTIVE,0,,,,,,,,,3000,0
