variant,pool_type,comparator,metric,full_scene_denominator,pc_defined_scenes,baseline_defined_scenes,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count,log_cluster_ci_low,log_cluster_ci_high,log_cluster_count,Holm_p_primary_family12
primary,strict,gt_geometry,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
primary,strict,gt_geometry,conservative_feasible_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,gt_geometry,mean_candidate_p_B_quality,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,gt_geometry,QualityMatchedPoolMass,1000,1000,1000,1000,-4.296875e-05,0.0,-5.6640625e-05,-3.02734375e-05,0.0,0.0,0.0,0.0003332222592469177,3000,1000,-5.583439581576367e-05,-3.143784187537284e-05,512,
primary,strict,gt_geometry,external_source_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
primary,strict,gt_geometry,near_duplicate_representatives_0_10m,1000,1000,1000,1000,-13.492,-14.0,-13.651025,-13.338,-14.0,-13.0,0.0,0.0003332222592469177,3000,1000,-13.651447201564608,-13.332933054563721,512,
primary,strict,gt_geometry,fallback_fraction,1000,0,1000,0,,,,,,,,,3000,0,,,0,
no_il_native,operational,score,mean_candidate_p_B,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,PoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,candidate_PDMS,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,operational,score,conservative_feasible_fraction,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
