token,pool_type,comparator,pc_different_count,other_different_count,shared_count,unmatched_pc,unmatched_other,matched_pair_count
1bf169a6aaf65858,operational,pareto,0,0,16,0,0,0
1bf169a6aaf65858,operational,gt_geometry,13,13,3,9,9,4
3764407c90d65df3,strict,score,0,16,0,0,16,0
3764407c90d65df3,strict,pareto,0,16,0,0,16,0
3764407c90d65df3,strict,gt_geometry,0,16,0,0,16,0
3764407c90d65df3,operational,score,0,0,16,0,0,0
3764407c90d65df3,operational,pareto,0,0,16,0,0,0
3764407c90d65df3,operational,gt_geometry,10,10,6,10,10,0
38cfd81687975661,strict,score,0,16,0,0,16,0
38cfd81687975661,strict,pareto,0,16,0,0,16,0
38cfd81687975661,strict,gt_geometry,0,16,0,0,16,0
38cfd81687975661,operational,score,0,0,16,0,0,0
38cfd81687975661,operational,pareto,0,0,16,0,0,0
38cfd81687975661,operational,gt_geometry,16,16,0,16,16,0
42e6895442ab5601,strict,score,0,16,0,0,16,0
42e6895442ab5601,strict,pareto,0,16,0,0,16,0
42e6895442ab5601,strict,gt_geometry,0,16,0,0,16,0
42e6895442ab5601,operational,score,0,0,16,0,0,0
42e6895442ab5601,operational,pareto,0,0,16,0,0,0
42e6895442ab5601,operational,gt_geometry,15,15,1,9,9,6
b34272d337d350d2,strict,score,0,16,0,0,16,0
b34272d337d350d2,strict,pareto,0,16,0,0,16,0
b34272d337d350d2,strict,gt_geometry,0,16,0,0,16,0
b34272d337d350d2,operational,score,0,0,16,0,0,0
b34272d337d350d2,operational,pareto,0,0,16,0,0,0
b34272d337d350d2,operational,gt_geometry,16,16,0,16,16,0
b23ede9a183b5b71,strict,score,0,16,0,0,16,0
b23ede9a183b5b71,strict,pareto,0,16,0,0,16,0
b23ede9a183b5b71,strict,gt_geometry,0,16,0,0,16,0
b23ede9a183b5b71,operational,score,0,0,16,0,0,0
b23ede9a183b5b71,operational,pareto,0,0,16,0,0,0
b23ede9a183b5b71,operational,gt_geometry,16,16,0,16,16,0
fff951eab9f45288,strict,score,0,16,0,0,16,0
fff951eab9f45288,strict,pareto,0,16,0,0,16,0
fff951eab9f45288,strict,gt_geometry,0,16,0,0,16,0
fff951eab9f45288,operational,score,0,0,16,0,0,0
fff951eab9f45288,operational,pareto,0,0,16,0,0,0
fff951eab9f45288,operational,gt_geometry,16,16,0,16,16,0
4fa9113617d254d4,strict,score,0,16,0,0,16,0
4fa9113617d254d4,strict,pareto,0,16,0,0,16,0
4fa9113617d254d4,strict,gt_geometry,0,16,0,0,16,0
4fa9113617d254d4,operational,score,0,0,16,0,0,0
4fa9113617d254d4,operational,pareto,0,0,16,0,0,0
4fa9113617d254d4,operational,gt_geometry,15,15,1,8,8,7
988785170de957da,strict,score,0,16,0,0,16,0
988785170de957da,strict,pareto,0,16,0,0,16,0
988785170de957da,strict,gt_geometry,0,16,0,0,16,0
988785170de957da,operational,score,0,0,16,0,0,0
988785170de957da,operational,pareto,0,0,16,0,0,0
988785170de957da,operational,gt_geometry,16,16,0,16,16,0
046b1cc13f0d5f9d,strict,score,0,16,0,0,16,0
046b1cc13f0d5f9d,strict,pareto,0,16,0,0,16,0
046b1cc13f0d5f9d,strict,gt_geometry,0,16,0,0,16,0
046b1cc13f0d5f9d,operational,score,0,0,16,0,0,0
046b1cc13f0d5f9d,operational,pareto,0,0,16,0,0,0
046b1cc13f0d5f9d,operational,gt_geometry,15,15,1,13,13,2
d7fbd35a0f315447,strict,score,0,16,0,0,16,0
d7fbd35a0f315447,strict,pareto,0,16,0,0,16,0
d7fbd35a0f315447,strict,gt_geometry,0,16,0,0,16,0
d7fbd35a0f315447,operational,score,0,0,16,0,0,0
d7fbd35a0f315447,operational,pareto,0,0,16,0,0,0
d7fbd35a0f315447,operational,gt_geometry,16,16,0,14,14,2
951957b841e05cfa,strict,score,0,16,0,0,16,0
951957b841e05cfa,strict,pareto,0,16,0,0,16,0
951957b841e05cfa,strict,gt_geometry,0,16,0,0,16,0
951957b841e05cfa,operational,score,0,0,16,0,0,0
951957b841e05cfa,operational,pareto,0,0,16,0,0,0
951957b841e05cfa,operational,gt_geometry,16,16,0,16,16,0
61db822891625c3b,strict,score,0,16,0,0,16,0
61db822891625c3b,strict,pareto,0,16,0,0,16,0
61db822891625c3b,strict,gt_geometry,0,16,0,0,16,0
61db822891625c3b,operational,score,0,0,16,0,0,0
61db822891625c3b,operational,pareto,1,1,15,1,1,0
61db822891625c3b,operational,gt_geometry,16,16,0,16,16,0
759e9e451eba5b47,strict,score,0,16,0,0,16,0
759e9e451eba5b47,strict,pareto,0,16,0,0,16,0
759e9e451eba5b47,strict,gt_geometry,0,16,0,0,16,0
759e9e451eba5b47,operational,score,0,0,16,0,0,0
759e9e451eba5b47,operational,pareto,0,0,16,0,0,0
759e9e451eba5b47,operational,gt_geometry,15,15,1,10,10,5
9c05edf9d6e85716,strict,score,0,16,0,0,16,0
9c05edf9d6e85716,strict,pareto,0,16,0,0,16,0
9c05edf9d6e85716,strict,gt_geometry,0,16,0,0,16,0
9c05edf9d6e85716,operational,score,0,0,16,0,0,0
9c05edf9d6e85716,operational,pareto,0,0,16,0,0,0
9c05edf9d6e85716,operational,gt_geometry,16,16,0,14,14,2
467bbee636b65c84,strict,score,0,16,0,0,16,0
467bbee636b65c84,strict,pareto,0,16,0,0,16,0
467bbee636b65c84,strict,gt_geometry,0,16,0,0,16,0
467bbee636b65c84,operational,score,0,0,16,0,0,0
467bbee636b65c84,operational,pareto,0,0,16,0,0,0
467bbee636b65c84,operational,gt_geometry,12,12,4,11,11,1
4f6409df56a85592,strict,score,0,16,0,0,16,0
4f6409df56a85592,strict,pareto,0,16,0,0,16,0
4f6409df56a85592,strict,gt_geometry,0,16,0,0,16,0
4f6409df56a85592,operational,score,0,0,16,0,0,0
4f6409df56a85592,operational,pareto,1,1,15,1,1,0
4f6409df56a85592,operational,gt_geometry,9,9,7,9,9,0
16ddb1838af755e3,strict,score,0,16,0,0,16,0
16ddb1838af755e3,strict,pareto,0,16,0,0,16,0
16ddb1838af755e3,strict,gt_geometry,0,16,0,0,16,0
16ddb1838af755e3,operational,score,0,0,16,0,0,0
16ddb1838af755e3,operational,pareto,0,0,16,0,0,0
16ddb1838af755e3,operational,gt_geometry,16,16,0,16,16,0
2ce59f70a15b5ddf,strict,score,0,16,0,0,16,0
2ce59f70a15b5ddf,strict,pareto,0,16,0,0,16,0
2ce59f70a15b5ddf,strict,gt_geometry,0,16,0,0,16,0
2ce59f70a15b5ddf,operational,score,0,0,16,0,0,0
2ce59f70a15b5ddf,operational,pareto,0,0,16,0,0,0
2ce59f70a15b5ddf,operational,gt_geometry,15,15,1,6,6,9
461fb854eaa3583e,strict,score,0,16,0,0,16,0
461fb854eaa3583e,strict,pareto,0,16,0,0,16,0
461fb854eaa3583e,strict,gt_geometry,0,16,0,0,16,0
461fb854eaa3583e,operational,score,0,0,16,0,0,0
461fb854eaa3583e,operational,pareto,6,6,10,4,4,2
461fb854eaa3583e,operational,gt_geometry,15,15,1,13,13,2
8b800af555d35794,strict,score,0,16,0,0,16,0
8b800af555d35794,strict,pareto,0,16,0,0,16,0
8b800af555d35794,strict,gt_geometry,0,16,0,0,16,0
8b800af555d35794,operational,score,0,0,16,0,0,0
8b800af555d35794,operational,pareto,0,0,16,0,0,0
8b800af555d35794,operational,gt_geometry,14,14,2,11,11,3
2ab1b3941f7153cb,strict,score,0,16,0,0,16,0
2ab1b3941f7153cb,strict,pareto,0,16,0,0,16,0
2ab1b3941f7153cb,strict,gt_geometry,0,16,0,0,16,0
2ab1b3941f7153cb,operational,score,0,0,16,0,0,0
2ab1b3941f7153cb,operational,pareto,1,1,15,1,1,0
2ab1b3941f7153cb,operational,gt_geometry,16,16,0,16,16,0
4bc510a669d8549f,strict,score,0,16,0,0,16,0
4bc510a669d8549f,strict,pareto,0,16,0,0,16,0
4bc510a669d8549f,strict,gt_geometry,0,16,0,0,16,0
4bc510a669d8549f,operational,score,0,0,16,0,0,0
4bc510a669d8549f,operational,pareto,0,0,16,0,0,0
4bc510a669d8549f,operational,gt_geometry,6,6,10,2,2,4
3387bab95d41528a,strict,score,0,16,0,0,16,0
3387bab95d41528a,strict,pareto,0,16,0,0,16,0
3387bab95d41528a,strict,gt_geometry,0,16,0,0,16,0
3387bab95d41528a,operational,score,0,0,16,0,0,0
3387bab95d41528a,operational,pareto,5,5,11,2,2,3
3387bab95d41528a,operational,gt_geometry,15,15,1,11,11,4
e5acc98f52f458cc,strict,score,0,16,0,0,16,0
e5acc98f52f458cc,strict,pareto,0,16,0,0,16,0
e5acc98f52f458cc,strict,gt_geometry,0,16,0,0,16,0
e5acc98f52f458cc,operational,score,0,0,16,0,0,0
e5acc98f52f458cc,operational,pareto,0,0,16,0,0,0
e5acc98f52f458cc,operational,gt_geometry,14,14,2,3,3,11
3e9026530c475726,strict,score,0,16,0,0,16,0
3e9026530c475726,strict,pareto,0,16,0,0,16,0
3e9026530c475726,strict,gt_geometry,0,16,0,0,16,0
3e9026530c475726,operational,score,0,0,16,0,0,0
3e9026530c475726,operational,pareto,0,0,16,0,0,0
3e9026530c475726,operational,gt_geometry,16,16,0,16,16,0
2ae0a44cc4de5c4a,strict,score,0,16,0,0,16,0
2ae0a44cc4de5c4a,strict,pareto,0,16,0,0,16,0
2ae0a44cc4de5c4a,strict,gt_geometry,0,16,0,0,16,0
2ae0a44cc4de5c4a,operational,score,0,0,16,0,0,0
2ae0a44cc4de5c4a,operational,pareto,0,0,16,0,0,0
2ae0a44cc4de5c4a,operational,gt_geometry,15,15,1,9,9,6
cc94486698ff58d1,strict,score,0,16,0,0,16,0
cc94486698ff58d1,strict,pareto,0,16,0,0,16,0
cc94486698ff58d1,strict,gt_geometry,0,16,0,0,16,0
cc94486698ff58d1,operational,score,0,0,16,0,0,0
cc94486698ff58d1,operational,pareto,2,2,14,2,2,0
cc94486698ff58d1,operational,gt_geometry,16,16,0,16,16,0
969763763ce754a4,strict,score,0,16,0,0,16,0
969763763ce754a4,strict,pareto,0,16,0,0,16,0
969763763ce754a4,strict,gt_geometry,0,16,0,0,16,0
969763763ce754a4,operational,score,0,0,16,0,0,0
969763763ce754a4,operational,pareto,0,0,16,0,0,0
969763763ce754a4,operational,gt_geometry,16,16,0,10,10,6
ff6ab495a139534e,strict,score,0,16,0,0,16,0
ff6ab495a139534e,strict,pareto,0,16,0,0,16,0
ff6ab495a139534e,strict,gt_geometry,0,16,0,0,16,0
ff6ab495a139534e,operational,score,0,0,16,0,0,0
ff6ab495a139534e,operational,pareto,6,6,10,6,6,0
ff6ab495a139534e,operational,gt_geometry,16,16,0,16,16,0
70248e0bb43a503b,strict,score,0,16,0,0,16,0
70248e0bb43a503b,strict,pareto,0,16,0,0,16,0
70248e0bb43a503b,strict,gt_geometry,0,16,0,0,16,0
70248e0bb43a503b,operational,score,0,0,16,0,0,0
70248e0bb43a503b,operational,pareto,0,0,16,0,0,0
70248e0bb43a503b,operational,gt_geometry,7,7,9,6,6,1
2a2403c9b08b53ac,strict,score,0,16,0,0,16,0
2a2403c9b08b53ac,strict,pareto,0,16,0,0,16,0
2a2403c9b08b53ac,strict,gt_geometry,0,16,0,0,16,0
2a2403c9b08b53ac,operational,score,0,0,16,0,0,0
2a2403c9b08b53ac,operational,pareto,0,0,16,0,0,0
2a2403c9b08b53ac,operational,gt_geometry,16,16,0,16,16,0
854169aa74e95251,strict,score,0,16,0,0,16,0
854169aa74e95251,strict,pareto,0,16,0,0,16,0
854169aa74e95251,strict,gt_geometry,0,16,0,0,16,0
854169aa74e95251,operational,score,0,0,16,0,0,0
854169aa74e95251,operational,pareto,0,0,16,0,0,0
854169aa74e95251,operational,gt_geometry,15,15,1,14,14,1
93a9927586995095,strict,score,0,16,0,0,16,0
93a9927586995095,strict,pareto,0,16,0,0,16,0
93a9927586995095,strict,gt_geometry,0,16,0,0,16,0
93a9927586995095,operational,score,0,0,16,0,0,0
93a9927586995095,operational,pareto,0,0,16,0,0,0
93a9927586995095,operational,gt_geometry,15,15,1,9,9,6
af62d866653053f6,strict,score,0,16,0,0,16,0
af62d866653053f6,strict,pareto,0,16,0,0,16,0
af62d866653053f6,strict,gt_geometry,0,16,0,0,16,0
af62d866653053f6,operational,score,0,0,16,0,0,0
af62d866653053f6,operational,pareto,3,3,13,2,2,1
af62d866653053f6,operational,gt_geometry,15,15,1,10,10,5
17d296a87fb45380,strict,score,0,16,0,0,16,0
17d296a87fb45380,strict,pareto,0,16,0,0,16,0
17d296a87fb45380,strict,gt_geometry,0,16,0,0,16,0
17d296a87fb45380,operational,score,0,0,16,0,0,0
17d296a87fb45380,operational,pareto,0,0,16,0,0,0
17d296a87fb45380,operational,gt_geometry,16,16,0,16,16,0
5370751917315916,strict,score,0,16,0,0,16,0
5370751917315916,strict,pareto,0,16,0,0,16,0
5370751917315916,strict,gt_geometry,0,16,0,0,16,0
5370751917315916,operational,score,0,0,16,0,0,0
5370751917315916,operational,pareto,0,0,16,0,0,0
5370751917315916,operational,gt_geometry,15,15,1,11,11,4
adaf33e4ba555709,strict,score,0,16,0,0,16,0
adaf33e4ba555709,strict,pareto,0,16,0,0,16,0
adaf33e4ba555709,strict,gt_geometry,0,16,0,0,16,0
adaf33e4ba555709,operational,score,0,0,16,0,0,0
adaf33e4ba555709,operational,pareto,12,12,4,12,12,0
adaf33e4ba555709,operational,gt_geometry,12,12,4,12,12,0
1aa0acb229945e9b,strict,score,0,16,0,0,16,0
1aa0acb229945e9b,strict,pareto,0,16,0,0,16,0
1aa0acb229945e9b,strict,gt_geometry,0,16,0,0,16,0
1aa0acb229945e9b,operational,score,0,0,16,0,0,0
1aa0acb229945e9b,operational,pareto,0,0,16,0,0,0
1aa0acb229945e9b,operational,gt_geometry,16,16,0,16,16,0
fad9e78a17825042,strict,score,0,16,0,0,16,0
fad9e78a17825042,strict,pareto,0,16,0,0,16,0
fad9e78a17825042,strict,gt_geometry,0,16,0,0,16,0
fad9e78a17825042,operational,score,0,0,16,0,0,0
fad9e78a17825042,operational,pareto,0,0,16,0,0,0
fad9e78a17825042,operational,gt_geometry,14,14,2,12,12,2
4eaf32face4b5ece,strict,score,0,16,0,0,16,0
4eaf32face4b5ece,strict,pareto,0,16,0,0,16,0
4eaf32face4b5ece,strict,gt_geometry,0,16,0,0,16,0
4eaf32face4b5ece,operational,score,0,0,16,0,0,0
4eaf32face4b5ece,operational,pareto,0,0,16,0,0,0
4eaf32face4b5ece,operational,gt_geometry,15,15,1,5,5,10
2db045daf25c5bb7,strict,score,0,16,0,0,16,0
2db045daf25c5bb7,strict,pareto,0,16,0,0,16,0
2db045daf25c5bb7,strict,gt_geometry,0,16,0,0,16,0
2db045daf25c5bb7,operational,score,0,0,16,0,0,0
2db045daf25c5bb7,operational,pareto,5,5,11,5,5,0
2db045daf25c5bb7,operational,gt_geometry,16,16,0,16,16,0
b23f3d728c08529f,strict,score,0,16,0,0,16,0
b23f3d728c08529f,strict,pareto,0,16,0,0,16,0
b23f3d728c08529f,strict,gt_geometry,0,16,0,0,16,0
b23f3d728c08529f,operational,score,0,0,16,0,0,0
b23f3d728c08529f,operational,pareto,0,0,16,0,0,0
b23f3d728c08529f,operational,gt_geometry,15,15,1,10,10,5
dc76a771066b5553,strict,score,0,16,0,0,16,0
dc76a771066b5553,strict,pareto,0,16,0,0,16,0
dc76a771066b5553,strict,gt_geometry,0,16,0,0,16,0
dc76a771066b5553,operational,score,0,0,16,0,0,0
dc76a771066b5553,operational,pareto,0,0,16,0,0,0
dc76a771066b5553,operational,gt_geometry,16,16,0,16,16,0
d76b0458667c59a2,strict,score,0,16,0,0,16,0
d76b0458667c59a2,strict,pareto,0,16,0,0,16,0
d76b0458667c59a2,strict,gt_geometry,0,16,0,0,16,0
d76b0458667c59a2,operational,score,0,0,16,0,0,0
d76b0458667c59a2,operational,pareto,0,0,16,0,0,0
d76b0458667c59a2,operational,gt_geometry,15,15,1,12,12,3
8cf3b1868b2f5262,strict,score,0,16,0,0,16,0
8cf3b1868b2f5262,strict,pareto,0,16,0,0,16,0
8cf3b1868b2f5262,strict,gt_geometry,0,16,0,0,16,0
8cf3b1868b2f5262,operational,score,0,0,16,0,0,0
8cf3b1868b2f5262,operational,pareto,0,0,16,0,0,0
8cf3b1868b2f5262,operational,gt_geometry,15,15,1,15,15,0
990bd9b32e5d5f60,strict,score,0,16,0,0,16,0
990bd9b32e5d5f60,strict,pareto,0,16,0,0,16,0
990bd9b32e5d5f60,strict,gt_geometry,0,16,0,0,16,0
990bd9b32e5d5f60,operational,score,0,0,16,0,0,0
990bd9b32e5d5f60,operational,pareto,4,4,12,4,4,0
990bd9b32e5d5f60,operational,gt_geometry,12,12,4,12,12,0
6320ecb991675a39,strict,score,0,16,0,0,16,0
6320ecb991675a39,strict,pareto,0,16,0,0,16,0
6320ecb991675a39,strict,gt_geometry,0,16,0,0,16,0
6320ecb991675a39,operational,score,0,0,16,0,0,0
6320ecb991675a39,operational,pareto,0,0,16,0,0,0
6320ecb991675a39,operational,gt_geometry,16,16,0,16,16,0
66243e185353563a,strict,score,0,16,0,0,16,0
66243e185353563a,strict,pareto,0,16,0,0,16,0
66243e185353563a,strict,gt_geometry,0,16,0,0,16,0
66243e185353563a,operational,score,0,0,16,0,0,0
66243e185353563a,operational,pareto,8,8,8,8,8,0
66243e185353563a,operational,gt_geometry,16,16,0,16,16,0
cde84b97e6505437,strict,score,0,16,0,0,16,0
cde84b97e6505437,strict,pareto,0,16,0,0,16,0
cde84b97e6505437,strict,gt_geometry,0,16,0,0,16,0
cde84b97e6505437,operational,score,0,0,16,0,0,0
cde84b97e6505437,operational,pareto,0,0,16,0,0,0
cde84b97e6505437,operational,gt_geometry,15,15,1,15,15,0
d968f9c81b945be1,strict,score,0,16,0,0,16,0
d968f9c81b945be1,strict,pareto,0,16,0,0,16,0
d968f9c81b945be1,strict,gt_geometry,0,16,0,0,16,0
d968f9c81b945be1,operational,score,0,0,16,0,0,0
d968f9c81b945be1,operational,pareto,0,0,16,0,0,0
d968f9c81b945be1,operational,gt_geometry,15,15,1,8,8,7
0a87bb919dbb58b6,strict,score,0,16,0,0,16,0
0a87bb919dbb58b6,strict,pareto,0,16,0,0,16,0
0a87bb919dbb58b6,strict,gt_geometry,0,16,0,0,16,0
0a87bb919dbb58b6,operational,score,0,0,16,0,0,0
0a87bb919dbb58b6,operational,pareto,0,0,16,0,0,0
0a87bb919dbb58b6,operational,gt_geometry,16,16,0,16,16,0
fe5811497ace53af,strict,score,0,16,0,0,16,0
fe5811497ace53af,strict,pareto,0,16,0,0,16,0
fe5811497ace53af,strict,gt_geometry,0,16,0,0,16,0
fe5811497ace53af,operational,score,0,0,16,0,0,0
fe5811497ace53af,operational,pareto,0,0,16,0,0,0
fe5811497ace53af,operational,gt_geometry,16,16,0,16,16,0
1734440b807a58ef,strict,score,0,16,0,0,16,0
1734440b807a58ef,strict,pareto,0,16,0,0,16,0
1734440b807a58ef,strict,gt_geometry,0,16,0,0,16,0
1734440b807a58ef,operational,score,0,0,16,0,0,0
1734440b807a58ef,operational,pareto,0,0,16,0,0,0
1734440b807a58ef,operational,gt_geometry,16,16,0,16,16,0
480434fc72d455af,strict,score,0,16,0,0,16,0
480434fc72d455af,strict,pareto,0,16,0,0,16,0
480434fc72d455af,strict,gt_geometry,0,16,0,0,16,0
480434fc72d455af,operational,score,0,0,16,0,0,0
480434fc72d455af,operational,pareto,6,6,10,0,0,6
480434fc72d455af,operational,gt_geometry,15,15,1,14,14,1
cb8e247140d55ab2,strict,score,0,16,0,0,16,0
cb8e247140d55ab2,strict,pareto,0,16,0,0,16,0
cb8e247140d55ab2,strict,gt_geometry,0,16,0,0,16,0
cb8e247140d55ab2,operational,score,0,0,16,0,0,0
cb8e247140d55ab2,operational,pareto,0,0,16,0,0,0
cb8e247140d55ab2,operational,gt_geometry,16,16,0,16,16,0
095770e79ccf5d82,strict,score,0,16,0,0,16,0
095770e79ccf5d82,strict,pareto,0,16,0,0,16,0
095770e79ccf5d82,strict,gt_geometry,0,16,0,0,16,0
095770e79ccf5d82,operational,score,0,0,16,0,0,0
095770e79ccf5d82,operational,pareto,0,0,16,0,0,0
095770e79ccf5d82,operational,gt_geometry,15,15,1,11,11,4
d7f25a0ac141583a,strict,score,0,16,0,0,16,0
d7f25a0ac141583a,strict,pareto,0,16,0,0,16,0
d7f25a0ac141583a,strict,gt_geometry,0,16,0,0,16,0
d7f25a0ac141583a,operational,score,0,0,16,0,0,0
d7f25a0ac141583a,operational,pareto,0,0,16,0,0,0
d7f25a0ac141583a,operational,gt_geometry,13,13,3,12,12,1
4b0df2804f165dda,strict,score,0,16,0,0,16,0
4b0df2804f165dda,strict,pareto,0,16,0,0,16,0
4b0df2804f165dda,strict,gt_geometry,0,16,0,0,16,0
4b0df2804f165dda,operational,score,0,0,16,0,0,0
4b0df2804f165dda,operational,pareto,1,1,15,0,0,1
4b0df2804f165dda,operational,gt_geometry,14,14,2,14,14,0
ab6ba1da1dd8592b,strict,score,0,16,0,0,16,0
ab6ba1da1dd8592b,strict,pareto,0,16,0,0,16,0
ab6ba1da1dd8592b,strict,gt_geometry,0,16,0,0,16,0
ab6ba1da1dd8592b,operational,score,0,0,16,0,0,0
ab6ba1da1dd8592b,operational,pareto,1,1,15,1,1,0
ab6ba1da1dd8592b,operational,gt_geometry,8,8,8,7,7,1
3feb7781f83754a7,strict,score,0,16,0,0,16,0
3feb7781f83754a7,strict,pareto,0,16,0,0,16,0
3feb7781f83754a7,strict,gt_geometry,0,16,0,0,16,0
3feb7781f83754a7,operational,score,0,0,16,0,0,0
3feb7781f83754a7,operational,pareto,0,0,16,0,0,0
3feb7781f83754a7,operational,gt_geometry,15,15,1,10,10,5
6f471ee76c595c92,strict,score,0,16,0,0,16,0
6f471ee76c595c92,strict,pareto,0,16,0,0,16,0
6f471ee76c595c92,strict,gt_geometry,0,16,0,0,16,0
6f471ee76c595c92,operational,score,0,0,16,0,0,0
6f471ee76c595c92,operational,pareto,1,1,15,1,1,0
6f471ee76c595c92,operational,gt_geometry,15,15,1,9,9,6
32516745ea1b59ef,strict,score,0,16,0,0,16,0
32516745ea1b59ef,strict,pareto,0,16,0,0,16,0
32516745ea1b59ef,strict,gt_geometry,0,16,0,0,16,0
32516745ea1b59ef,operational,score,0,0,16,0,0,0
32516745ea1b59ef,operational,pareto,4,4,12,3,3,1
32516745ea1b59ef,operational,gt_geometry,15,15,1,12,12,3
a65dd6d24f575771,strict,score,0,16,0,0,16,0
a65dd6d24f575771,strict,pareto,0,16,0,0,16,0
a65dd6d24f575771,strict,gt_geometry,0,16,0,0,16,0
a65dd6d24f575771,operational,score,0,0,16,0,0,0
a65dd6d24f575771,operational,pareto,0,0,16,0,0,0
a65dd6d24f575771,operational,gt_geometry,16,16,0,16,16,0
9ce305abb88f5ad0,strict,score,0,16,0,0,16,0
9ce305abb88f5ad0,strict,pareto,0,16,0,0,16,0
9ce305abb88f5ad0,strict,gt_geometry,0,16,0,0,16,0
9ce305abb88f5ad0,operational,score,0,0,16,0,0,0
9ce305abb88f5ad0,operational,pareto,0,0,16,0,0,0
9ce305abb88f5ad0,operational,gt_geometry,16,16,0,16,16,0
7af6867add5b5f2c,strict,score,0,16,0,0,16,0
7af6867add5b5f2c,strict,pareto,0,16,0,0,16,0
7af6867add5b5f2c,strict,gt_geometry,0,16,0,0,16,0
7af6867add5b5f2c,operational,score,0,0,16,0,0,0
7af6867add5b5f2c,operational,pareto,0,0,16,0,0,0
7af6867add5b5f2c,operational,gt_geometry,15,15,1,14,14,1
b65e09c4d8125da0,strict,score,0,16,0,0,16,0
b65e09c4d8125da0,strict,pareto,0,16,0,0,16,0
b65e09c4d8125da0,strict,gt_geometry,0,16,0,0,16,0
b65e09c4d8125da0,operational,score,0,0,16,0,0,0
b65e09c4d8125da0,operational,pareto,0,0,16,0,0,0
b65e09c4d8125da0,operational,gt_geometry,16,16,0,16,16,0
cbe1e93e188f5490,strict,score,0,16,0,0,16,0
cbe1e93e188f5490,strict,pareto,0,16,0,0,16,0
cbe1e93e188f5490,strict,gt_geometry,0,16,0,0,16,0
cbe1e93e188f5490,operational,score,0,0,16,0,0,0
cbe1e93e188f5490,operational,pareto,1,1,15,1,1,0
cbe1e93e188f5490,operational,gt_geometry,14,14,2,14,14,0
6ca6a1a4f3dc5d85,strict,score,0,16,0,0,16,0
6ca6a1a4f3dc5d85,strict,pareto,0,16,0,0,16,0
6ca6a1a4f3dc5d85,strict,gt_geometry,0,16,0,0,16,0
6ca6a1a4f3dc5d85,operational,score,0,0,16,0,0,0
6ca6a1a4f3dc5d85,operational,pareto,3,3,13,3,3,0
6ca6a1a4f3dc5d85,operational,gt_geometry,4,4,12,4,4,0
0ee58e583be85ffb,strict,score,0,16,0,0,16,0
0ee58e583be85ffb,strict,pareto,0,16,0,0,16,0
0ee58e583be85ffb,strict,gt_geometry,0,16,0,0,16,0
0ee58e583be85ffb,operational,score,0,0,16,0,0,0
0ee58e583be85ffb,operational,pareto,0,0,16,0,0,0
0ee58e583be85ffb,operational,gt_geometry,16,16,0,16,16,0
a28a2771a9fa5c1d,strict,score,0,16,0,0,16,0
a28a2771a9fa5c1d,strict,pareto,0,16,0,0,16,0
a28a2771a9fa5c1d,strict,gt_geometry,0,16,0,0,16,0
