stage,step,method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
E,200,gt_only,feasible_rate,300,0.001328125,0.0,-0.003411458333333333,0.006146484375000002,0.0,0.0,0.06333333333333334
E,200,score,feasible_rate,300,0.019114583333333334,0.0,0.009322916666666667,0.029740234375,0.0,0.0,0.11666666666666667
E,200,pareto,feasible_rate,300,0.015598958333333333,0.0,0.006041015625,0.025469401041666666,0.0,0.0,0.1
E,200,gt_distance,feasible_rate,300,0.0053125,0.0,0.0006764322916666669,0.010625,0.0,0.0,0.07666666666666666
E,200,old_pc,feasible_rate,300,0.003411458333333333,0.0,-2.604166666666667e-05,0.007240234375000002,0.0,0.0,0.06333333333333334
E,200,gt_only,hard_failure,300,0.00028645833333333333,0.0,-0.003125,0.004244791666666667,0.0,0.0,0.016666666666666666
E,200,score,hard_failure,300,-0.003359375,0.0,-0.009036458333333334,0.001640625,0.0,0.0,0.016666666666666666
E,200,pareto,hard_failure,300,-0.0010416666666666667,0.0,-0.006172526041666667,0.004479166666666667,0.0,0.0,0.023333333333333334
E,200,gt_distance,hard_failure,300,0.000234375,0.0,-0.0025520833333333333,0.0030996093750000025,0.0,0.0,0.02
E,200,old_pc,hard_failure,300,-0.001484375,0.0,-0.005625,0.0017447916666666666,0.0,0.0,0.016666666666666666
E,200,gt_only,EP,300,0.0006530098866718733,0.0,-0.0029149577382503998,0.004064144512067375,0.0,0.0,0.41
E,200,score,EP,300,-0.027724711462430017,-0.02375519788064523,-0.03365092954155084,-0.020902323085304604,-0.029000132636026094,-0.014685326866592074,0.04
E,200,pareto,EP,300,-0.030454265917389294,-0.025263069054552,-0.036590508875704246,-0.024275025931041045,-0.03123218863661797,-0.014932507137398687,0.03
E,200,gt_distance,EP,300,-0.012465378337201998,-0.007370491114722488,-0.015854044080006038,-0.009357767440603262,-0.008473928255091578,-0.004805188010068151,0.03666666666666667
E,200,old_pc,EP,300,-0.004263562590394912,-0.00375530530115753,-0.007324034738802117,-0.00017455464746064792,-0.004851208023329001,-0.0024892390416526577,0.03333333333333333
E,200,gt_only,TTC,300,0.00125,0.0,-0.0009635416666666667,0.004349609375000002,0.0,0.0,0.023333333333333334
E,200,score,TTC,300,0.015572916666666667,0.0,0.007473307291666667,0.025208984375,0.0,0.0,0.08333333333333333
E,200,pareto,TTC,300,0.014270833333333333,0.0,0.006380208333333333,0.023255208333333333,0.0,0.0,0.08
E,200,gt_distance,TTC,300,0.005598958333333333,0.0,0.0017708333333333332,0.010443359375000003,0.0,0.0,0.056666666666666664
E,200,old_pc,TTC,300,0.003880208333333333,0.0,0.0013541666666666667,0.0071100260416666694,0.0,0.0,0.04666666666666667
E,200,gt_only,zero_score_rate,300,0.0003125,0.0,-0.003125,0.004166666666666667,0.0,0.0,0.016666666666666666
E,200,score,zero_score_rate,300,-0.002890625,0.0,-0.008489583333333333,0.0017714843750000022,0.0,0.0,0.016666666666666666
E,200,pareto,zero_score_rate,300,-0.0005989583333333333,0.0,-0.005859375,0.004610677083333338,0.0,0.0,0.023333333333333334
E,200,gt_distance,zero_score_rate,300,0.00028645833333333333,0.0,-0.0025,0.003411458333333333,0.0,0.0,0.02
E,200,old_pc,zero_score_rate,300,-0.001484375,0.0,-0.0057304687499999995,0.001640625,0.0,0.0,0.016666666666666666
F,0,gt_only,PDMS,300,0.014079405000217354,0.0,-0.373427416807653,0.3670144527719078,0.0,0.0,0.41333333333333333
F,0,score,PDMS,300,-0.35723624149014055,-0.8650565745903265,-0.9772662819520582,0.3404617988019131,-1.1502407910634374,-0.20297390730560494,0.10666666666666667
F,0,pareto,PDMS,300,-0.6514147257245543,-0.9602260491799015,-1.2439088397979945,-0.0010045274085590636,-1.2246380093522902,-0.2585218157237179,0.1
F,0,gt_distance,PDMS,300,-0.31756784738341737,-0.28257974007828324,-0.6625702536244401,0.030861334507519825,-0.3441202010301794,-0.12276309174140465,0.08
F,0,old_pc,PDMS,300,-0.004254344044233041,-0.14550998516429559,-0.3033645819772187,0.3144361774390185,-0.1937339855002591,-0.08853276292135348,0.07333333333333333
F,0,gt_only,feasible_rate,300,0.001328125,0.0,-0.003411458333333333,0.006145833333333333,0.0,0.0,0.06333333333333334
F,0,score,feasible_rate,300,0.019114583333333334,0.0,0.009843098958333334,0.029792317708333335,0.0,0.0,0.11666666666666667
F,0,pareto,feasible_rate,300,0.015598958333333333,0.0,0.0059375,0.026224609375,0.0,0.0,0.1
F,0,gt_distance,feasible_rate,300,0.0053125,0.0,0.00041601562500000026,0.010911458333333334,0.0,0.0,0.07666666666666666
F,0,old_pc,feasible_rate,300,0.003411458333333333,0.0,-0.00010481770833333312,0.007136067708333336,0.0,0.0,0.06333333333333334
F,0,gt_only,hard_failure,300,0.00028645833333333333,0.0,-0.003046875,0.004193359375000002,0.0,0.0,0.016666666666666666
F,0,score,hard_failure,300,-0.003359375,0.0,-0.009037109375,0.001641276041666669,0.0,0.0,0.016666666666666666
F,0,pareto,hard_failure,300,-0.0010416666666666667,0.0,-0.006302734375,0.004037109375000003,0.0,0.0,0.023333333333333334
F,0,gt_distance,hard_failure,300,0.000234375,0.0,-0.0024739583333333332,0.0031510416666666666,0.0,0.0,0.02
F,0,old_pc,hard_failure,300,-0.001484375,0.0,-0.00549609375,0.001796875,0.0,0.0,0.016666666666666666
F,0,gt_only,EP,300,0.0006530098866718733,0.0,-0.00295753357329146,0.004159819723345827,0.0,0.0,0.41
F,0,score,EP,300,-0.027724711462430017,-0.02375519788064523,-0.033572208758250996,-0.021610348434939537,-0.02937601125590239,-0.015533241633983192,0.04
F,0,pareto,EP,300,-0.030454265917389294,-0.025263069054552,-0.03676031077021087,-0.02436086962243384,-0.03146140852866797,-0.014921325975965849,0.03
F,0,gt_distance,EP,300,-0.012465378337201998,-0.007370491114722488,-0.01576462956931263,-0.009215698892501286,-0.008420801423032476,-0.004587439905162971,0.03666666666666667
F,0,old_pc,EP,300,-0.004263562590394912,-0.00375530530115753,-0.007500065810923911,-8.922928702674084e-05,-0.0048596269187610175,-0.0024892390416526577,0.03333333333333333
F,0,gt_only,TTC,300,0.00125,0.0,-0.00109375,0.004322916666666667,0.0,0.0,0.023333333333333334
F,0,score,TTC,300,0.015572916666666667,0.0,0.007838541666666667,0.025078776041666667,0.0,0.0,0.08333333333333333
F,0,pareto,TTC,300,0.014270833333333333,0.0,0.006430989583333334,0.023516276041666666,0.0,0.0,0.08
F,0,gt_distance,TTC,300,0.005598958333333333,0.0,0.001796875,0.010364583333333333,0.0,0.0,0.056666666666666664
F,0,old_pc,TTC,300,0.003880208333333333,0.0,0.00140625,0.007057291666666667,0.0,0.0,0.04666666666666667
F,0,gt_only,zero_score_rate,300,0.0003125,0.0,-0.002942708333333333,0.004270833333333333,0.0,0.0,0.016666666666666666
