method,seed,source,total_candidate_weight,candidate_weight_fraction,GT_retention_coefficient
conditional_pc,1701,Bridge-0.4_apr_9145,0.5,0.0003125,0.25
conditional_pc,1701,mts_8751,5.875,0.003671875,0.25
conditional_pc,1701,Bridge-0.6_grpo_9041,0.13333334028720856,8.333333767950535e-05,0.25
conditional_pc,1701,Bridge-0.4_grpo_9041,0.6416666805744171,0.00040104167535901067,0.25
conditional_pc,1701,grpo_9041,0.3916666805744171,0.0002447916753590107,0.25
conditional_pc,1701,Bridge-0.8_grpo_9041,0.13333334028720856,8.333333767950535e-05,0.25
conditional_pc,2903,Bridge-0.4_mts_8692,22.650000020861626,0.014156250013038517,0.25
conditional_pc,2903,IL-native,1293.0786180198193,0.808174136262387,0.25
conditional_pc,2903,GT,94.6875,0.0591796875,0.25
conditional_pc,2903,Bridge-0.2_mts_8692,59.44285722821951,0.0371517857676372,0.25
conditional_pc,2903,Bridge-0.2_grpo_9041,18.525000020861626,0.011578125013038516,0.25
conditional_pc,2903,Bridge-0.2_mts_8751,53.5625,0.0334765625,0.25
conditional_pc,2903,Bridge-0.4_mts_8751,19.0625,0.0119140625,0.25
conditional_pc,2903,Bridge-0.8_mts_8692,4.0625,0.0025390625,0.25
conditional_pc,2903,Bridge-0.6_mts_8692,9.375,0.005859375,0.25
conditional_pc,2903,mts_8751,5.875,0.003671875,0.25
conditional_pc,2903,Bridge-0.8_mts_8751,2.9375,0.0018359375,0.25
conditional_pc,2903,mts_8692,2.9375,0.0018359375,0.25
conditional_pc,2903,Bridge-0.6_mts_8751,7.4375,0.0046484375,0.25
conditional_pc,2903,Bridge-0.2_apr_9145,3.441025659441948,0.0021506410371512174,0.25
conditional_pc,2903,Bridge-0.4_apr_9145,0.75,0.00046875,0.25
conditional_pc,2903,Bridge-0.6_apr_9145,0.75,0.00046875,0.25
conditional_pc,2903,grpo_9041,0.4541666805744171,0.0002838541753590107,0.25
conditional_pc,2903,Bridge-0.8_grpo_9041,0.13333334028720856,8.333333767950535e-05,0.25
conditional_pc,2903,Bridge-0.4_grpo_9041,0.7041666805744171,0.0004401041753590107,0.25
conditional_pc,2903,Bridge-0.6_grpo_9041,0.13333334028720856,8.333333767950535e-05,0.25
