token,method,source,count
79ebfc1d85bf5a51,gt_distance,Bridge-0.6_mts_8692,1
79ebfc1d85bf5a51,gt_distance,GT,1
79ebfc1d85bf5a51,gt_distance,Bridge-0.8_mts_8692,1
79ebfc1d85bf5a51,gt_distance,Bridge-0.6_mts_8751,1
79ebfc1d85bf5a51,old_pc,IL-native,1
40808270ce205b83,conditional_pc,IL-native,16
40808270ce205b83,quality_only,IL-native,16
40808270ce205b83,score,apr_9145,9
40808270ce205b83,score,Bridge-0.8_apr_9145,4
40808270ce205b83,score,grpo_9041,3
40808270ce205b83,pareto,apr_9145,9
40808270ce205b83,pareto,Bridge-0.8_apr_9145,4
40808270ce205b83,pareto,grpo_9041,3
40808270ce205b83,gt_distance,IL-native,16
40808270ce205b83,old_pc,IL-native,1
86208267d61253c0,conditional_pc,IL-native,15
86208267d61253c0,conditional_pc,Bridge-0.2_mts_8692,1
86208267d61253c0,quality_only,IL-native,15
86208267d61253c0,quality_only,Bridge-0.2_mts_8692,1
86208267d61253c0,score,GT,16
86208267d61253c0,pareto,GT,4
86208267d61253c0,pareto,grpo_9041,3
86208267d61253c0,pareto,apr_9145,2
86208267d61253c0,pareto,mts_8751,2
86208267d61253c0,pareto,mts_8692,1
86208267d61253c0,pareto,Bridge-0.6_apr_9145,1
86208267d61253c0,pareto,Bridge-0.6_grpo_9041,1
86208267d61253c0,pareto,IL-native,1
86208267d61253c0,pareto,Bridge-0.4_grpo_9041,1
86208267d61253c0,gt_distance,GT,5
86208267d61253c0,gt_distance,grpo_9041,2
86208267d61253c0,gt_distance,mts_8751,2
86208267d61253c0,gt_distance,IL-native,2
86208267d61253c0,gt_distance,Bridge-0.6_apr_9145,1
86208267d61253c0,gt_distance,Bridge-0.4_grpo_9041,1
86208267d61253c0,gt_distance,Bridge-0.6_grpo_9041,1
86208267d61253c0,gt_distance,Bridge-0.2_apr_9145,1
86208267d61253c0,gt_distance,Bridge-0.4_mts_8751,1
86208267d61253c0,old_pc,IL-native,15
86208267d61253c0,old_pc,Bridge-0.2_mts_8692,1
f8268857204e554e,conditional_pc,IL-native,15
f8268857204e554e,conditional_pc,Bridge-0.2_mts_8751,1
f8268857204e554e,quality_only,IL-native,15
f8268857204e554e,quality_only,Bridge-0.2_mts_8751,1
f8268857204e554e,score,apr_9145,7
f8268857204e554e,score,Bridge-0.8_apr_9145,4
f8268857204e554e,score,grpo_9041,4
f8268857204e554e,score,Bridge-0.6_apr_9145,1
f8268857204e554e,pareto,apr_9145,7
f8268857204e554e,pareto,Bridge-0.8_apr_9145,4
f8268857204e554e,pareto,grpo_9041,4
f8268857204e554e,pareto,Bridge-0.6_apr_9145,1
f8268857204e554e,gt_distance,grpo_9041,5
f8268857204e554e,gt_distance,mts_8751,3
f8268857204e554e,gt_distance,Bridge-0.6_grpo_9041,3
f8268857204e554e,gt_distance,Bridge-0.4_grpo_9041,2
f8268857204e554e,gt_distance,Bridge-0.8_grpo_9041,1
f8268857204e554e,gt_distance,Bridge-0.8_mts_8751,1
f8268857204e554e,gt_distance,Bridge-0.6_mts_8751,1
f8268857204e554e,old_pc,Bridge-0.2_mts_8751,1
1bf169a6aaf65858,conditional_pc,IL-native,14
1bf169a6aaf65858,conditional_pc,GT,1
1bf169a6aaf65858,conditional_pc,Bridge-0.6_mts_8692,1
1bf169a6aaf65858,quality_only,IL-native,14
1bf169a6aaf65858,quality_only,GT,1
1bf169a6aaf65858,quality_only,Bridge-0.6_mts_8692,1
1bf169a6aaf65858,score,GT,16
1bf169a6aaf65858,pareto,GT,4
1bf169a6aaf65858,pareto,apr_9145,4
1bf169a6aaf65858,pareto,grpo_9041,3
1bf169a6aaf65858,pareto,Bridge-0.6_apr_9145,1
1bf169a6aaf65858,pareto,mts_8751,1
1bf169a6aaf65858,pareto,Bridge-0.4_grpo_9041,1
1bf169a6aaf65858,pareto,Bridge-0.2_apr_9145,1
1bf169a6aaf65858,pareto,IL-native,1
1bf169a6aaf65858,gt_distance,GT,4
1bf169a6aaf65858,gt_distance,grpo_9041,3
1bf169a6aaf65858,gt_distance,IL-native,3
1bf169a6aaf65858,gt_distance,mts_8751,2
1bf169a6aaf65858,gt_distance,Bridge-0.4_apr_9145,1
1bf169a6aaf65858,gt_distance,Bridge-0.4_grpo_9041,1
1bf169a6aaf65858,gt_distance,Bridge-0.6_grpo_9041,1
1bf169a6aaf65858,gt_distance,Bridge-0.2_apr_9145,1
1bf169a6aaf65858,old_pc,IL-native,14
1bf169a6aaf65858,old_pc,GT,1
1bf169a6aaf65858,old_pc,Bridge-0.6_mts_8692,1
3764407c90d65df3,conditional_pc,IL-native,15
3764407c90d65df3,conditional_pc,GT,1
3764407c90d65df3,quality_only,IL-native,15
3764407c90d65df3,quality_only,GT,1
3764407c90d65df3,score,IL-native,8
3764407c90d65df3,score,mts_8692,1
3764407c90d65df3,score,Bridge-0.8_mts_8692,1
3764407c90d65df3,score,Bridge-0.4_mts_8692,1
3764407c90d65df3,score,Bridge-0.6_mts_8692,1
3764407c90d65df3,score,Bridge-0.2_mts_8692,1
3764407c90d65df3,score,Bridge-0.2_grpo_9041,1
3764407c90d65df3,score,Bridge-0.4_grpo_9041,1
3764407c90d65df3,score,Bridge-0.6_grpo_9041,1
3764407c90d65df3,pareto,IL-native,8
3764407c90d65df3,pareto,mts_8692,1
3764407c90d65df3,pareto,Bridge-0.8_mts_8692,1
3764407c90d65df3,pareto,Bridge-0.4_mts_8692,1
3764407c90d65df3,pareto,Bridge-0.6_mts_8692,1
3764407c90d65df3,pareto,Bridge-0.2_mts_8692,1
3764407c90d65df3,pareto,Bridge-0.2_grpo_9041,1
3764407c90d65df3,pareto,Bridge-0.4_grpo_9041,1
3764407c90d65df3,pareto,Bridge-0.6_grpo_9041,1
3764407c90d65df3,gt_distance,IL-native,8
3764407c90d65df3,gt_distance,mts_8692,1
3764407c90d65df3,gt_distance,Bridge-0.8_mts_8692,1
3764407c90d65df3,gt_distance,Bridge-0.4_mts_8692,1
3764407c90d65df3,gt_distance,Bridge-0.6_mts_8692,1
3764407c90d65df3,gt_distance,Bridge-0.2_mts_8692,1
3764407c90d65df3,gt_distance,Bridge-0.2_grpo_9041,1
3764407c90d65df3,gt_distance,Bridge-0.4_grpo_9041,1
3764407c90d65df3,gt_distance,Bridge-0.6_grpo_9041,1
3764407c90d65df3,old_pc,IL-native,1
38cfd81687975661,conditional_pc,IL-native,10
38cfd81687975661,conditional_pc,Bridge-0.2_mts_8751,3
38cfd81687975661,conditional_pc,Bridge-0.4_mts_8751,2
38cfd81687975661,conditional_pc,Bridge-0.6_mts_8751,1
38cfd81687975661,quality_only,IL-native,10
38cfd81687975661,quality_only,Bridge-0.2_mts_8751,3
38cfd81687975661,quality_only,Bridge-0.4_mts_8751,2
38cfd81687975661,quality_only,Bridge-0.6_mts_8751,1
38cfd81687975661,score,grpo_9041,6
38cfd81687975661,score,apr_9145,5
38cfd81687975661,score,Bridge-0.8_apr_9145,4
38cfd81687975661,score,Bridge-0.8_grpo_9041,1
38cfd81687975661,pareto,grpo_9041,6
38cfd81687975661,pareto,apr_9145,5
38cfd81687975661,pareto,Bridge-0.8_apr_9145,4
38cfd81687975661,pareto,Bridge-0.8_grpo_9041,1
38cfd81687975661,gt_distance,IL-native,4
38cfd81687975661,gt_distance,Bridge-0.2_grpo_9041,4
38cfd81687975661,gt_distance,Bridge-0.2_apr_9145,3
38cfd81687975661,gt_distance,Bridge-0.4_grpo_9041,2
38cfd81687975661,gt_distance,Bridge-0.2_mts_8751,2
38cfd81687975661,gt_distance,Bridge-0.4_apr_9145,1
38cfd81687975661,old_pc,IL-native,1
42e6895442ab5601,conditional_pc,IL-native,16
42e6895442ab5601,quality_only,IL-native,16
42e6895442ab5601,score,GT,16
42e6895442ab5601,pareto,apr_9145,4
42e6895442ab5601,pareto,GT,3
42e6895442ab5601,pareto,grpo_9041,3
42e6895442ab5601,pareto,IL-native,2
42e6895442ab5601,pareto,Bridge-0.4_apr_9145,1
42e6895442ab5601,pareto,Bridge-0.4_grpo_9041,1
42e6895442ab5601,pareto,mts_8751,1
42e6895442ab5601,pareto,Bridge-0.8_grpo_9041,1
42e6895442ab5601,gt_distance,GT,6
42e6895442ab5601,gt_distance,IL-native,4
42e6895442ab5601,gt_distance,mts_8751,2
42e6895442ab5601,gt_distance,Bridge-0.2_apr_9145,1
42e6895442ab5601,gt_distance,Bridge-0.4_grpo_9041,1
42e6895442ab5601,gt_distance,Bridge-0.2_grpo_9041,1
42e6895442ab5601,gt_distance,Bridge-0.2_mts_8692,1
42e6895442ab5601,old_pc,IL-native,16
b34272d337d350d2,conditional_pc,IL-native,16
b34272d337d350d2,quality_only,IL-native,16
b34272d337d350d2,score,mts_8751,14
b34272d337d350d2,score,GT,2
b34272d337d350d2,pareto,mts_8751,14
b34272d337d350d2,pareto,GT,2
b34272d337d350d2,gt_distance,mts_8751,14
b34272d337d350d2,gt_distance,GT,2
b34272d337d350d2,old_pc,IL-native,1
b23ede9a183b5b71,conditional_pc,IL-native,16
b23ede9a183b5b71,quality_only,IL-native,16
b23ede9a183b5b71,score,apr_9145,11
b23ede9a183b5b71,score,Bridge-0.8_apr_9145,4
b23ede9a183b5b71,score,Bridge-0.6_apr_9145,1
b23ede9a183b5b71,pareto,apr_9145,11
b23ede9a183b5b71,pareto,Bridge-0.8_apr_9145,4
b23ede9a183b5b71,pareto,Bridge-0.6_apr_9145,1
b23ede9a183b5b71,gt_distance,GT,5
b23ede9a183b5b71,gt_distance,Bridge-0.4_apr_9145,4
b23ede9a183b5b71,gt_distance,mts_8751,3
b23ede9a183b5b71,gt_distance,grpo_9041,2
b23ede9a183b5b71,gt_distance,apr_9145,1
b23ede9a183b5b71,gt_distance,Bridge-0.8_grpo_9041,1
b23ede9a183b5b71,old_pc,IL-native,1
fff951eab9f45288,conditional_pc,GT,11
fff951eab9f45288,conditional_pc,Bridge-0.2_mts_8692,3
fff951eab9f45288,conditional_pc,IL-native,1
fff951eab9f45288,conditional_pc,Bridge-0.4_mts_8751,1
fff951eab9f45288,quality_only,GT,11
fff951eab9f45288,quality_only,Bridge-0.2_mts_8692,3
fff951eab9f45288,quality_only,IL-native,1
fff951eab9f45288,quality_only,Bridge-0.4_mts_8751,1
fff951eab9f45288,score,apr_9145,9
fff951eab9f45288,score,grpo_9041,7
fff951eab9f45288,pareto,apr_9145,9
fff951eab9f45288,pareto,grpo_9041,7
fff951eab9f45288,gt_distance,Bridge-0.4_apr_9145,4
fff951eab9f45288,gt_distance,Bridge-0.4_grpo_9041,4
fff951eab9f45288,gt_distance,Bridge-0.2_apr_9145,4
fff951eab9f45288,gt_distance,Bridge-0.2_grpo_9041,4
fff951eab9f45288,old_pc,GT,1
4fa9113617d254d4,conditional_pc,IL-native,13
4fa9113617d254d4,conditional_pc,Bridge-0.2_mts_8751,2
4fa9113617d254d4,conditional_pc,Bridge-0.2_mts_8692,1
4fa9113617d254d4,quality_only,IL-native,13
4fa9113617d254d4,quality_only,Bridge-0.2_mts_8751,2
4fa9113617d254d4,quality_only,Bridge-0.2_mts_8692,1
4fa9113617d254d4,score,GT,16
4fa9113617d254d4,pareto,GT,4
4fa9113617d254d4,pareto,apr_9145,3
4fa9113617d254d4,pareto,IL-native,3
4fa9113617d254d4,pareto,grpo_9041,2
4fa9113617d254d4,pareto,mts_8692,1
4fa9113617d254d4,pareto,Bridge-0.2_apr_9145,1
4fa9113617d254d4,pareto,Bridge-0.4_grpo_9041,1
4fa9113617d254d4,pareto,mts_8751,1
4fa9113617d254d4,gt_distance,GT,5
4fa9113617d254d4,gt_distance,grpo_9041,4
4fa9113617d254d4,gt_distance,IL-native,3
4fa9113617d254d4,gt_distance,Bridge-0.4_apr_9145,1
4fa9113617d254d4,gt_distance,mts_8692,1
4fa9113617d254d4,gt_distance,mts_8751,1
4fa9113617d254d4,gt_distance,Bridge-0.4_grpo_9041,1
4fa9113617d254d4,old_pc,IL-native,13
4fa9113617d254d4,old_pc,Bridge-0.2_mts_8751,2
4fa9113617d254d4,old_pc,Bridge-0.2_mts_8692,1
988785170de957da,conditional_pc,IL-native,15
988785170de957da,conditional_pc,Bridge-0.2_mts_8692,1
988785170de957da,quality_only,IL-native,15
988785170de957da,quality_only,Bridge-0.2_mts_8692,1
988785170de957da,score,grpo_9041,12
988785170de957da,score,Bridge-0.8_grpo_9041,4
988785170de957da,pareto,grpo_9041,12
988785170de957da,pareto,Bridge-0.8_grpo_9041,4
988785170de957da,gt_distance,grpo_9041,12
988785170de957da,gt_distance,Bridge-0.8_grpo_9041,4
988785170de957da,old_pc,IL-native,1
046b1cc13f0d5f9d,conditional_pc,IL-native,16
046b1cc13f0d5f9d,quality_only,IL-native,16
046b1cc13f0d5f9d,score,GT,16
046b1cc13f0d5f9d,pareto,GT,5
046b1cc13f0d5f9d,pareto,apr_9145,3
046b1cc13f0d5f9d,pareto,IL-native,2
046b1cc13f0d5f9d,pareto,grpo_9041,2
046b1cc13f0d5f9d,pareto,Bridge-0.2_apr_9145,1
046b1cc13f0d5f9d,pareto,mts_8751,1
046b1cc13f0d5f9d,pareto,mts_8692,1
046b1cc13f0d5f9d,pareto,Bridge-0.6_apr_9145,1
046b1cc13f0d5f9d,gt_distance,GT,5
046b1cc13f0d5f9d,gt_distance,apr_9145,2
046b1cc13f0d5f9d,gt_distance,IL-native,2
046b1cc13f0d5f9d,gt_distance,grpo_9041,2
046b1cc13f0d5f9d,gt_distance,Bridge-0.2_apr_9145,1
046b1cc13f0d5f9d,gt_distance,mts_8751,1
046b1cc13f0d5f9d,gt_distance,mts_8692,1
046b1cc13f0d5f9d,gt_distance,Bridge-0.6_apr_9145,1
046b1cc13f0d5f9d,gt_distance,Bridge-0.6_grpo_9041,1
046b1cc13f0d5f9d,old_pc,IL-native,16
d7fbd35a0f315447,conditional_pc,IL-native,16
d7fbd35a0f315447,quality_only,IL-native,16
d7fbd35a0f315447,score,grpo_9041,8
d7fbd35a0f315447,score,Bridge-0.8_grpo_9041,4
d7fbd35a0f315447,score,apr_9145,3
d7fbd35a0f315447,score,Bridge-0.6_grpo_9041,1
d7fbd35a0f315447,pareto,grpo_9041,8
d7fbd35a0f315447,pareto,Bridge-0.8_grpo_9041,4
d7fbd35a0f315447,pareto,apr_9145,3
d7fbd35a0f315447,pareto,Bridge-0.6_grpo_9041,1
d7fbd35a0f315447,gt_distance,grpo_9041,9
d7fbd35a0f315447,gt_distance,Bridge-0.8_grpo_9041,3
d7fbd35a0f315447,gt_distance,Bridge-0.6_grpo_9041,3
d7fbd35a0f315447,gt_distance,Bridge-0.8_apr_9145,1
d7fbd35a0f315447,old_pc,IL-native,1
951957b841e05cfa,conditional_pc,IL-native,16
951957b841e05cfa,quality_only,IL-native,16
951957b841e05cfa,score,Bridge-0.2_apr_9145,4
951957b841e05cfa,score,IL-native,4
951957b841e05cfa,score,Bridge-0.4_apr_9145,4
951957b841e05cfa,score,Bridge-0.6_apr_9145,4
951957b841e05cfa,pareto,Bridge-0.2_apr_9145,4
951957b841e05cfa,pareto,IL-native,4
951957b841e05cfa,pareto,Bridge-0.4_apr_9145,4
951957b841e05cfa,pareto,Bridge-0.6_apr_9145,4
951957b841e05cfa,gt_distance,IL-native,15
951957b841e05cfa,gt_distance,Bridge-0.2_grpo_9041,1
951957b841e05cfa,old_pc,IL-native,1
61db822891625c3b,conditional_pc,IL-native,16
61db822891625c3b,quality_only,IL-native,16
61db822891625c3b,score,grpo_9041,5
61db822891625c3b,score,Bridge-0.8_grpo_9041,3
61db822891625c3b,score,Bridge-0.6_grpo_9041,3
61db822891625c3b,score,GT,2
61db822891625c3b,score,Bridge-0.4_grpo_9041,2
61db822891625c3b,score,Bridge-0.2_grpo_9041,1
61db822891625c3b,pareto,grpo_9041,5
61db822891625c3b,pareto,Bridge-0.8_grpo_9041,3
61db822891625c3b,pareto,Bridge-0.6_grpo_9041,3
61db822891625c3b,pareto,GT,2
61db822891625c3b,pareto,Bridge-0.4_grpo_9041,2
61db822891625c3b,pareto,Bridge-0.2_grpo_9041,1
61db822891625c3b,gt_distance,grpo_9041,5
61db822891625c3b,gt_distance,Bridge-0.8_grpo_9041,3
61db822891625c3b,gt_distance,Bridge-0.6_grpo_9041,3
61db822891625c3b,gt_distance,GT,2
61db822891625c3b,gt_distance,Bridge-0.4_grpo_9041,2
61db822891625c3b,gt_distance,Bridge-0.2_grpo_9041,1
61db822891625c3b,old_pc,IL-native,1
759e9e451eba5b47,conditional_pc,IL-native,9
759e9e451eba5b47,conditional_pc,Bridge-0.4_mts_8692,3
759e9e451eba5b47,conditional_pc,Bridge-0.2_mts_8751,2
759e9e451eba5b47,conditional_pc,Bridge-0.2_mts_8692,2
759e9e451eba5b47,quality_only,IL-native,9
759e9e451eba5b47,quality_only,Bridge-0.4_mts_8692,3
759e9e451eba5b47,quality_only,Bridge-0.2_mts_8751,2
759e9e451eba5b47,quality_only,Bridge-0.2_mts_8692,2
759e9e451eba5b47,score,grpo_9041,16
759e9e451eba5b47,pareto,apr_9145,6
759e9e451eba5b47,pareto,grpo_9041,5
759e9e451eba5b47,pareto,Bridge-0.6_apr_9145,1
759e9e451eba5b47,pareto,Bridge-0.4_apr_9145,1
759e9e451eba5b47,pareto,Bridge-0.6_grpo_9041,1
759e9e451eba5b47,pareto,Bridge-0.8_apr_9145,1
759e9e451eba5b47,pareto,Bridge-0.8_grpo_9041,1
759e9e451eba5b47,gt_distance,IL-native,10
759e9e451eba5b47,gt_distance,Bridge-0.2_grpo_9041,3
759e9e451eba5b47,gt_distance,GT,2
759e9e451eba5b47,gt_distance,mts_8692,1
759e9e451eba5b47,old_pc,IL-native,1
9c05edf9d6e85716,conditional_pc,IL-native,16
9c05edf9d6e85716,quality_only,IL-native,16
9c05edf9d6e85716,score,grpo_9041,16
9c05edf9d6e85716,pareto,apr_9145,5
9c05edf9d6e85716,pareto,grpo_9041,4
9c05edf9d6e85716,pareto,Bridge-0.6_grpo_9041,3
9c05edf9d6e85716,pareto,Bridge-0.6_apr_9145,2
9c05edf9d6e85716,pareto,Bridge-0.8_apr_9145,2
9c05edf9d6e85716,gt_distance,IL-native,13
9c05edf9d6e85716,gt_distance,Bridge-0.2_grpo_9041,3
9c05edf9d6e85716,old_pc,IL-native,1
467bbee636b65c84,conditional_pc,IL-native,15
467bbee636b65c84,conditional_pc,Bridge-0.2_mts_8751,1
467bbee636b65c84,quality_only,IL-native,15
467bbee636b65c84,quality_only,Bridge-0.2_mts_8751,1
467bbee636b65c84,score,apr_9145,13
467bbee636b65c84,score,grpo_9041,2
467bbee636b65c84,score,mts_8692,1
467bbee636b65c84,pareto,apr_9145,13
467bbee636b65c84,pareto,grpo_9041,2
467bbee636b65c84,pareto,mts_8692,1
467bbee636b65c84,gt_distance,Bridge-0.8_grpo_9041,4
467bbee636b65c84,gt_distance,Bridge-0.6_apr_9145,4
467bbee636b65c84,gt_distance,Bridge-0.6_grpo_9041,3
467bbee636b65c84,gt_distance,mts_8692,3
467bbee636b65c84,gt_distance,Bridge-0.4_mts_8692,1
467bbee636b65c84,gt_distance,Bridge-0.4_apr_9145,1
467bbee636b65c84,old_pc,IL-native,1
4f6409df56a85592,conditional_pc,IL-native,16
4f6409df56a85592,quality_only,IL-native,16
4f6409df56a85592,score,IL-native,5
4f6409df56a85592,score,mts_8692,4
4f6409df56a85592,score,Bridge-0.8_mts_8692,3
4f6409df56a85592,score,GT,2
4f6409df56a85592,score,Bridge-0.6_mts_8692,2
4f6409df56a85592,pareto,IL-native,5
4f6409df56a85592,pareto,mts_8692,4
4f6409df56a85592,pareto,Bridge-0.8_mts_8692,3
4f6409df56a85592,pareto,GT,2
4f6409df56a85592,pareto,Bridge-0.6_mts_8692,2
4f6409df56a85592,gt_distance,IL-native,5
4f6409df56a85592,gt_distance,mts_8692,4
4f6409df56a85592,gt_distance,Bridge-0.8_mts_8692,3
4f6409df56a85592,gt_distance,GT,2
4f6409df56a85592,gt_distance,Bridge-0.6_mts_8692,2
4f6409df56a85592,old_pc,IL-native,1
16ddb1838af755e3,conditional_pc,IL-native,5
16ddb1838af755e3,conditional_pc,Bridge-0.2_mts_8751,4
16ddb1838af755e3,conditional_pc,Bridge-0.4_mts_8692,4
16ddb1838af755e3,conditional_pc,Bridge-0.2_mts_8692,2
16ddb1838af755e3,conditional_pc,Bridge-0.4_mts_8751,1
16ddb1838af755e3,quality_only,IL-native,5
16ddb1838af755e3,quality_only,Bridge-0.2_mts_8751,4
16ddb1838af755e3,quality_only,Bridge-0.4_mts_8692,4
16ddb1838af755e3,quality_only,Bridge-0.2_mts_8692,2
16ddb1838af755e3,quality_only,Bridge-0.4_mts_8751,1
16ddb1838af755e3,score,apr_9145,12
16ddb1838af755e3,score,Bridge-0.8_apr_9145,4
16ddb1838af755e3,pareto,apr_9145,12
16ddb1838af755e3,pareto,Bridge-0.8_apr_9145,4
16ddb1838af755e3,gt_distance,grpo_9041,7
16ddb1838af755e3,gt_distance,Bridge-0.8_grpo_9041,4
16ddb1838af755e3,gt_distance,Bridge-0.4_apr_9145,4
16ddb1838af755e3,gt_distance,apr_9145,1
16ddb1838af755e3,old_pc,Bridge-0.2_mts_8751,1
2ce59f70a15b5ddf,conditional_pc,IL-native,15
2ce59f70a15b5ddf,conditional_pc,GT,1
2ce59f70a15b5ddf,quality_only,IL-native,15
2ce59f70a15b5ddf,quality_only,GT,1
2ce59f70a15b5ddf,score,GT,16
2ce59f70a15b5ddf,pareto,GT,4
2ce59f70a15b5ddf,pareto,grpo_9041,3
2ce59f70a15b5ddf,pareto,IL-native,3
2ce59f70a15b5ddf,pareto,apr_9145,2
2ce59f70a15b5ddf,pareto,mts_8751,1
2ce59f70a15b5ddf,pareto,Bridge-0.8_apr_9145,1
2ce59f70a15b5ddf,pareto,Bridge-0.4_mts_8751,1
2ce59f70a15b5ddf,pareto,Bridge-0.2_apr_9145,1
2ce59f70a15b5ddf,gt_distance,GT,4
2ce59f70a15b5ddf,gt_distance,IL-native,3
2ce59f70a15b5ddf,gt_distance,apr_9145,2
2ce59f70a15b5ddf,gt_distance,grpo_9041,2
2ce59f70a15b5ddf,gt_distance,mts_8751,1
2ce59f70a15b5ddf,gt_distance,Bridge-0.4_apr_9145,1
2ce59f70a15b5ddf,gt_distance,Bridge-0.4_mts_8751,1
2ce59f70a15b5ddf,gt_distance,Bridge-0.6_apr_9145,1
2ce59f70a15b5ddf,gt_distance,Bridge-0.6_grpo_9041,1
2ce59f70a15b5ddf,old_pc,IL-native,15
2ce59f70a15b5ddf,old_pc,GT,1
461fb854eaa3583e,conditional_pc,IL-native,14
461fb854eaa3583e,conditional_pc,Bridge-0.2_grpo_9041,2
461fb854eaa3583e,quality_only,IL-native,14
461fb854eaa3583e,quality_only,Bridge-0.2_grpo_9041,2
461fb854eaa3583e,score,GT,16
461fb854eaa3583e,pareto,GT,3
461fb854eaa3583e,pareto,grpo_9041,3
461fb854eaa3583e,pareto,IL-native,3
461fb854eaa3583e,pareto,apr_9145,2
461fb854eaa3583e,pareto,Bridge-0.6_mts_8751,1
461fb854eaa3583e,pareto,Bridge-0.8_mts_8692,1
461fb854eaa3583e,pareto,mts_8751,1
461fb854eaa3583e,pareto,Bridge-0.6_apr_9145,1
461fb854eaa3583e,pareto,mts_8692,1
461fb854eaa3583e,gt_distance,GT,8
461fb854eaa3583e,gt_distance,mts_8692,5
461fb854eaa3583e,gt_distance,mts_8751,3
461fb854eaa3583e,old_pc,IL-native,14
461fb854eaa3583e,old_pc,Bridge-0.2_grpo_9041,2
8b800af555d35794,conditional_pc,IL-native,10
8b800af555d35794,conditional_pc,Bridge-0.2_mts_8751,2
8b800af555d35794,conditional_pc,Bridge-0.4_mts_8692,2
8b800af555d35794,conditional_pc,Bridge-0.2_mts_8692,2
8b800af555d35794,quality_only,IL-native,10
8b800af555d35794,quality_only,Bridge-0.2_mts_8751,2
8b800af555d35794,quality_only,Bridge-0.4_mts_8692,2
8b800af555d35794,quality_only,Bridge-0.2_mts_8692,2
8b800af555d35794,score,GT,16
8b800af555d35794,pareto,GT,3
8b800af555d35794,pareto,apr_9145,3
8b800af555d35794,pareto,grpo_9041,3
8b800af555d35794,pareto,Bridge-0.6_apr_9145,2
8b800af555d35794,pareto,Bridge-0.2_apr_9145,1
8b800af555d35794,pareto,IL-native,1
8b800af555d35794,pareto,mts_8692,1
8b800af555d35794,pareto,Bridge-0.2_grpo_9041,1
8b800af555d35794,pareto,Bridge-0.6_grpo_9041,1
8b800af555d35794,gt_distance,GT,4
8b800af555d35794,gt_distance,grpo_9041,2
