token,original_V2_primary_unique_count,original_V2_qualified_unique_count,original_V2_zero_qualified,frozen_16_slot_PDMS,frozen_filler_count
6ca6a1a4f3dc5d85,0,0,1,83.83346767680706,15
0ee58e583be85ffb,0,0,1,98.54730988701607,15
a28a2771a9fa5c1d,16,16,0,100.0,0
488e4248a8985e5a,12,16,0,100.0,0
0beb530925b9514b,16,16,0,100.0,0
29b53c57c19b57fe,0,0,1,88.71134876696813,15
2639525675535145,16,16,0,100.0,0
9a83782a2cf85611,0,0,1,97.82737010968505,15
cd01f21ff39d541a,16,16,0,100.0,0
facaaf8c0e8c5c65,12,16,0,100.0,0
88757fb00fda507b,0,0,1,93.34733183808801,15
e9f4daa7d910568c,0,0,1,98.41280859764075,15
d6bb0cea4dbd5b44,0,0,1,92.6350653938224,15
efad2708409b5834,15,16,0,100.0,0
3a4cfdd4bfa55a5e,0,0,1,89.6351078768464,15
e926ec6a69cc575c,0,0,1,91.54701947134683,15
b6093d9c703e54b1,11,16,0,100.0,0
d58eb13402485ae7,12,16,0,100.0,0
f1aa5d5ed7c65114,0,0,1,96.67658720619134,15
4ea3d4068eda5cc5,0,0,1,96.56223782996229,15
6c0dbda0d8e45ae9,16,16,0,100.0,0
b4322d76ebf8569f,0,0,1,98.28386969417613,15
acfc271e3c3d58fa,0,0,1,92.62714759694035,15
b222df74b8155735,0,0,1,96.21280010289458,15
415d6cd62f3b5c1c,15,16,0,100.0,0
b28e9b2fa67452a7,0,0,1,96.773466600986,15
bd8dea7f7efc5343,0,0,1,96.33856841212497,15
8224627048195e4f,0,0,1,99.76454012381583,15
3225bfcbea245dd7,16,16,0,100.0,0
114a9052bd6851a2,0,0,1,96.0110473305686,15
f80fe289f8135602,0,0,1,90.05452722754458,15
983b7ed08a4b5a88,16,16,0,100.0,0
34dd4c6fb6245b9a,2,2,0,87.3386855162511,14
5895d1e3cb355fb9,0,0,1,89.04151658262552,15
14b505fe90ef5fb8,12,16,0,100.0,0
1ce58516c7675036,0,0,1,0.0,15
b1e88b8722105d53,1,1,0,97.28383410484629,15
410fac99463459e6,16,16,0,100.0,0
5207306ed1a05de8,11,16,0,100.0,0
8ba3bff293265674,13,16,0,100.0,0
69560676d53a56c9,0,0,1,82.95369007054828,15
cef0adbb58ad5ca1,0,0,1,96.37971332357998,15
c5dcabed55395a6e,0,0,1,93.4296815855866,15
8b839595c4105c65,14,16,0,100.0,0
f32a0e56a5b75884,3,3,0,100.0,13
972eb434cfd159e8,1,1,0,88.32449476092145,15
505c44ea52485f9d,0,0,1,99.83902971215724,15
c0b07b38110a556f,15,16,0,100.0,0
7fe310f364355e2d,0,0,1,94.97196793579295,15
efdd48896e7a5f15,0,0,1,92.92700473414554,15
e47d448a999b5595,0,0,1,93.82433062064679,15
6c0b6e4fdf005a81,16,16,0,99.97271858340758,0
071d2ff38b4855ed,0,0,1,85.37554433457437,15
b450f88783c15dea,0,0,1,92.88352074443533,15
7b3902956ebc561d,16,16,0,100.0,0
dc73cea57e105ebd,0,0,1,96.46541889155587,15
b87bd020396b5670,15,16,0,100.0,0
ba1a894e5a6350d2,0,0,1,96.11263782419559,15
ddbfb3b2a05c5918,15,16,0,100.0,0
a93ffd0f36b65714,16,16,0,100.0,0
2b2663b56a6555a2,5,7,0,100.0,9
f9b32e71bedb5996,0,0,1,92.90950510103801,15
886df3cce3a95a83,0,0,1,86.88434054823459,15
160a7c3cbeee5f8b,15,16,0,100.0,0
24fab0f19fd35cd6,1,2,0,99.77594759872723,14
b63b325909a058c9,0,0,1,99.01130402597073,15
9b500f26b0f8560e,16,16,0,100.0,0
c9ba785129c35b36,0,0,1,91.29267508677736,15
aac1853286fb586a,0,0,1,89.01428035669123,15
022fef6d66485384,0,0,1,93.90992344403848,15
51480b09db315e89,1,1,0,99.88523013158404,15
5d3ce016a8a256cf,0,0,1,92.56018565596993,15
60691b9dd3355992,0,0,1,91.42952200465417,15
0056ae51961f5a18,16,16,0,100.0,0
80d5ce364722516b,0,0,1,51.96923101851956,15
f0ff3b146af85463,0,0,1,97.79329551152458,15
6f2a7bf7cf275dd3,15,16,0,100.0,0
1090fdb8b57850f6,0,0,1,98.40020538530482,15
a3fa79234a9d5d7d,16,16,0,100.0,0
36c6cbf6c8a25415,0,0,1,88.79618309962952,15
8fe647ed2b7a5aee,10,16,0,100.0,0
5abdbfe1845e59c5,0,0,1,94.14758563527829,15
4af11dadd34359fe,15,16,0,100.0,0
ad25b37aaad95a6b,0,0,1,96.4379175638235,15
d5201097ad6e5d67,0,0,1,89.39678018135417,15
f96a48c3bcd45c50,10,16,0,99.99868328504107,0
3f36d5316f0d5a94,13,16,0,100.0,0
b6bba53a1bef520e,0,0,1,90.44346656808034,15
7b840b044a6a5e8d,0,0,1,90.36673773260132,15
22a09b0100175b62,11,16,0,100.0,0
39fd3f2e5f005306,16,16,0,100.0,0
497e7be0400158a9,0,0,1,89.14155831188245,15
6a53dd2411825857,0,0,1,90.50930610172063,15
fb9dcf5b46d65616,0,0,1,95.86270126605952,15
39fe00229f7b5ac4,0,0,1,88.07061980513313,15
63dcb963cece5b7d,0,0,1,88.31272039710687,15
88f9b4f87b6b5bd5,0,0,1,91.55279140384785,15
90f5bf5743cf5df0,0,0,1,93.09716779206228,15
52caccf1b3b95e4e,0,0,1,94.31806265929328,15
1b064a029c0e513a,0,0,1,96.6620406860391,15
50790f7ba9405c67,16,16,0,100.0,0
0bc3c50e1292529c,16,16,0,100.0,0
ad906e8bb5375747,0,0,1,96.53941330411033,15
0a76d212e8fe5898,0,0,1,93.5759567107441,15
77d96cb44005501c,0,0,1,98.88325556474817,15
12ed1a1d4ae657d1,0,0,1,90.50839714317904,15
a3e94bd829b75673,0,0,1,90.16910137846298,15
d7d94b48775a52d4,16,16,0,100.0,0
7640be138ae05408,16,16,0,100.0,0
f82c33508e915106,16,16,0,100.0,0
3138ce4847ee5007,0,0,1,90.9322566606838,15
25822d3d04305af8,15,16,0,100.0,0
ba642ba3c9a65fe7,0,0,1,95.23649562818841,15
e34f51206f0e53db,0,0,1,89.4795119217622,15
5da31ca5ce165787,12,16,0,100.0,0
9a90853892925989,16,16,0,100.0,0
09c3d9dbca6455e5,16,16,0,100.0,0
42231e5449d3576a,0,0,1,100.0,15
bf78c475adfb5eb1,16,16,0,100.0,0
2fbab9ffc3fe5a5d,16,16,0,100.0,0
7fe6e7ce9cb7559d,16,16,0,100.0,0
ebb4d3e033ae55e2,0,0,1,85.84342516838588,15
f1d60841a46d53a5,0,0,1,95.79281063083533,15
8419b5d5eab75027,0,0,1,92.63802569257199,15
9c16cb6c4f94521c,9,16,0,100.0,0
35e2f788f41851c0,0,0,1,89.53118164697477,15
54d3068f889b58ee,0,0,1,89.58729567732044,15
e1ee982450c85213,0,0,1,94.86004017067965,15
4a8b4dff75c15a8a,15,16,0,100.0,0
1819e1b106b354ad,0,0,1,88.94280992891741,15
4ecdbea836725622,0,0,1,90.978206144612,15
b9bcc9d0efaf5c7e,16,16,0,100.0,0
253b856b49ef52d2,0,0,1,91.2947522459413,15
68e39232887c5e4a,0,0,1,91.60051855087032,15
2e2bb8bb71265998,0,0,1,82.48912994918136,15
e34a1f5fb71c54da,0,0,1,88.31504119023623,15
1d10ae25c61f50c4,16,16,0,100.0,0
2af1778054cf51a4,0,0,1,86.49162678958035,15
0f276bab4fa85df0,0,0,1,97.25916700921604,15
6cc16446dbe45353,0,0,1,94.68291239823007,15
26043d2de718532d,11,16,0,100.0,0
e72eb72ebdc25a8a,12,16,0,100.0,0
c852239b5ac95394,0,0,1,92.05649190676317,15
3c297001ef2d5acb,0,0,1,97.29521742220632,15
123b77fa26425ac1,0,0,1,94.99435136713848,15
f97414b6f4a15866,0,0,1,100.0,15
957d3c9491ba5b5b,0,0,1,92.02471037344986,15
0c9d055f4ccc5d64,0,0,1,94.90732998698788,15
cbaf3221997c55be,0,0,1,97.61029002402543,15
a02463c8a92d56ce,16,16,0,100.0,0
d91a4c7d1d9e5647,0,0,1,88.64238133587,15
742b1d2c6cf156c6,0,0,1,87.57989009280246,15
8b3e9121fd57540f,0,0,1,96.51848910510294,15
bdf3b83064235e17,13,16,0,100.0,0
ab000bda9ccf5150,16,16,0,100.0,0
e165b9b4eb5f5cf4,16,16,0,100.0,0
dcb23119258e58ec,0,0,1,93.0249346300559,15
f0328bdcd0e15d3a,0,0,1,94.60178717810757,15
c6538928de9c552b,0,0,1,99.31980047168376,15
56da0490b78b5033,0,0,1,85.6325784580019,15
8fc454e70d1554b7,16,16,0,100.0,0
3eceeb425c3a560b,0,0,1,93.6480291002329,15
5e7d1f34a80c5e46,9,16,0,100.0,0
ef4f3026ae1b56a3,0,0,1,89.0351267218102,15
d92fd7e6c01d503b,16,16,0,100.0,0
1381f484e75c565a,0,0,1,93.42180976012506,15
7b79090489c95c0b,0,0,1,98.96212603993393,15
f0d107fb359953ff,0,0,1,92.0831229798628,15
e0c845f2d87555b3,16,16,0,100.0,0
9e454d3b139c5a3d,14,16,0,100.0,0
468894d189a75353,16,16,0,100.0,0
9252ad8efde85a85,16,16,0,100.0,0
d99a3bc24ff75a68,14,16,0,100.0,0
1d45b9d20e9d5f92,0,0,1,93.56774682598437,15
39fc09d325a05606,0,0,1,96.12262276475529,15
75341958391d5aba,11,16,0,100.0,0
e65ea4e886535732,0,0,1,92.45199535787222,15
a9134306f1575f88,13,16,0,100.0,0
3609537de0105997,0,0,1,90.16360084375998,15
90c4cd28f0e55d46,12,16,0,100.0,0
8a022198e6885aed,0,0,1,92.30883583826765,15
f6f213b156de552d,0,0,1,92.50067758412914,15
1cb9fa36aea25d6a,16,16,0,100.0,0
e15983da12955abf,0,0,1,89.05304280393945,15
8635030755615376,0,0,1,96.50014658456132,15
86fbc624ea435e56,16,16,0,100.0,0
66e564907f5f5601,0,0,1,58.333333333333336,15
808ff2e869ff5d92,0,0,1,76.38920026914143,15
1b53682e2df854e1,0,0,1,89.25881690762554,15
dd175b6e08565a4e,0,0,1,81.23796443049494,15
8e475454489d5f5b,0,0,1,94.56295416251943,15
dc2d27a848115b56,0,0,1,99.42642512603229,15
3783e56bc9ef5e85,0,0,1,89.81200280572978,15
d45a215505f05382,0,0,1,92.19428977923052,15
4775f8e1a53d5c6f,14,16,0,100.0,0
802c127f63f955ed,0,0,1,89.0414604265182,15
f102259e52d35ac5,0,0,1,96.19117357538398,15
db5aa5f382f25aaa,0,0,1,92.07116760857974,15
598efc24965e57ba,16,16,0,100.0,0
3e83f47571b05337,13,16,0,100.0,0
f36236f06fb556a0,0,0,1,89.53956281010271,15
ed717de405885939,0,0,1,88.66698457378526,15
a8b0833c7a065b81,16,16,0,100.0,0
f426002d6e275e78,16,16,0,100.0,0
3382fe7a030150df,0,0,1,87.5624849787817,15
a0283fb79a975f2c,0,0,1,94.51459617277467,15
45e7e76381d85846,16,16,0,100.0,0
9cac2a2e22c25964,1,2,0,96.0911847852608,14
f86b2f13b23d5470,0,0,1,95.98934933523421,15
6e5e2d80ec915e15,0,0,1,95.98622243602823,15
b5d7c17fe5375141,1,13,0,100.0,3
bae3d8ac0ee85cad,13,16,0,100.0,0
4833c4f6d87f5021,7,16,0,100.0,0
a507cbf8c4055960,0,0,1,94.98025229791149,15
331e21d3c8d65bae,0,0,1,99.37609857724166,15
c5f7460ee0da513a,0,0,1,95.17392290912487,15
7eb9b36921b25d5b,2,2,0,96.4411161642826,14
8d76cc7ca097546b,14,16,0,100.0,0
7b20cfb388a15b3d,0,0,1,94.51817887227917,15
87a04f063e505051,14,16,0,100.0,0
e4fda5ede9c657f1,1,1,0,98.09254181334424,15
163693e2ba175db3,13,16,0,99.99934761933605,0
007505437ed45b53,0,0,1,82.10130641838346,15
b1199a48987b5f73,0,0,1,98.93236176112012,15
a1bcc195c8e85f37,3,3,0,99.9877316080508,13
99c663a7b4e15514,0,0,1,89.19183578421222,15
2b9bcbd586b55042,0,0,1,90.94180307115896,15
113b14c30cc25989,16,16,0,100.0,0
b37b1679fd745ac9,0,0,1,84.53428580514645,15
a4b7b2795e615efb,0,0,1,88.13442111691083,15
c75edb67a65b5a33,0,0,1,98.78620263067988,15
fbec1eb4b33955e2,0,0,1,88.0666417242062,15
c1ae700926d4577c,0,0,1,82.67012969841929,15
eba5b88270db545e,0,0,1,58.333333333333336,15
0481ff72500154f2,16,16,0,100.0,0
70d9d2c73e4155d4,0,0,1,86.04209122621727,15
685c110d6a615ff8,16,16,0,100.0,0
b1483be2f1e35882,16,16,0,100.0,0
de0fb293bb4859e7,0,0,1,88.83570907029909,15
335528f321b45d88,16,16,0,100.0,0
e5ba0fd6afc15419,16,16,0,100.0,0
07bd6c8c7de152a6,16,16,0,100.0,0
0b9f2aceebbf5003,15,16,0,100.0,0
e8991ab64afb5db6,12,16,0,100.0,0
66c135a6ec7f53c4,10,16,0,100.0,0
1fe597d0fb1454dc,0,0,1,92.82738417747694,15
fefa00cc3fe65b70,0,1,0,97.69984142610468,15
fddb21da30bb54c2,16,16,0,100.0,0
aceba8d21dfe5d03,0,0,1,94.38703022296764,15
ac940ab1e16558e9,11,16,0,100.0,0
4ac0a91fc4dd5ca9,0,0,1,100.0,15
cdec4cc7781e5d4d,8,16,0,100.0,0
01034b2411ce5ea0,0,0,1,90.36106827979037,15
fb7f5f4fd1a25f13,16,16,0,100.0,0
dcea502e05ca5eb5,0,0,1,90.26592799889896,15
28b79e32839a543b,16,16,0,100.0,0
2b07bad4bce156cd,15,16,0,100.0,0
66d778b97714583a,16,16,0,100.0,0
a8c9f51e547a5fed,0,0,1,83.5823676410518,15
7a0635b7942859c6,0,0,1,99.14696218181088,15
84b13f58e18551a8,16,16,0,100.0,0
87ec42ef94f75f0c,7,15,0,100.0,1
feae0b42dda25c87,16,16,0,100.0,0
b663343f65cd5e92,10,16,0,100.0,0
71495dbc0a3255dc,0,0,1,95.72348319226026,15
244f412a59375c65,0,0,1,96.93994030752945,15
5c1f98237d1852b9,12,16,0,100.0,0
9eddebd4be385650,0,0,1,87.92924963653142,15
b53636b863815077,0,0,1,93.26267209500058,15
1ef92a1e554b567c,13,16,0,100.0,0
019cfd828c3f5b7c,0,0,1,95.61838597905492,15
55a649760430531d,0,0,1,93.69503410676016,15
377d9bb5bb125691,0,0,1,99.3816657091614,15
a40383b62c8b5f0a,16,16,0,100.0,0
6822dc0570565ef4,0,0,1,86.92249579136765,15
6b5978b04dc85323,0,0,1,96.68644824940232,15
28c5133d23575e81,0,0,1,90.48004795864915,15
0726ca723042500c,7,12,0,99.99997048314557,4
e1b339d45b635f03,0,0,1,99.98037432114364,15
60e4b765d65a534a,0,0,1,95.01511661054562,15
cb8ed00b6b6e5650,0,0,1,93.70855604411084,15
f11aede9f6665b09,0,0,1,91.55563612352749,15
8ae2f982585058f2,0,0,1,97.02932376561529,15
ee81b62009285462,11,16,0,100.0,0
8783e69e8b9d5d5c,0,0,1,90.04468052167665,15
9566c9689988532d,0,0,1,95.556159116243,15
a49f197b94e15a20,0,0,1,97.18835481722931,15
d4b1d28cb67b5618,0,0,1,95.21159338774797,15
9fd73df50f1d5a2b,0,0,1,94.09192096899235,15
40bdcf910bed5013,16,16,0,100.0,0
c72fac839d7b5bdf,2,2,0,95.37200353070449,14
23cb188abddf5851,0,0,1,89.45266387642346,15
a488a24ace4e5a0e,16,16,0,100.0,0
a2e11073e3025626,16,16,0,100.0,0
56df5b5a7f8d5964,0,0,1,93.34684235413437,15
9f7eb558c5125bca,0,0,1,88.88683846265438,15
b7520d4aabdb522f,16,16,0,100.0,0
c97d721af0475e45,0,0,1,92.47604164249775,15
2c87600ce5a15f76,0,0,1,96.2453026905624,15
5d0d7322ddea55ce,0,0,1,82.0872495868604,15
fad3b25206405469,0,0,1,97.38714383445578,15
117be7ce4bae59d9,0,0,1,97.56816555315085,15
36f37eab352d5150,16,16,0,100.0,0
ada4bd96b21350f3,16,16,0,100.0,0
116f3217b5875595,16,16,0,100.0,0
2ce54722e81a5726,16,16,0,100.0,0
f0e8b02b16cc5161,16,16,0,100.0,0
4db513bb187a5415,1,1,0,98.26778903636925,15
f679ed3e8e975575,9,13,0,100.0,3
bc9f53029a6b5c52,14,16,0,100.0,0
8fcd3f59e5d35e62,0,0,1,94.12104749547909,15
895b56e6e7d1506f,11,16,0,100.0,0
f22f6cb0966f5ddf,2,2,0,100.0,14
8d16e85f8f505b74,0,0,1,91.76859749372666,15
3e58b4e75b4d5910,0,0,1,100.0,15
a68174740e5d53d2,0,0,1,94.98277849372165,15
9c83725ca24453f5,16,16,0,100.0,0
af80a080342354b5,16,16,0,100.0,0
7592a60634a65972,0,0,1,90.98237373948031,15
312f7d68b7845c0f,16,16,0,100.0,0
2ad520fb925f5ace,0,0,1,97.91487583090253,15
d69754f18e1b5816,0,0,1,92.76858771417987,15
1514fa6cda205491,16,16,0,100.0,0
65c6face44dc5242,16,16,0,100.0,0
116b808c2f825f23,0,0,1,90.16643897621984,15
0502652852d456e7,0,0,1,97.81587657684871,15
d139b76f0b1e5791,0,0,1,90.01205705433016,15
e6a85ef20b3054c4,16,16,0,100.0,0
d2b1e07b5d38547e,0,0,1,90.7402835238041,15
56faab1d1228542e,0,0,1,90.42144460131738,15
a5aa2c07692a5f9b,16,16,0,100.0,0
ccb3b418f0a45229,16,16,0,100.0,0
9e326c77e25f526d,0,0,1,91.2613007533394,15
a11285de52f553a7,0,0,1,91.4878630058451,15
b3b328a0d89255ea,0,0,1,58.333333333333336,15
ab7c0c62ea5d56df,0,0,1,100.0,15
822b5a4a2e075ace,0,0,1,83.55719454992085,15
6ee8095e2d8b599c,13,16,0,99.99346714929254,0
e536a7424867539d,16,16,0,100.0,0
228bc7a51ce85114,1,1,0,94.49195086030291,15
b386322960ff5784,0,0,1,96.62748809406517,15
1779dc029c945352,15,16,0,100.0,0
e66f72e612d05320,0,0,1,91.49062541900341,15
8a7b81e3d8ec589e,0,0,1,90.02904574142475,15
79d01df5793f5d1a,0,0,1,92.98067159432743,15
78273a4b69465c1f,16,16,0,100.0,0
e9c9a2873a275365,16,16,0,100.0,0
063ebdc4cd7e5bd9,0,0,1,95.8655055307264,15
40b18724a90f5919,14,16,0,100.0,0
7f6ac29877365766,0,0,1,91.6387244134179,15
2617f0cd70705817,16,16,0,100.0,0
9356731128d95d59,0,0,1,98.98812497582256,15
d68f1142da63586f,0,0,1,89.80652286749931,15
8c4982f5d16e51a8,0,0,1,82.25326430680883,15
75b56424b7eb5ac6,16,16,0,100.0,0
12264b570ba358e9,0,0,1,90.14510668918238,15
2320cdddd8465622,10,16,0,100.0,0
5fec23f5a5d052cd,0,0,1,98.53400449054439,15
a3d8003852145a71,14,16,0,99.99963362361994,0
fadbd438f57e5612,0,0,1,94.27854099364421,15
23ba8f4aee055e34,0,0,1,95.4282039297562,15
edf80e77e2e65098,0,0,1,95.28605839195254,15
ec646e4956125fcf,0,0,1,97.97242830153768,15
9069684898175278,0,0,1,90.03046532492931,15
c83e41bd3afa534c,0,0,1,93.3646069416038,15
c3fa71763867515b,7,14,0,100.0,2
43916f0a6f7f5717,0,0,1,90.99687201322243,15
e8bd03529c905c16,16,16,0,100.0,0
130e725a1594571f,0,0,1,94.5954140151106,15
03d9c9a7f1655e53,0,0,1,87.74913283510114,15
3c84060e9d245ad7,0,0,1,85.74489088368765,15
440da7a31b255ef9,0,0,1,99.0880479863866,15
8deb3aea4c075024,15,16,0,100.0,0
fa72914538895375,16,16,0,100.0,0
095453a7aea65260,0,0,1,83.55170740806244,15
b5a136c8bff95db6,16,16,0,100.0,0
16cf679d9cd35d85,0,0,1,91.97397950162099,15
0424e5fd9a5c5e60,0,0,1,87.52980834436823,15
97de4a69dec65c80,0,0,1,79.05027135922829,15
e5a8e75d4450516b,0,0,1,90.63827283945626,15
4669e83db7965ed0,0,0,1,98.18287536276749,15
00bbc908bd5758e6,16,16,0,100.0,0
97f64f5b130055b0,0,0,1,88.16625817573724,15
101da9987c395ba4,0,0,1,94.39009226298451,15
e20db842c987530f,0,0,1,88.22116983918684,15
d14c834404a75404,16,16,0,100.0,0
b20465ed49f953d3,0,0,1,83.83795478805169,15
f6741cbf60265367,0,0,1,94.28899763997485,15
4df92e2616c75be7,0,0,1,96.76917636669957,15
b3a6f577c20d5eb3,11,16,0,100.0,0
d7c39e8608e25e88,0,0,1,98.12088093156893,15
db42252e1f655f26,16,16,0,100.0,0
b4375fa743295bd8,0,0,1,94.75447229692698,15
5b620dbb3b4d5892,0,0,1,92.03665573633623,15
9a78f0e3d0335345,0,0,1,0.0,15
576835726a7c57d4,0,0,1,86.40009340148316,15
23c842d3f001597a,0,0,1,94.0359965243203,15
db4611f3cf8a5db7,0,0,1,86.25152826053049,15
bed1f99d06215f1b,0,0,1,93.09107770266336,15
770e1697a0255dc8,0,0,1,92.349647172965,15
339d5c1111125971,0,0,1,98.21569338431127,15
4a5cb683d82059f0,0,0,1,94.29035835420159,15
6be7246860e057c8,16,16,0,100.0,0
4c31e06f0fc858a0,0,0,1,88.22268010903136,15
ac2dfd95a1e55c5e,0,0,1,95.92638301541422,15
664b084487e05ba0,12,16,0,99.99998501830729,0
b4206de96b755fb8,6,13,0,99.99274954695134,3
2fd40c15042e53d4,14,16,0,100.0,0
fc2be4c9cc135538,15,16,0,100.0,0
9ac1e7123b245486,0,0,1,92.0003483057745,15
bca73d6fa8f85d39,12,16,0,100.0,0
f57d194633ae5571,16,16,0,100.0,0
99d1ae48071a5aec,0,0,1,97.30130387178954,15
008a9f9434c75b99,15,16,0,100.0,0
dc89cd046c135fae,0,0,1,97.42040999969666,15
b5d3d18e7d115933,0,0,1,81.84285462010193,15
7da1df98fb8e5af0,16,16,0,100.0,0
af816d6041dd5257,7,16,0,100.0,0
ec765c8fe97a51bd,0,0,1,96.12122730800586,15
4c188096aeb950bc,0,0,1,94.10022003879047,15
392e034cb2a55053,0,0,1,0.0,15
be6fe40f664154d7,0,0,1,91.054868238096,15
a400f271c6cd51f6,13,16,0,100.0,0
e93e621b5e14563f,0,0,1,0.0,15
2e976da85a8b5e5b,0,0,1,93.68188006035132,15
2f4462b637dc5044,0,0,1,90.60106502402728,15
b548689d07d15535,0,0,1,91.69191416668627,15
f696561dbf6055df,0,0,1,93.38265507947511,15
7bb8d2878b1f53cb,0,0,1,93.23508254495164,15
bff852b39f62557d,0,0,1,90.42776531751471,15
b940d77be0d45ec9,0,0,1,98.91287425764699,15
5050ddd89f6850ea,16,16,0,100.0,0
31c9a3082fa15d55,12,16,0,100.0,0
48f80f817e0656d9,0,0,1,90.84523642233842,15
602d680df54553a2,16,16,0,100.0,0
cc8872f4a1fb5895,0,0,1,89.99583842655218,15
09d7ac879b745ba7,0,0,1,95.5897391873414,15
1f22c13b337250e8,15,16,0,100.0,0
df16f52f5bea51cc,10,16,0,100.0,0
de8c2538d4305d9d,0,0,1,82.56968928148439,15
9c7f841d11e6542d,0,0,1,94.12052580264874,15
89a7b788217c5f67,13,16,0,100.0,0
3d53eff55b2855c2,2,2,0,98.30009760738331,14
8fb50dd1fb5552df,16,16,0,100.0,0
1dda1a63c5735182,16,16,0,100.0,0
006cbccbfae95262,15,16,0,100.0,0
cea771061cb25651,0,0,1,87.95382376482699,15
053ae221b0d351f5,0,0,1,85.53228157307898,15
edfca2d846ee5acf,0,0,1,91.4942435489992,15
278907212b495e23,0,0,1,95.65472515224904,15
449f34ad438e59d2,16,16,0,100.0,0
8c1a989cd94c5c12,13,16,0,100.0,0
48d4fcc3437755a8,0,0,1,93.66664084778498,15
13f740d88bf75471,2,2,0,87.61812760367192,14
8eb1bf4722515ad3,0,0,1,95.4147461992052,15
21249a2d4eb25ed6,16,16,0,100.0,0
3d44a52acf525ec7,16,16,0,100.0,0
9fad4614acc251d6,0,1,0,90.57542139853223,15
727278e9914354b1,16,16,0,100.0,0
9d722cf10d7f5bd1,0,0,1,100.0,15
14d0749e1fc85004,0,2,0,99.70243520081435,14
