method,step,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
gt_only,100,Hit8,conditional_minus_baseline,300,-0.05492077066056576,0.0,-0.07436728327029112,-0.03555835230411683,0.0,0.0,0.10666666666666667
gt_only,100,Hit16,conditional_minus_baseline,300,-0.05871110625203384,0.0,-0.08153886980754814,-0.037056702023074276,0.0,0.0,0.10333333333333333
gt_only,100,Hit64,conditional_minus_baseline,300,-0.051666666666666666,0.0,-0.07833333333333334,-0.025,0.0,0.0,0.06
score,100,PDMS,conditional_minus_baseline,300,0.09610351996926378,0.0,-1.0282463791525456,1.2610184306647998,0.0,0.0,0.31
score,100,feasible_rate,conditional_minus_baseline,300,0.00484375,0.0,-0.007709635416666667,0.018386067708333335,0.0,0.0,0.15
score,100,hard_failure,conditional_minus_baseline,300,-0.003932291666666666,0.0,-0.016666666666666666,0.008231119791666673,0.0,0.0,0.1
score,100,zero_score_rate,conditional_minus_baseline,300,-0.0022395833333333334,0.0,-0.014532552083333334,0.01015625,0.0,0.0,0.1
score,100,EP,conditional_minus_baseline,300,-0.0016946277478937391,0.0,-0.012907134016086062,0.009525957004330692,0.0,0.0,0.30666666666666664
score,100,NC,conditional_minus_baseline,300,0.0019921875,0.0,-0.0033987630208333333,0.007408854166666667,0.0,0.0,0.05
score,100,DAC,conditional_minus_baseline,300,0.002734375,0.0,-0.008463541666666666,0.01421875,0.0,0.0,0.07333333333333333
score,100,TTC,conditional_minus_baseline,300,0.0027604166666666667,0.0,-0.0059375,0.010807291666666666,0.0,0.0,0.09
score,100,DDC,conditional_minus_baseline,300,0.0040625,0.0,-0.0014456380208333333,0.0095966796875,0.0,0.0,0.06
score,100,pairwise_ADE,conditional_minus_baseline,300,0.030071386948144176,0.02841365254053993,0.02613037191826458,0.034135365869911706,0.02505091229172543,0.03196091159729875,0.8366666666666667
score,100,Spread_AUC,conditional_minus_baseline,300,0.02339522901220042,0.021952449239273142,0.020276388941434836,0.026541136840372924,0.01935520239453141,0.0255513936564023,0.8133333333333334
score,100,spread_ratio_IL,conditional_minus_baseline,300,0.2052131765294853,0.18124327343765012,0.17656581796831386,0.23436005924833594,0.17215151143343577,0.20865280497222427,0.8133333333333334
score,100,center_shift,conditional_minus_baseline,300,0.16197423762331406,0.1683579534292221,0.13998555090495696,0.18371817725058645,0.14351853728294373,0.1957937702536583,0.8133333333333334
score,100,mean_center_shift,conditional_minus_baseline,300,0.16397956180075804,0.17025192081928253,0.14225778704260786,0.18419449882674963,0.14108657836914062,0.20020152796059848,0.83
score,100,CRN_policy_change_ADE,conditional_minus_baseline,300,0.12286085685094197,0.10712723433971405,0.0999996115695685,0.14560150547573966,0.08224165439605713,0.13000699877738953,0.7633333333333333
score,100,D_positive,conditional_minus_baseline,300,0.0011877427374323208,0.0,-0.005814431336397926,0.007758332124290368,0.0,0.0,0.30333333333333334
score,100,positive_count,conditional_minus_baseline,300,-2.46,0.0,-3.506791666666667,-1.4064999999999994,0.0,0.0,0.15666666666666668
score,100,IL_retention_loss,conditional_minus_baseline,300,-4.1889256532764796e-05,0.0003493655083275371,-0.0006557750188837493,0.0005257389108139516,9.130345688390662e-05,0.0005209777240224867,0.5766666666666667
score,100,candidate_fitting_loss,conditional_minus_baseline,300,-0.0038612944056634134,-0.001969164087313402,-0.005093659974370917,-0.002674033858521458,-0.0027787181900293945,-0.0012679356286753318,0.2733333333333333
score,100,Hit1,conditional_minus_baseline,300,-0.01671875,0.0,-0.028724609375,-0.005078125,0.0,0.0,0.13333333333333333
score,100,Hit8,conditional_minus_baseline,300,-0.01874056578817218,0.0,-0.03600497444815908,-0.0009539040903366584,0.0,0.0,0.12666666666666668
score,100,Hit16,conditional_minus_baseline,300,-0.019884093329922886,0.0,-0.04021404744528143,-0.0008572472372620182,0.0,0.0,0.12333333333333334
score,100,Hit64,conditional_minus_baseline,300,-0.02,0.0,-0.045,0.005,0.0,0.0,0.07333333333333333
pareto,100,PDMS,conditional_minus_baseline,300,0.5931510626309997,0.0,-0.9181719534134246,2.078870093368046,0.0,0.0,0.3433333333333333
pareto,100,feasible_rate,conditional_minus_baseline,300,0.010833333333333334,0.0,-0.0060983072916666655,0.02763216145833334,0.0,0.0,0.2
pareto,100,hard_failure,conditional_minus_baseline,300,-0.007890625,0.0,-0.023698567708333333,0.0077610677083333355,0.0,0.0,0.08666666666666667
pareto,100,zero_score_rate,conditional_minus_baseline,300,-0.006380208333333333,0.0,-0.022214192708333334,0.00976627604166667,0.0,0.0,0.08333333333333333
pareto,100,EP,conditional_minus_baseline,300,-0.0004615325329747992,0.0,-0.014606662029038986,0.013792126525067066,0.0,0.0,0.2833333333333333
pareto,100,NC,conditional_minus_baseline,300,0.005,0.0,-0.00020865885416666656,0.010755208333333334,0.0,0.0,0.04666666666666667
pareto,100,DAC,conditional_minus_baseline,300,0.0046875,0.0,-0.0105234375,0.020000651041666668,0.0,0.0,0.10333333333333333
pareto,100,TTC,conditional_minus_baseline,300,0.013125,0.0,0.002603515625,0.02453190104166667,0.0,0.0,0.12
pareto,100,DDC,conditional_minus_baseline,300,0.001015625,0.0,-0.004622721354166666,0.006575520833333333,0.0,0.0,0.05333333333333334
pareto,100,pairwise_ADE,conditional_minus_baseline,300,0.0071936878876180275,0.009268337112434327,0.0038818814584791143,0.010611014091277828,0.005947357677716203,0.013713910614170488,0.6266666666666667
pareto,100,Spread_AUC,conditional_minus_baseline,300,0.0038940878362912134,0.0061780471867706604,0.0009998619855320593,0.006734720197239537,0.0027331872990646044,0.009732471170696672,0.6033333333333334
pareto,100,spread_ratio_IL,conditional_minus_baseline,300,0.037193269526982944,0.05256482722293632,0.013201292990760317,0.06099077572265108,0.02114174048305928,0.08934338976309864,0.6033333333333334
pareto,100,center_shift,conditional_minus_baseline,300,0.18377971606949964,0.18454807251691818,0.16013262854889035,0.20913387725750607,0.14890707284212112,0.20418674498796463,0.81
pareto,100,mean_center_shift,conditional_minus_baseline,300,0.1851702600965897,0.17714764177799225,0.162059881336987,0.21103946175488333,0.13979055248200895,0.21783609092235565,0.82
pareto,100,CRN_policy_change_ADE,conditional_minus_baseline,300,0.12900196202099323,0.12630097568035126,0.10382718596421182,0.1550224535694967,0.08327434957027435,0.15243969857692719,0.71
pareto,100,D_positive,conditional_minus_baseline,300,-0.0102800053358078,0.0,-0.017391754830876984,-0.0033556817062199086,0.0,0.0,0.24
pareto,100,positive_count,conditional_minus_baseline,300,-2.9616666666666664,0.0,-4.036708333333333,-1.956625,0.0,0.0,0.14666666666666667
pareto,100,IL_retention_loss,conditional_minus_baseline,300,0.0005819877856985537,0.0004670965886361955,3.273491393643251e-05,0.0011365888173773063,0.0002614850900499732,0.0007625847606504976,0.6366666666666667
pareto,100,candidate_fitting_loss,conditional_minus_baseline,300,-0.0045171870406985285,-0.002118301056270866,-0.00612769310903107,-0.00302973643276606,-0.0027828965949083795,-0.0015551724012141217,0.2866666666666667
pareto,100,Hit1,conditional_minus_baseline,300,-0.024296875,0.0,-0.037630859375,-0.012760416666666666,0.0,0.0,0.11666666666666667
pareto,100,Hit8,conditional_minus_baseline,300,-0.031937418189417574,0.0,-0.048300633139616043,-0.016789878539612293,0.0,0.0,0.12
pareto,100,Hit16,conditional_minus_baseline,300,-0.03619002203769803,0.0,-0.054111850131647675,-0.017663447385522963,0.0,0.0,0.11
pareto,100,Hit64,conditional_minus_baseline,300,-0.04,0.0,-0.065,-0.015,0.0,0.0,0.03666666666666667
gt_distance,100,PDMS,conditional_minus_baseline,300,0.4123178749585829,0.0,-0.7182806057086005,1.5359367164444806,0.0,0.0,0.30666666666666664
gt_distance,100,feasible_rate,conditional_minus_baseline,300,0.010546875,0.0,-0.0027115885416666655,0.024557942708333336,0.0,0.0,0.16
gt_distance,100,hard_failure,conditional_minus_baseline,300,-0.004661458333333333,0.0,-0.017318359375,0.007787760416666672,0.0,0.0,0.11
gt_distance,100,zero_score_rate,conditional_minus_baseline,300,-0.004895833333333334,0.0,-0.017501953125,0.007266927083333339,0.0,0.0,0.1
gt_distance,100,EP,conditional_minus_baseline,300,-0.0004458684515160812,0.0,-0.011351405665429741,0.010116052018838391,0.0,0.0,0.26666666666666666
gt_distance,100,NC,conditional_minus_baseline,300,-0.0026692708333333334,0.0,-0.0074876302083333336,0.0014065755208333345,0.0,0.0,0.02
gt_distance,100,DAC,conditional_minus_baseline,300,0.007265625,0.0,-0.0046875,0.018854817708333336,0.0,0.0,0.07
gt_distance,100,TTC,conditional_minus_baseline,300,0.001015625,0.0,-0.0064329427083333335,0.008567708333333333,0.0,0.0,0.08
gt_distance,100,DDC,conditional_minus_baseline,300,0.0014973958333333334,0.0,-0.0040761718749999995,0.006940429687500001,0.0,0.0,0.06666666666666667
