method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction,panel,contrast,near_mean,far_mean,cluster_scenes,cluster_ci_low,cluster_ci_high,scene_win_fraction
old_pc,cosine,256,0.5436366018607208,0.8458722652481343,0.4703639050955411,0.6130325393379619,0.7671174261997664,0.8914367937621068,0.80078125,method_pool,,,,,,,
old_pc,dot,256,0.3117482927754054,0.0112429466098546,0.1495819752536107,0.516628034873861,0.0071768341585993,0.0151035777409561,0.80078125,method_pool,,,,,,,
old_pc,predicted_delta_L_ref,256,-3.117482927754055e-06,-1.12429466098547e-07,-5.312465480785278e-06,-1.475864876950908e-06,-1.5310783404856924e-07,-7.456946599995715e-08,0.19921875,method_pool,,,,,,,
pareto,loss,256,0.0180850642008704,0.0010868692588701,0.010846984056808,0.026634193025571,0.0006745684177076,0.0014607931771024,1.0,method_pool,,,,,,,
pareto,gradient_norm,256,1.3032062474521808,0.5187710523605347,1.036212647231514,1.5817100544882126,0.4250121116638183,0.6209138929843903,1.0,method_pool,,,,,,,
pareto,cosine,256,0.2875285401150132,0.5863189031713196,0.2061354975045163,0.3685594497017448,0.449712581325207,0.655468416478846,0.6484375,method_pool,,,,,,,
pareto,dot,256,0.5785038309446691,0.0083531467244029,0.1542812948825542,1.1305386315513462,0.0051509418990463,0.0177687282441183,0.6484375,method_pool,,,,,,,
pareto,predicted_delta_L_ref,256,-5.785038309446691e-06,-8.353146724402906e-08,-1.1311006305119493e-05,-1.6020764463956709e-06,-1.7900949344038966e-07,-5.0491068104747635e-08,0.3515625,method_pool,,,,,,,
score,loss,256,0.0170967091288494,0.0008471424398521,0.0102840191140029,0.0258009761988058,0.0005656702728629,0.0012639936182949,1.0,method_pool,,,,,,,
score,gradient_norm,256,1.3397686019234245,0.5613267719745636,1.0869140526556291,1.639318610487135,0.4610524773597717,0.724226713180542,1.0,method_pool,,,,,,,
score,cosine,256,0.3457217952218385,0.6728738697577675,0.2615839320097687,0.4258116709333736,0.5153907526980409,0.77519456102888,0.67578125,method_pool,,,,,,,
score,dot,256,0.6177444884050942,0.0142843294888734,0.1951618809495286,1.200648053685224,0.0071305283345282,0.0214723004028201,0.67578125,method_pool,,,,,,,
score,predicted_delta_L_ref,256,-6.177444884050943e-06,-1.4284329488873485e-07,-1.159478483431849e-05,-1.854622274538087e-06,-2.147230040282011e-07,-7.026419043540957e-08,0.32421875,method_pool,,,,,,,
,loss,393,0.0003164556902637,9.398103884450393e-06,6.892582805891509e-05,0.0006431160132412,6.522099283756688e-06,1.4818009731243365e-05,0.732824427480916,source_quality_matched,far_minus_compatible,0.0010523903421189,0.0013688460323827,226.0,6.198127038224036e-05,0.0006260054367536,0.7699115044247787
,gradient_norm,393,0.0870219320153613,0.0249725095927715,0.0577384159245004,0.1215676153803827,0.0168660283088684,0.0323685482144355,0.7150127226463104,source_quality_matched,far_minus_compatible,0.3184582684189081,0.4054802004342694,226.0,0.0571842536970805,0.1212969268580291,0.7610619469026548
,cosine,393,-0.0448156484322141,-0.0139276508367306,-0.0965134351404676,0.0057048097093733,-0.0303882782286534,-0.0040140587141795,0.4325699745547073,source_quality_matched,far_minus_compatible,0.2071712267718144,0.1623555783396003,226.0,-0.1023656866524646,0.0073848994389917,0.4203539823008849
,dot,393,0.0048230846469539,-9.13463009055704e-05,-0.0074619382454811,0.0175044041699415,-0.0006719221419189,0.0006398819386959,0.4885496183206106,source_quality_matched,far_minus_compatible,0.0003683009140019,0.0051913855609558,226.0,-0.0085150874271147,0.0182980211332606,0.4734513274336283
,predicted_delta_L_ref,393,-4.8230846469539685e-08,9.134630090557039e-10,-1.811935697871386e-07,7.34567681879121e-08,-5.532391369342802e-09,6.719221419189126e-09,0.5089058524173028,source_quality_matched,far_minus_compatible,-3.6830091400192638e-09,-5.1913855609558943e-08,226.0,-1.859941774326235e-07,8.092811057519843e-08,0.5221238938053098
