stratification,stratum,model,n,GT_heading_change,PDMS,median_PDMS,P10_PDMS,feasible,hard_failure,zero_score,oracle64,oracle_gap,CVaR20,NC,DAC,EP,TTC,Comfort,DDC,HQ_mass,Hit8,best8,pairwise_ADE,Spread_AUC,spread_ratio,pairwise_ratio,R90,effective_rank,endpoint_spread,mean_center_shift,medoid_center_shift,mean_GT_distance,D_high_quality,HQ_count,D_positive_legacy,positive_count_legacy,Hit8_legacy,mean_progress_shift,mean_lateral_shift,longitudinal_spread,lateral_spread,threshold_PDMS,CRN_score_win,CRN_safe_repair,CRN_safe_loss,median_spread_ratio,compressed_scene_fraction
IL_spread_quartile,Q3,mts_8692,250,0.2755974560671635,93.0819448337028,92.88514557115252,92.76129867130548,0.964375,0.014125,0.014125,94.78240175826257,1.7004569245597607,92.64524346603024,1.0,0.985875,0.8574291760088671,0.9963125,1.0,0.98709375,0.1958125,0.223,93.682422546865,0.0857811729407806,0.0912124741136725,0.7145729583245972,0.5609890123222264,0.1111878457647063,1.7750342952396958,0.1238074112071382,0.4382262363894703,0.4385238447724344,0.1777708446820456,0.0863229863375225,12.532,0.0959290979457078,19.088,0.2195,-0.1445001961804711,0.0219229000026921,0.0882709993436257,0.0189695307589718,91.73388630101596,0.267875,0.046375,0.01225,0.4295453966916727,0.852
IL_spread_quartile,Q3,mts_8751,250,0.2755974560671635,93.35271795553476,93.59632770788608,92.14561151161212,0.9610625,0.0141875,0.0141875,95.64150171601858,2.288783760483827,92.1334516358275,1.0,0.9858125,0.8659527309328341,0.994375,1.0,0.9864375,0.222375,0.2715,94.55652088267128,0.080995514221181,0.0969112900177613,0.7582389051136493,0.5359938633405708,0.088366828252498,1.871178314378119,0.1859751340457774,0.4946937275618323,0.501269262308922,0.2320174350549065,0.2759765541400752,14.232,0.2393746460068318,24.152,0.269,-0.1541665699295664,0.0098986852197133,0.0934190992413038,0.0187939850114146,91.73388630101596,0.3343125,0.05025,0.0194375,0.4013294599225625,0.868
IL_spread_quartile,Q3,official_il,250,0.2755974560671635,90.73388630101596,90.99826940970512,88.13108903879261,0.93025,0.034375,0.034375,93.60702348475732,2.873137183741385,88.1022245129485,0.98675,0.9769375,0.8461757712243827,0.964375,1.0,0.98453125,0.085875,0.2265,92.8297201056916,0.1517725833135263,0.1276332849600941,1.0,1.0,0.1935020245607518,1.704297706297741,0.2835564757066808,0.0,0.0,0.4151038463056911,0.0990186923824628,5.496,0.121919832194597,28.82,0.261,0.0,0.0,0.1199718771997585,0.0358917435592673,91.73388630101596,0.0,0.0,0.0,1.0,0.0
IL_spread_quartile,Q4,apr_9145,250,0.2329408788573401,96.85123391969763,96.916416990846,96.38241022773506,0.9498125,0.0044375,0.0044375,97.56652461089696,0.7152906911992933,96.14563238363442,0.9955625,1.0,0.9346421140727432,0.9915625,1.0,0.97,0.4891875,0.5385,97.40004060275612,0.2130121958964413,0.1782869021924051,1.1592956801740442,1.1674509601381655,0.2572701231884284,2.6569963282045803,0.3428128131229294,0.8615357221485679,0.8689760862076721,1.053930253768974,0.213664900164018,31.308,0.2169639997208307,35.948,0.5285,0.4903009187233034,-0.0382878599958757,0.1683459307250939,0.0528616283221647,94.32560209994466,0.561,0.0380625,0.0048125,1.14702400091387,0.296
IL_spread_quartile,Q4,grpo_9041,250,0.2329408788573401,96.45171537789678,96.41972676442344,95.66034553832596,0.9386875,0.0045,0.0045,97.25330606167948,0.8015906837827013,95.66488856242978,0.9955,1.0,0.9267661690695228,0.989875,1.0,0.962125,0.3948125,0.4865,97.08561024518112,0.201672138509137,0.1704625000092384,1.1059784021408532,1.105800003347014,0.2586234475456174,1.7864402895780067,0.335741668059685,0.496789137424747,0.5001776271562869,0.7393093208219902,0.1800022741131971,25.268,0.1958869629979483,37.044,0.505,-0.0744571078800339,0.0173147041476655,0.1625607067997576,0.0427637900723403,94.32560209994466,0.57325,0.0303125,0.0081875,1.1091916243466793,0.132
IL_spread_quartile,Q4,mts_8692,250,0.2329408788573401,94.48065105462072,94.47294566978412,93.83520255164444,0.951125,0.0071875,0.0071875,95.6641959951138,1.1835449404930478,93.7430950929742,1.0,0.9928125,0.8874106253108973,0.9908125,0.9984375,0.97371875,0.1751875,0.1975,95.19517179085337,0.1044113585106386,0.1100850017395048,0.7102051805825115,0.5628001396332978,0.1427588051376987,1.7824425156219608,0.1344679610978109,0.5091098024873146,0.5109413295741988,0.221482315449864,0.1215139763383429,11.212,0.0978689477841747,21.364,0.213,-0.1016678390311186,0.0149704641195146,0.1062444449849249,0.0229014792012372,94.32560209994466,0.2815,0.0468125,0.01225,0.3751268987650581,0.836
IL_spread_quartile,Q4,mts_8751,250,0.2329408788573401,95.4225156712892,95.5117091062174,95.05216795239876,0.9565625,0.0030625,0.0004375,96.53949939229652,1.116983721007357,94.70195509589756,0.9986875,0.9995625,0.9002554244383845,0.99275,0.997,0.974,0.2220625,0.251,96.007910222628,0.0827909224628102,0.0854309684019711,0.552499852650723,0.4506402358011008,0.0997318476657499,1.863126066671291,0.1570238668013158,0.5453565517818726,0.5509460932055606,0.2484876475011635,0.1178325785542319,14.212,0.095889802652926,26.728,0.2695,-0.1305374419978322,0.0052699035034381,0.0818705038409495,0.0187292945338712,94.32560209994466,0.359375,0.045875,0.005875,0.3735935070756143,0.904
IL_spread_quartile,Q4,official_il,250,0.2329408788573401,93.32560209994466,93.49741640959536,91.20003034798208,0.9165625,0.0151875,0.0151875,96.05990802918838,2.7343059292437246,91.12492921775404,0.99025,0.9891875,0.8853269503986717,0.9650625,1.0,0.96509375,0.0733125,0.22,94.9898525017863,0.1832077953335154,0.1548438347972008,1.0,1.0,0.2353438523804711,1.6671673347807427,0.3465745680752174,0.0,0.0,0.5115523746682896,0.1116724417859154,4.692,0.1481996340927484,30.76,0.2865,0.0,0.0,0.1470875216329273,0.0386064566913408,94.32560209994466,0.0,0.0,0.0,1.0,0.0
command,left,apr_9145,251,0.6097031979118162,96.17820515177242,96.3197881268114,95.65101996345436,0.9291583665338644,0.0093376494023904,0.0093376494023904,96.77339844583558,0.5951932940631675,95.4226641800779,0.9916583665338644,0.999003984063745,0.9253336965509046,0.9876743027888446,1.0,0.9574203187250996,0.3998381474103585,0.425796812749004,96.61769268241422,0.1848500230443223,0.1513782285467299,1.26136310648947,1.274134008599149,0.2124091126401039,3.76233126513064,0.2740775161720826,0.701999729000842,0.7073037906738602,0.8478221597022741,0.1910194597580154,25.589641434262948,0.1938515503218945,26.836653386454184,0.4018924302788844,0.2605182534143189,-0.0366524790099038,0.1364715273432487,0.0629742562433448,93.73163891155038,0.4434760956175299,0.0384088645418326,0.0066608565737051,1.237083343923578,0.1155378486055776
command,left,grpo_9041,251,0.6097031979118162,95.79532794877257,95.78454895345244,95.04599247924295,0.904444721115538,0.0084661354581673,0.0084661354581673,96.63127732355706,0.835949374784503,95.15685835208014,0.9915338645418328,1.0,0.9171033090175532,0.985371015936255,1.0,0.936566235059761,0.365226593625498,0.3929282868525896,96.33866496174676,0.1665309220839414,0.1383641037256837,1.153125898751566,1.148885873038803,0.2049072611445841,2.279669497044494,0.264193815389217,0.5403216859876556,0.5409960250112433,0.6921761841980609,0.1643957011756,23.374501992031878,0.1673376725751706,24.577689243027887,0.3620517928286852,-0.2209080019994203,0.0564172061197157,0.1277377061770186,0.0492550796936017,93.73163891155038,0.418886952191235,0.0305029880478087,0.0234686254980079,1.1410328202258224,0.0836653386454183
