analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,Mass64_1p0,5000,-0.029540625,-0.0234375,-0.030415625,-0.0286030859375,-0.030577374733056557,-0.028568129293815372,0.1032,0.1218,991
teacher:il_sft:ALL,holdout,native_grpo,psi,score,native_epsilon_loss,1000,0.0014138260362506116,0.0006436715193558484,0.001224061690303597,0.0016207287959292445,0.0011984083636217074,0.001658288729142982,0.795,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,psi,score,nearest_teacher_ADE,5000,0.0657050810009241,0.029460489749908447,0.062106040732935075,0.06936872243739664,0.059849057459482276,0.07176630122954694,0.7184,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,psi,score,Hit64_0p5,5000,-0.0002,0.0,-0.0006,0.0002,-0.0006043635140755375,0.00010846872130652249,0.0002,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,psi,score,Mass64_0p5,5000,-3.125e-06,0.0,-9.375e-06,3.125e-06,-9.449176969577e-06,3.0874108473537404e-06,0.0002,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,psi,score,Hit64_1p0,5000,-0.0391,0.0,-0.0451,-0.0332,-0.045003063266243364,-0.0332551053489414,0.0306,0.8742,991
teacher:il_sft:ALL,holdout,native_grpo,psi,score,Mass64_1p0,5000,-0.0021625,0.0,-0.002396875,-0.0019359375,-0.0023940420689526755,-0.0019452836442752153,0.0936,0.664,991
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,native_epsilon_loss,1000,0.0014101543621527525,0.0006306901486823335,0.001223429364043841,0.0016059898156905092,0.001189788740188361,0.0016597439805665273,0.789,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,nearest_teacher_ADE,5000,0.06523267182707787,0.028863728046417236,0.06157125645667315,0.06889947633095085,0.059489036653521864,0.07108501546792799,0.7162,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,Hit64_0p5,5000,-0.0003,0.0,-0.0009,0.0002,-0.0008849644572660212,0.00010709160807744957,0.0002,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,Mass64_0p5,5000,-4.6875e-06,0.0,-1.40625e-05,3.125e-06,-1.381405435162939e-05,1.6518402750208708e-06,0.0002,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,Hit64_1p0,5000,-0.037,0.0,-0.0429025,-0.0314,-0.04295097960998927,-0.031160977491396718,0.031,0.877,991
teacher:il_sft:ALL,holdout,native_grpo,psi,pareto,Mass64_1p0,5000,-0.0020671875,0.0,-0.0023015625,-0.0018359375,-0.0022841907750536777,-0.0018413024540332146,0.0936,0.6696,991
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,native_epsilon_loss,1000,0.00021433708721451693,6.141931226011366e-05,6.69761162254872e-05,0.0003525971573491006,6.628286377518584e-05,0.0003597165737475468,0.593,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,nearest_teacher_ADE,5000,0.004383485263586044,0.0021008551120758057,0.0027738664597272873,0.0060718587571382526,0.0026385227863618844,0.006107952206159916,0.5212,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,Hit64_0p5,5000,0.0002,0.0,-0.0002,0.0006,-0.0001950943744519821,0.0006213914151690645,0.0006,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,Mass64_0p5,5000,3.125e-06,0.0,-3.125e-06,9.375e-06,-3.0124403068482015e-06,9.572480618633861e-06,0.0006,0.9992,991
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,Hit64_1p0,5000,-0.011,0.0,-0.0174,-0.0048,-0.01777918395853788,-0.00447464316367587,0.0386,0.9042,991
teacher:il_sft:ALL,holdout,native_grpo,il_sft,official_il,Mass64_1p0,5000,-0.0015265625,0.0,-0.002017265625,-0.0010405468749999998,-0.0020303290351659526,-0.0010531847352960963,0.3044,0.3362,991
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,native_epsilon_loss,1000,0.005829403915025978,0.0029850397841073573,0.005051716901040481,0.006542221963155953,0.005038516488713762,0.006638962724070788,0.858,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,nearest_teacher_ADE,5000,0.32398226724863055,0.16061291098594666,0.31067591499060393,0.3383442900362611,0.30181720902622566,0.3471469362068514,0.8118,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,Hit64_0p5,5000,-0.0004,0.0,-0.0015,0.0006,-0.0015412206343824505,0.0006317975234463774,0.0008,0.9982,991
