split,protocol,method,command,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
holdout,native_grpo,official_il,straight,67.03418313603058,0.6887618296529968,0.19732847003154574,1.9948365516843103,0.0,1.5972847547064821,18.431981024242287,96.73483762864167,28.653772525945858,32.03100274931939,0.5902208201892745,0.4739353312302839,0.006861198738170347,68.97836323514355,94.59853115141956,85.05569794952682,82.0854692429022,98.52893335962145,67.80707807570978,0.4435262901757261,0.0
holdout,native_grpo,pareto,left,73.71308057047646,0.6699607199681782,0.15666641805887033,2.0531704303472877,0.7526483545768873,1.6439329807779195,29.154354510685735,97.97308393904278,24.716029389665838,43.42209707320412,0.4785202863961814,0.44272076372315033,0.053202068416865554,79.2249195925064,95.09372513922037,89.09854813046937,81.67139021479714,92.96843924025457,69.96755668257757,0.9462015696295172,0.774403000654995
holdout,native_grpo,pareto,right,69.89915339766381,0.6645397033158813,0.20397033158813263,2.052726103789311,0.867490905579212,1.643197890247558,25.886054002094486,96.49943283457469,25.94250909677604,39.41290348365869,0.6260907504363001,0.581260907504363,0.0412303664921466,71.3344501814063,96.97521269633508,81.99034685863874,89.03932155322862,94.02405104712042,70.01799738219896,1.0201941931364442,0.8935232233210592
holdout,native_grpo,pareto,straight,64.88175510724577,0.6245859621451104,0.23155559936908518,2.073923562490602,1.45112854029854,1.664264633151635,15.653453351423996,98.01498530300886,30.62846455098721,28.42522435386028,0.6548895899053627,0.6046529968454258,0.013564668769716088,71.4496142166282,91.20157235804416,84.67616324921136,75.73220623028391,97.66117902208202,65.26616719242902,1.594798308348557,1.4670397818922902
holdout,native_grpo,psi,left,74.3243004736146,0.6765923329355609,0.15217283214001592,2.062922952615181,0.8228937890810348,1.6520027097199015,29.692941726364282,98.11858921332936,24.510970599283255,44.142899463885165,0.47981304693715193,0.44321797931583135,0.05290373906125696,79.84848993923168,95.17017203659506,89.52428898170247,82.34387430389818,92.76520236674622,69.710869132856,1.004020408453207,0.8509121444506027
holdout,native_grpo,psi,right,69.62165457035329,0.658336060209424,0.20868782722513088,2.0581446568795316,0.9768741919803734,1.6476939067790646,25.1178758506853,96.59317252632489,26.38401377809644,38.46736123951066,0.6263089005235603,0.5848603839441536,0.04668411867364747,71.50551081853557,96.61867364746946,81.76265270506109,88.51576134380454,93.80930955497382,69.67850130890052,1.1217766959079005,1.0045477745706706
holdout,native_grpo,psi,straight,64.45045194625675,0.6162682373817034,0.2366127760252366,2.07106012893776,1.5611811847755046,1.6617522189481777,15.43856400641138,98.03571501139308,30.759390158791152,27.940240346337127,0.6537066246056782,0.6048698738170347,0.015417981072555206,71.32433548739229,90.56190851735016,84.75083793375394,74.87776025236593,97.43641561514195,65.0261238170347,1.7030300597127948,1.5786890838871055
holdout,native_grpo,score,left,73.78156497464883,0.670880568814638,0.15592059466984884,2.052825496181573,0.7511592772489232,1.643644257348591,29.20728979716941,97.99956492314239,24.696987444023204,43.48881059746588,0.47871917263325375,0.44242243436754175,0.052804295942720764,79.28289719057732,95.14500049721559,89.12900258552108,81.73913583929992,92.97714051312649,69.98558074781225,0.9445045797731514,0.772654302124832
holdout,native_grpo,score,right,69.90167644043434,0.6648532940663177,0.20405213787085516,2.052578045227557,0.8626662847532339,1.6430744562057509,25.836660853078993,96.45901066009077,25.93665895406185,39.41853851837858,0.6254363001745201,0.580824607329843,0.04144851657940663,71.30196593305733,96.9738492582897,81.98216623036649,89.07204406631763,94.0417757417103,70.04662958115183,1.0158563758088892,0.888793537103901
holdout,native_grpo,score,straight,64.91810778272023,0.6251232255520505,0.23115881309148265,2.073446023050543,1.449257655287226,1.6638563857657676,15.689307881697129,98.02127895871682,30.611963395444395,28.4687764874712,0.654929022082019,0.6050473186119874,0.013485804416403785,71.47653625651559,91.24531742902208,84.67616324921136,75.78888998422713,97.66191837539432,65.26937105678233,1.5930042241755407,1.4650992075610048
