analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed_average,holdout,eval,pareto,official_il,mean_PDMS,5000,-0.7570733272062131,0.8745496612939547,-1.173476869917899,-0.3340615564058162,-1.2246361141443924,-0.26660642993341055,0.5624,0.2662,991
final512_seed_average,holdout,eval,pareto,official_il,feasible_rate,5000,-0.055665625,0.0,-0.061390078125000004,-0.049887421875000004,-0.0621447354174042,-0.049182948504442055,0.0356,0.7632,991
final512_seed_average,holdout,eval,pareto,official_il,hard_failure_rate,5000,0.0215609375,0.0,0.0177341796875,0.0255359765625,0.01751534792144541,0.025818605889460923,0.1072,0.8664,991
final512_seed_average,holdout,eval,pareto,official_il,pairwise_ADE64,5000,0.14072990206703542,0.10571476817131042,0.13828243890665473,0.14350551569664852,0.13678297786354238,0.1447536945841784,0.9998,0.0,991
final512_seed_average,holdout,eval,pareto,official_il,centroid_displacement,5000,1.1936905424298718,1.0035713911056519,1.1674405641122907,1.2202341170786413,1.1486094094046246,1.2444275510037983,1.0,0.0,991
final512_seed_average,holdout,eval,pareto,official_il,Spread_AUC,5000,0.11954597644917667,0.08832451701164246,0.11723881510359235,0.12183871136118658,0.116467334062248,0.12303393236210512,0.9998,0.0,991
final512_seed_average,holdout,eval,pareto,official_il,min_PDMS,5000,-3.3268658688769137,0.27554171446946896,-3.891040097922696,-2.7660367454488073,-3.9607562713636124,-2.6976701028203336,0.5178,0.2972,991
final512_seed_average,holdout,eval,pareto,official_il,max_PDMS,5000,0.9995706405237075,1.4790292599299164,0.6418955626691366,1.3473293253628937,0.6208365645101828,1.393516690942334,0.5684,0.3738,991
final512_seed_average,holdout,eval,pareto,official_il,std_PDMS,5000,1.575373528239725,0.14270986329724378,1.3456927657930606,1.79975290208314,1.3556626665356162,1.7985328088172468,0.5322,0.2668,991
final512_seed_average,holdout,eval,pareto,official_il,CVaR25_PDMS,5000,-2.2603363830760768,0.5338338355205963,-2.789391578758241,-1.7454169245824713,-2.843376117226356,-1.6713125767021793,0.536,0.2826,991
final512_seed_average,holdout,eval,pareto,official_il,Hit16,5000,0.3001,0.0,0.2868,0.31355062499999997,0.28074177556668883,0.3206950482229875,0.3986,0.5624,991
final512_seed_average,holdout,eval,pareto,official_il,Hit8,5000,0.3413,0.0,0.32831125,0.3543278125,0.3217216251110065,0.36154645436639904,0.4998,0.4538,991
final512_seed_average,holdout,eval,pareto,official_il,no_safe_group,5000,0.02815,0.0,0.023375,0.032925,0.02301574128186057,0.03341168964405197,0.0548,0.9346,991
final512_seed_average,holdout,eval,pareto,official_il,EP,5000,4.451834733867801,3.583451543682692,3.997808760035705,4.883506263189312,3.975490229709294,4.941700540374645,0.6078,0.303,991
final512_seed_average,holdout,eval,pareto,official_il,NC,5000,-1.4721875,0.0,-1.737681640625,-1.21230078125,-1.7624090901828087,-1.1913359567407835,0.002,0.9494,991
final512_seed_average,holdout,eval,pareto,official_il,DAC,5000,-0.64640625,0.0,-0.9358203125,-0.37842968749999994,-0.964024677582792,-0.33567271364313755,0.0252,0.9122,991
final512_seed_average,holdout,eval,pareto,official_il,TTC,5000,-4.92890625,0.0,-5.43680078125,-4.419101562499999,-5.518961569429083,-4.338131525840299,0.0118,0.8474,991
final512_seed_average,holdout,eval,pareto,official_il,DDC,5000,-0.299609375,0.0,-0.41031640625000004,-0.19593554687499998,-0.42011701683510394,-0.18771863850552886,0.0034,0.9742,991
final512_seed_average,holdout,eval,pareto,official_il,Comfort,5000,0.015625,0.0,-0.00171875,0.04890625,-0.0018209834614846064,0.0487480049985367,0.0004,0.999,991
final512_seed_average,holdout,eval,pareto,official_il,GT_center_distance,5000,0.935030426525811,0.7402754898902857,0.9089597745015351,0.9622121186976385,0.8931950846779347,0.9816428870503526,0.8752,0.0,991
final512_seed_average,holdout,eval,pareto,official_il,CRN_policy_shift,5000,1.1979660694617777,1.007157564163208,1.172474492614828,1.2245782497166935,1.1512900163580262,1.2451539254182473,1.0,0.0,991
final512_seed_average,holdout,eval,psi,official_il,mean_PDMS,5000,-0.9608395506450427,0.8593440015416647,-1.4095163974570475,-0.5223240643601527,-1.4777119502408698,-0.4457738592591679,0.5594,0.2618,991
final512_seed_average,holdout,eval,psi,official_il,feasible_rate,5000,-0.0629390625,0.0,-0.068971953125,-0.057225468749999994,-0.0696505537432553,-0.05613471921465057,0.0376,0.7482,991
final512_seed_average,holdout,eval,psi,official_il,hard_failure_rate,5000,0.024209375,0.0,0.020163984375,0.028253125,0.019833076515452755,0.02865003313185398,0.1116,0.8614,991
final512_seed_average,holdout,eval,psi,official_il,pairwise_ADE64,5000,0.14006189357787371,0.11676786839962006,0.13812516487715765,0.14203282929170877,0.13744669151476416,0.14271287517132403,1.0,0.0,991
final512_seed_average,holdout,eval,psi,official_il,centroid_displacement,5000,1.2950837132409214,1.086863100528717,1.2667093152297662,1.3214696918473625,1.2471702574921972,1.3454141609723294,1.0,0.0,991
final512_seed_average,holdout,eval,psi,official_il,Spread_AUC,5000,0.11888300168178975,0.09772918745875359,0.11721490155839362,0.12052624397207051,0.11660137526625133,0.1211988512463811,1.0,0.0,991
final512_seed_average,holdout,eval,psi,official_il,min_PDMS,5000,-3.5858420960909454,0.25376938236421864,-4.208643820039163,-2.9923607291085172,-4.261893469182846,-2.9204415888916495,0.512,0.2894,991
final512_seed_average,holdout,eval,psi,official_il,max_PDMS,5000,0.9666357388726771,1.510990007995943,0.5965304323841735,1.3258412586919466,0.546915740621636,1.3827758383122475,0.566,0.3706,991
final512_seed_average,holdout,eval,psi,official_il,std_PDMS,5000,1.6589290918536448,0.14137653580897774,1.4277285180500954,1.8757185633881004,1.4383687670281,1.8842953667676179,0.5268,0.2626,991
final512_seed_average,holdout,eval,psi,official_il,CVaR25_PDMS,5000,-2.5473896636394975,0.4899696481758937,-3.0947121720400586,-2.0025014284160627,-3.212798033006833,-1.897725615562541,0.529,0.2774,991
final512_seed_average,holdout,eval,psi,official_il,Hit16,5000,0.299125,0.0,0.28584624999999997,0.31190125,0.27963747708279674,0.31899796371087236,0.3984,0.5608,991
final512_seed_average,holdout,eval,psi,official_il,Hit8,5000,0.33985,0.0,0.326375,0.3534009375,0.321341076840694,0.3608095570187064,0.4996,0.4544,991
final512_seed_average,holdout,eval,psi,official_il,no_safe_group,5000,0.0319,0.0,0.027099375,0.037225,0.026177879189098353,0.037525001299106214,0.0608,0.9278,991
final512_seed_average,holdout,eval,psi,official_il,EP,5000,4.684242807839417,3.8915971908046245,4.2091658464512305,5.156882725411799,4.160969558437498,5.20632980035626,0.6088,0.2992,991
final512_seed_average,holdout,eval,psi,official_il,NC,5000,-1.790859375,0.0,-2.116041015625,-1.509056640625,-2.1152073127306594,-1.4765433644057222,0.002,0.9424,991
final512_seed_average,holdout,eval,psi,official_il,DAC,5000,-0.59765625,0.0,-0.8751718749999999,-0.3289960937499997,-0.9295923423478054,-0.29164184717383307,0.026,0.913,991
final512_seed_average,holdout,eval,psi,official_il,TTC,5000,-5.60390625,0.0,-6.1718984375,-5.08527734375,-6.240648418147129,-5.013993441489758,0.0136,0.836,991
