split,method,seed,step,protocol,mean_PDMS_mean,mean_PDMS_median,mean_PDMS_count,feasible_rate_mean,feasible_rate_median,feasible_rate_count,hard_failure_rate_mean,hard_failure_rate_median,hard_failure_rate_count,pairwise_ADE64_mean,pairwise_ADE64_median,pairwise_ADE64_count,centroid_displacement_mean,centroid_displacement_median,centroid_displacement_count,Spread_AUC_mean,Spread_AUC_median,Spread_AUC_count,min_PDMS_mean,min_PDMS_median,min_PDMS_count,max_PDMS_mean,max_PDMS_median,max_PDMS_count,std_PDMS_mean,std_PDMS_median,std_PDMS_count,CVaR25_PDMS_mean,CVaR25_PDMS_median,CVaR25_PDMS_count,Hit16_mean,Hit16_median,Hit16_count,Hit8_mean,Hit8_median,Hit8_count,no_safe_group_mean,no_safe_group_median,no_safe_group_count,EP_mean,EP_median,EP_count,NC_mean,NC_median,NC_count,DAC_mean,DAC_median,DAC_count,TTC_mean,TTC_median,TTC_count,DDC_mean,DDC_median,DDC_count,Comfort_mean,Comfort_median,Comfort_count,GT_center_distance_mean,GT_center_distance_median,GT_center_distance_count,CRN_policy_shift_mean,CRN_policy_shift_median,CRN_policy_shift_count
holdout,pareto,1701,128,eval,89.02927736160963,97.15564370397163,1000,0.850703125,1.0,1000,0.059640625,0.0,1000,0.3353586258739233,0.31412120163440704,1000,1.0220230239778758,0.8023323118686676,1000,0.2823832207769156,0.26432763040065765,1000,80.49749576582981,94.6449358469004,1000,95.13810504361278,100.0,1000,5.32078881122358,0.7086604002047462,1000,83.46987841846277,95.47128684125784,1000,0.58075,1.0,1000,0.5725,1.0,1000,0.07225,0.0,1000,88.67203429579595,96.39437154617816,1000,97.44609375,100.0,1000,96.6375,100.0,1000,90.3625,100.0,1000,97.88203125,100.0,1000,100.0,100.0,1000,1.142112438965793,0.9038996169835485,1000,1.0332733902037143,0.8100517690181732,1000
holdout,pareto,1701,128,native_grpo,66.94321299475028,71.95332020810017,1000,0.631328125,0.65625,1000,0.21584375,0.140625,1000,2.085715039134026,2.0817391872406006,1000,1.04130815192312,0.8262997269630432,1000,1.672615265250206,1.6680443286895752,1000,20.12122523323847,0.0,1000,97.91978663941157,100.0,1000,28.698980596613907,30.31368645270077,1000,32.90954054720229,26.94041796013293,1000,0.60075,1.0,1000,0.554375,0.75,1000,0.0265,0.0,1000,72.50595298025547,77.56048839155939,1000,92.03125,100.0,1000,85.415625,97.65625,1000,77.45625,88.28125,1000,95.55234375,100.0,1000,67.4203125,68.75,1000,1.1944038708785951,0.9670088340369372,1000,1.0780450845956802,0.8592576682567596,1000
holdout,pareto,1701,512,eval,90.68515769594505,98.39099871609453,5000,0.875353125,1.0,5000,0.0500125,0.0,5000,0.2826988750785589,0.24908743053674698,5000,1.1977725839640945,1.016337811946869,5000,0.23794769666939974,0.20790106803178787,5000,84.3928890548572,96.67132727170622,5000,94.79061390085735,100.0,5000,3.8253481953798065,0.5045792249210885,5000,86.77222316392624,97.28024492322982,5000,0.5791,1.0,5000,0.57135,1.0,5000,0.0726,0.0,5000,89.80057193129262,98.70457950789194,5000,97.97703125,100.0,5000,97.048125,100.0,5000,92.4590625,100.0,5000,98.06453125,100.0,5000,99.99875,100.0,5000,1.3158031502217882,1.093162771160742,5000,1.201795200856775,1.0190319418907166,5000
holdout,pareto,1701,512,native_grpo,67.59888938181658,72.78553252275276,5000,0.63858125,0.671875,5000,0.210775,0.125,5000,2.0612595927000044,2.0535027980804443,5000,1.2072374123807996,1.0264599323272705,5000,1.652338522553444,1.6460281610488892,5000,20.068808459995584,0.0,5000,97.85116154524346,100.0,5000,28.708122309544095,30.38638028517028,5000,33.26321208782693,28.825746299800716,5000,0.60755,1.0,5000,0.5621,0.875,5000,0.0268,0.0,5000,73.4040709447306,78.60862352329832,5000,92.79453125,100.0,5000,85.403125,96.875,5000,78.6265625,89.0625,5000,96.0340625,100.0,5000,67.0771875,68.75,5000,1.361859850798665,1.1336782846330702,5000,1.2240554958879948,1.0386404395103455,5000
holdout,pareto,2903,128,eval,90.10344068161082,97.13655029710614,1000,0.875203125,1.0,1000,0.05259375,0.0,1000,0.29808487206697465,0.2739185094833374,1000,0.9405341884717345,0.8294225633144379,1000,0.24932463951408862,0.2279222309589386,1000,82.1184855013237,94.61763734232747,1000,94.92087877790033,100.0,1000,4.692451353699304,0.651701395712035,1000,85.19939331298636,95.38573110354682,1000,0.5755,1.0,1000,0.564,1.0,1000,0.066,0.0,1000,88.78938365072709,96.40452208817976,1000,97.68828125,100.0,1000,97.084375,100.0,1000,92.0859375,100.0,1000,98.07890625,100.0,1000,100.0,100.0,1000,1.0718143589977542,0.9205206909072026,1000,0.949553413644433,0.8436312973499298,1000
holdout,pareto,2903,128,native_grpo,67.73567668522557,72.3959930006584,1000,0.6479375,0.6875,1000,0.2079375,0.125,1000,2.0688501859903337,2.06347393989563,1000,0.9536491316258907,0.8518460690975189,1000,1.6578031997680664,1.6525317430496216,1000,20.392760510037057,0.0,1000,97.83423431813218,100.0,1000,28.49964634477107,30.06475058235717,1000,33.52754645876431,28.623272077166945,1000,0.60125,1.0,1000,0.54775,0.75,1000,0.02425,0.0,1000,72.74921868873993,77.71608402704325,1000,92.69453125,100.0,1000,85.6546875,96.875,1000,78.90625,89.0625,1000,96.14375,100.0,1000,67.79375,68.75,1000,1.1198148898333091,0.9628579149249228,1000,0.981237789079547,0.8720327317714691,1000
holdout,pareto,2903,512,eval,90.62868282848417,98.40950319165518,5000,0.875940625,1.0,5000,0.049771875,0.0,5000,0.28970829364210365,0.2523816227912903,5000,1.1896085008956492,0.9830737709999084,5000,0.24456223903149366,0.21060235053300858,5000,84.70249695098255,96.58165685617232,5000,94.7414550276951,100.0,5000,3.6771472248605392,0.5319899933392634,5000,86.91595032933776,97.1548881814408,5000,0.5794,1.0,5000,0.57045,1.0,5000,0.0714,0.0,5000,89.65089048851911,98.69871967629553,5000,98.09390625,100.0,5000,96.9309375,100.0,5000,92.585625,100.0,5000,98.121875,100.0,5000,99.9975,100.0,5000,1.312796941488371,1.073729368573613,5000,1.1941369380667806,0.9849916696548462,5000
holdout,pareto,2903,512,native_grpo,67.75499896375116,72.92218541751056,5000,0.6425625,0.6875,5000,0.208359375,0.125,5000,2.071294399905205,2.0621068477630615,5000,1.2100540849577635,1.0104131698608398,5000,1.6611394914627076,1.652247965335846,5000,20.371663414862887,0.0,5000,97.81037642920701,100.0,5000,28.50201340321274,30.166381205707378,5000,33.646040279729505,29.53240248654318,5000,0.60695,1.0,5000,0.560425,0.875,5000,0.0266,0.0,5000,73.37818543464451,78.54067182012218,5000,92.88890625,100.0,5000,85.5571875,98.4375,5000,78.8740625,89.0625,5000,96.09515625,100.0,5000,66.908125,68.75,5000,1.3699230624638998,1.1302788731834654,5000,1.2303162990659475,1.0254752039909363,5000
holdout,psi,1701,128,eval,88.30503520946446,97.43627285918812,1000,0.83628125,1.0,1000,0.06825,0.0,1000,0.3582709286659956,0.3448634147644043,1000,1.2121886491402984,1.0276482701301575,1000,0.30101264011859896,0.28818701207637787,1000,78.46191878092795,94.76198270829357,1000,95.30018940593934,100.0,1000,6.17840975501292,0.7375506285065307,1000,81.96927034408604,95.73633725088472,1000,0.58325,1.0,1000,0.5745,1.0,1000,0.07275,0.0,1000,88.81998131471374,97.7365695013096,1000,96.790625,100.0,1000,96.3875,100.0,1000,89.00625,100.0,1000,97.8640625,100.0,1000,99.9921875,100.0,1000,1.3214410866365316,1.0911564447259754,1000,1.2254557392299175,1.034301221370697,1000
holdout,psi,1701,128,native_grpo,66.30303817310377,71.20088889484055,1000,0.62121875,0.640625,1000,0.22440625,0.15625,1000,2.0998684241771697,2.095866322517395,1000,1.2276595168337225,1.0350540280342102,1000,1.6841557133197784,1.6808239221572876,1000,19.322219924842813,0.0,1000,97.98996136070777,100.0,1000,29.030700704286946,30.994364641153542,1000,32.05664525377252,25.78931764532888,1000,0.60525,1.0,1000,0.5615,0.875,1000,0.02775,0.0,1000,72.41248709539336,78.23717757877799,1000,91.375,99.21875,1000,85.1359375,96.875,1000,76.64375,87.5,1000,95.371875,100.0,1000,66.6671875,67.1875,1000,1.370752168476898,1.1361061904256975,1000,1.2703259587436915,1.0685936212539673,1000
