scope,model,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,original_grpo_11970,min_PDMS,5000,-62.392675815592355,-64.58333333333333,-63.140437101301096,-61.63640724755913,-63.24508567916307,-61.508707407289634,0.0,0.0132,991
FULL5000,original_grpo_11970,max_PDMS,5000,2.0992900486004977,0.18269678596463734,1.909623061812273,2.2985812588481536,1.8816034911979462,2.3448103989162714,0.517,0.4526,991
FULL5000,original_grpo_11970,CVaR25_PDMS,5000,-43.915654712896455,-39.2542912371693,-44.56581004202303,-43.27028917331215,-44.700804142355764,-43.10793918195395,0.0,0.0116,991
FULL5000,original_grpo_11970,Spread_AUC,5000,1.4521603261306881,1.4541773423552513,1.4508548693259433,1.4534461272852495,1.4508564143729492,1.4534903141500939,1.0,0.0,991
FULL5000,original_grpo_11970,hard_failure_rate,5000,0.08371875,0.03125,0.0802121875,0.08747515624999999,0.0789663497146292,0.08858368083740775,0.7102,0.2812,991
FULL5000,original_grpo_11970,zero_score_rate,5000,0.0808875,0.03125,0.077386953125,0.084425,0.07602906945039851,0.08571971630191938,0.6922,0.2992,991
FULL5000,original_grpo_11970,std_PDMS,5000,21.455752742345997,20.577465641477843,21.160650349610535,21.751900613400544,21.119268202326985,21.7943673966938,0.9964,0.0004,991
FULL5000,original_grpo_11970,no_safe_group,5000,-0.02195,0.0,-0.0259,-0.018248749999999994,-0.026796639427147738,-0.017387665553595912,0.0034,0.966,991
FULL5000,original_grpo_11970,best_safe_PDMS,4807,1.3932613934944336,0.033351147214347066,1.3243460608057505,1.4598040678151736,1.3230630073214849,1.4652599218407776,0.5046806740170584,0.4578739338464739,976
FULL5000,original_grpo_11970,Hit16,5000,0.11015,0.0,0.10219875,0.1180025,0.10207475932769718,0.11875667907116054,0.1548,0.8292,991
FULL5000,original_grpo_11970,GT_center_distance,5000,0.024093732590584914,0.024964965474484846,0.022410046790787678,0.025767297748088266,0.022490749047055968,0.025726937119182086,0.6694,0.0,991
FULL5000,psi_sft,pairwise_ADE,5000,1.9479790670223533,1.9507862385362387,1.9459843850966543,1.9499587314766273,1.945668212956972,1.9502504037573085,1.0,0.0,991
FULL5000,psi_sft,pairwise_ADE64,5000,1.9477836093574763,1.94991884380579,1.9458530792092532,1.9497512451474368,1.945571073929106,1.9500643619137723,1.0,0.0,991
FULL5000,psi_sft,centroid_displacement,5000,0.05804132907539606,0.06589507311582565,0.05566705953091383,0.06058845850793645,0.055420031362160796,0.0607141617601801,0.763,0.0,991
FULL5000,psi_sft,feasible_rate,5000,-0.287628125,-0.28125,-0.29375734375,-0.28101867187499996,-0.29564958564649246,-0.2800264657717471,0.0456,0.0636,991
FULL5000,psi_sft,mean_PDMS,5000,-26.31440785477386,-23.437499999999993,-26.812309613220954,-25.84621320966694,-26.896206974138295,-25.756433594635332,0.024,0.0008,991
FULL5000,psi_sft,min_PDMS,5000,-68.46045414636608,-79.16666666666667,-69.28592646441484,-67.61947539058536,-69.4368943931768,-67.48475451379527,0.0,0.0582,991
FULL5000,psi_sft,max_PDMS,5000,1.6194475525510805,0.0,1.3880214950997585,1.873205272964713,1.3664196829699518,1.8950077316298535,0.4746,0.4068,991
FULL5000,psi_sft,CVaR25_PDMS,5000,-58.32545250575845,-60.93674821469327,-59.12832438612678,-57.474838525004714,-59.2184069264209,-57.41634084129087,0.0006,0.0388,991
FULL5000,psi_sft,Spread_AUC,5000,1.5539000884622336,1.5557914525270462,1.5523405157281458,1.555508971427828,1.552165177899925,1.5557778313290125,1.0,0.0,991
FULL5000,psi_sft,hard_failure_rate,5000,0.18225,0.140625,0.17694375,0.18745984375000002,0.17594352501421373,0.1884965519611437,0.8028,0.1732,991
FULL5000,psi_sft,zero_score_rate,5000,0.177821875,0.125,0.172496171875,0.18312890625,0.17104836543051302,0.18422158170396608,0.787,0.1904,991
FULL5000,psi_sft,std_PDMS,5000,25.99978657031675,27.563736796048673,25.646958739114712,26.338365146966908,25.609568969299453,26.390682322885894,0.9764,0.0008,991
FULL5000,psi_sft,no_safe_group,5000,-0.0165,0.0,-0.0201,-0.012898749999999995,-0.0208714419841916,-0.012343803642428913,0.0108,0.9592,991
FULL5000,psi_sft,best_safe_PDMS,4829,0.6547326810420105,0.0,0.6004292783065325,0.7108983882968619,0.5916326752881416,0.7244009861462747,0.44957548146614207,0.4139573410644026,976
FULL5000,psi_sft,Hit16,5000,0.0213,0.0,0.01545,0.02740250000000001,0.015131580570815015,0.027949738197350506,0.0806,0.8444,991
FULL5000,psi_sft,GT_center_distance,5000,0.10038733972389885,0.10220887068306983,0.0974396675724538,0.10333009738661184,0.09712912295475562,0.1036279012337989,0.8328,0.0,991
NEW4000,official_il,pairwise_ADE,4000,1.847825718246866,1.8479722365736961,1.8460789651957457,1.8493712983370352,1.8461233217925428,1.849552538457078,1.0,0.0,944
NEW4000,official_il,pairwise_ADE64,4000,1.8474991450570524,1.8481419831514359,1.8459369789391988,1.8490693877166604,1.8458592256803716,1.8491445712551295,1.0,0.0,944
NEW4000,official_il,centroid_displacement,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,944
NEW4000,official_il,feasible_rate,4000,-0.23639453125,-0.203125,-0.24343759765625,-0.2295146484375,-0.2443011276425723,-0.2283264732115994,0.0455,0.096,944
NEW4000,official_il,mean_PDMS,4000,-22.25589817525789,-17.63469392103221,-22.824221681616425,-21.733627574808907,-22.90115802456575,-21.62145054275238,0.0255,0.0,944
NEW4000,official_il,min_PDMS,4000,-65.47934806326752,-74.72918982555471,-66.42061496335141,-64.53993085465339,-66.52570079397475,-64.47900898732604,0.0,0.0465,944
NEW4000,official_il,max_PDMS,4000,3.012513208638154,0.8820190931807588,2.68869124450089,3.3634802123449803,2.661039304372686,3.396628645985846,0.5705,0.36825,944
NEW4000,official_il,CVaR25_PDMS,4000,-53.06242149096143,-51.73489362206047,-54.005941954380724,-52.16694162484167,-54.09489632596571,-52.03845326646078,0.00125,0.03175,944
NEW4000,official_il,Spread_AUC,4000,1.473698256162461,1.4746849238872528,1.4723969026903039,1.4749467978674917,1.472309667410888,1.4750843047432045,1.0,0.0,944
NEW4000,official_il,hard_failure_rate,4000,0.15390625,0.078125,0.14820644531250002,0.15994189453125,0.14648665143794384,0.16106631237795246,0.742,0.23475,944
NEW4000,official_il,zero_score_rate,4000,0.1497421875,0.078125,0.14367509765625,0.15578154296875002,0.14235078940633814,0.15706641853444184,0.72475,0.25275,944
NEW4000,official_il,std_PDMS,4000,24.910336386170258,24.85215378839831,24.505022374062708,25.32440651274995,24.4706416408085,25.34033775769388,0.986,0.0,944
NEW4000,official_il,no_safe_group,4000,-0.0261875,0.0,-0.03125,-0.021435937499999995,-0.03176175163621392,-0.020928165784700754,0.006,0.95775,944
NEW4000,official_il,best_safe_PDMS,3839,1.491340049928402,0.617254499228352,1.4173860905450804,1.564682122813161,1.4069145822469729,1.5781918394181924,0.5537900494920552,0.37926543370669447,928
NEW4000,official_il,Hit16,4000,0.2751875,0.0,0.2624375,0.2886265625,0.2574236681198844,0.2938924580370537,0.40225,0.56225,944
NEW4000,official_il,GT_center_distance,4000,0.06569640790099002,0.06706262751900444,0.06390936404405168,0.06744086316030058,0.0637683381503165,0.06764105390517881,0.87575,0.0,944
NEW4000,original_grpo_11970,pairwise_ADE,4000,1.821544742088765,1.8234267495572567,1.8197296815955895,1.823343114999286,1.8197360628080854,1.8233936557253714,1.0,0.0,944
NEW4000,original_grpo_11970,pairwise_ADE64,4000,1.8212882228754461,1.8232773318886757,1.8194734694566579,1.8230736364190931,1.8195149644343316,1.8231041052703045,1.0,0.0,944
NEW4000,original_grpo_11970,centroid_displacement,4000,-0.0018952226862311364,-0.00010816752910614014,-0.002436033428972587,-0.0013275960110127924,-0.002479909625394801,-0.0012888228222863965,0.4955,0.0,944
NEW4000,original_grpo_11970,feasible_rate,4000,-0.17347265625,-0.125,-0.179703515625,-0.16722216796875,-0.18033193219400165,-0.1665171045974568,0.0355,0.106,944
NEW4000,original_grpo_11970,mean_PDMS,4000,-15.930838306142723,-12.471838272224431,-16.32098513988241,-15.544758177924763,-16.41903439812131,-15.481146078214334,0.012,0.0005,944
NEW4000,original_grpo_11970,min_PDMS,4000,-62.17099476279621,-64.58333333333333,-63.00093770456391,-61.2926160274708,-63.06464012688501,-61.22077928792487,0.0,0.014,944
NEW4000,original_grpo_11970,max_PDMS,4000,2.137224137559446,0.1725860409288842,1.915998194999961,2.360680304500149,1.8896784635211932,2.4196600092715475,0.51675,0.45225,944
NEW4000,original_grpo_11970,CVaR25_PDMS,4000,-43.7853552405874,-39.164655911425236,-44.58361913056668,-43.01657133943336,-44.60638965871267,-43.00123593680747,0.0,0.0125,944
