scope,protocol,model,reference,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,native_grpo,original_grpo_11970,official_il,max_PDMS,5000,1.08629887082534,0.061675352999522204,1.000286758213256,1.1780640318998987,0.9824653605534492,1.1908474532059639,0.5088,0.4116,991
FULL5000,native_grpo,original_grpo_11970,official_il,CVaR25_PDMS,5000,14.37867244175176,8.664476108956329,13.854029345982557,14.880025063150356,13.748144071326694,15.017741029373076,0.7874,0.0696,991
FULL5000,native_grpo,original_grpo_11970,official_il,Spread_AUC,5000,-0.00012841067314147949,0.002041041851043701,-0.0005341209888458252,0.0002656864953041078,-0.0006614752049094254,0.00045916908328437885,0.5716,0.0,991
FULL5000,native_grpo,original_grpo_11970,official_il,hard_failure_rate,5000,-0.089375,-0.03125,-0.0931534375,-0.08575515625,-0.09423566388760993,-0.08475651106067068,0.1044,0.285,991
FULL5000,native_grpo,original_grpo_11970,official_il,zero_score_rate,5000,-0.08751875,-0.03125,-0.091362890625,-0.08367804687500001,-0.09255390504688076,-0.0827496532987706,0.1024,0.3024,991
FULL5000,native_grpo,original_grpo_11970,official_il,std_PDMS,5000,-5.05777305828106,-3.018588083238777,-5.280550424633551,-4.837283582821723,-5.327158981554654,-4.793271076152341,0.2692,0.0006,991
FULL5000,native_grpo,original_grpo_11970,official_il,no_safe_group,5000,0.0008,0.0,-0.0006,0.00235,-0.0006454946358342326,0.0023355233189337747,0.0096,0.982,991
FULL5000,native_grpo,original_grpo_11970,official_il,best_safe_PDMS,4925,1.0062439916556272,0.024247662670532577,0.9465053374005051,1.0680520203689392,0.9242985193688329,1.0925191377869141,0.5039593908629442,0.4087309644670051,981
FULL5000,native_grpo,original_grpo_11970,official_il,Hit16,5000,0.04515,0.0,0.04064875,0.0498,0.040308232548450014,0.050061385589486584,0.1668,0.8004,991
FULL5000,native_grpo,original_grpo_11970,official_il,GT_center_distance,5000,0.22632258828157628,0.2090430777275413,0.21995317148520538,0.23286600054387965,0.21843764339220165,0.2344897563651562,0.8578,0.0,991
FULL5000,native_grpo,psi_sft,official_il,pairwise_ADE,5000,0.260729584890604,0.26216523349285126,0.25913236716866495,0.2624096278999746,0.2581488072096615,0.2634537039365617,1.0,0.0,991
FULL5000,native_grpo,psi_sft,official_il,pairwise_ADE64,5000,0.26065052506923675,0.2616384029388428,0.2590537812399864,0.2621861377131939,0.25829670772048935,0.2632968305893736,1.0,0.0,991
