scope,membership,model,protocol,kind,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,weighted_hit64_0p5,3677,-0.038210497623492365,0.0,-0.04483274401879551,-0.03175006790235051,-0.04579618598375351,-0.031214033336165705,0.006255099265705739,0.9415284199075333,778
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,hit64_0p5,3677,0.006708367328438038,0.0,0.000634575287825219,0.012691505756504394,0.0003074314735401459,0.01286771401736994,0.03181941800380745,0.9483274408485178,778
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,hit16_0p5,3677,0.0022550086120931914,0.0,-0.002889583899918412,0.007672128546822593,-0.003252585258166871,0.007669971005447388,0.03807451726951319,0.9330976339407125,778
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,mass64_0p5,3677,-0.010704916825310488,0.0,-0.01475676148467954,-0.006797161833695945,-0.014714408507283228,-0.006830894259258736,0.06037530595594234,0.861843894479195,778
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,nearest_ADE,3677,-0.14404187920035505,-0.10977554321289062,-0.15124607577054747,-0.13687443130750684,-0.15348905237787236,-0.1352079378290358,0.21648082676094643,0.0,778
FULL5000,PSI_TRAIN,psi_sft,eval,NON_GT,weighted_hit64_0p5,3677,0.008498776095179978,0.0,0.002270872935729731,0.014863339591105737,0.0024425871547147514,0.014954353813443741,0.03181941800380745,0.9483274408485178,778
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,hit64_0p5,1679,-0.197736748064324,0.0,-0.21739130434782608,-0.1786777843954735,-0.22007134075409493,-0.17764409015007285,0.007742703990470518,0.7867778439547349,541
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,hit16_0p5,1679,-0.22185824895771292,0.0,-0.24196322215604527,-0.20160810005955926,-0.24186240967802108,-0.20178014020432775,0.023823704586063133,0.6902918403811793,541
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,mass64_0p5,1679,-0.3159618820726623,-0.171875,-0.33663150498808814,-0.29448169483323405,-0.33777524790103225,-0.29409418586980207,0.1405598570577725,0.17212626563430614,541
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,nearest_ADE,1679,0.2206469985371885,0.20926225185394287,0.21192548907990943,0.22875695053616704,0.21159495925087832,0.2298838608924264,0.916617033948779,0.0,541
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,weighted_hit64_0p5,1679,-0.197736748064324,0.0,-0.21798689696247767,-0.1780821917808219,-0.21922574476212955,-0.17632916982018243,0.007742703990470518,0.7867778439547349,541
FULL5000,PSI_TRAIN,psi_sft,eval,GT,hit64_0p5,1679,-0.05896366885050625,0.0,-0.07325789160214413,-0.04525014889815361,-0.07247402910882314,-0.0457041247914062,0.016676593210244194,0.9076831447290054,541
FULL5000,PSI_TRAIN,psi_sft,eval,GT,hit16_0p5,1679,-0.08010720667063728,0.0,-0.09544371649791543,-0.06536256700416913,-0.09510106033078562,-0.06534846797810406,0.038117927337701016,0.8082191780821918,541
FULL5000,PSI_TRAIN,psi_sft,eval,GT,mass64_0p5,1679,-0.20759194460988684,-0.078125,-0.2245954157980941,-0.19119407013103037,-0.22644969168271745,-0.1892062312389032,0.15008933889219775,0.1953543776057177,541
FULL5000,PSI_TRAIN,psi_sft,eval,GT,nearest_ADE,1679,0.09337080676860757,0.07351222634315491,0.0851847440742085,0.10187218382967356,0.08560701707051252,0.10170292279701024,0.7933293627159024,0.0,541
FULL5000,PSI_TRAIN,psi_sft,eval,GT,weighted_hit64_0p5,1679,-0.05896366885050625,0.0,-0.07325789160214413,-0.04526503871351995,-0.07302371003111896,-0.04553661395961709,0.016676593210244194,0.9076831447290054,541
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,hit64_0p5,4111,0.0,0.0,-0.00036487472634395525,0.00036487472634395525,-0.0003652456840492437,0.00035649789205584434,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,hit16_0p5,4111,0.0,0.0,-9.121868158598881e-05,9.121868158598881e-05,-9.020928554245851e-05,8.967377297055819e-05,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,mass64_0p5,4111,0.0,0.0,-5.701167599124301e-06,5.701167599124301e-06,-5.402530398195922e-06,5.739246436934612e-06,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,nearest_ADE,4111,-0.026144523685560177,-0.013500690460205078,-0.0302188864251002,-0.021780439621556617,-0.03127268100488976,-0.021030385420034266,0.4502554123084408,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,weighted_hit64_0p5,4111,0.0,0.0,-0.000510824608182246,0.000510824608182246,-0.0004995272253365371,0.0005102195863248873,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,hit64_0p5,4111,-4.0541636260439473e-05,0.0,-0.00036487472634395525,0.00020270818130219733,-0.00036426777996571944,0.00022641547102165123,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,hit16_0p5,4111,-1.0135409065109868e-05,0.0,-9.121868158598881e-05,6.081245439065921e-05,-8.686940611955002e-05,6.001538559422522e-05,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,mass64_0p5,4111,-6.334630665693668e-07,0.0,-5.701167599124301e-06,3.8007783994162004e-06,-5.716498279622038e-06,3.7463742684765823e-06,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,nearest_ADE,4111,0.021152735901876427,0.03656148910522461,0.015661644570962613,0.026258255555460963,0.01525974072569234,0.026915510686672025,0.6105570420822184,0.0,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,ALL,weighted_hit64_0p5,4111,0.0,0.0,-0.000510824608182246,0.000510824608182246,-0.0005048167913789653,0.0005125889583902438,0.00024324981756263683,0.9995135003648747,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,hit64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,hit16_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,mass64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,nearest_ADE,3677,-0.035109113829921115,-0.024585485458374023,-0.03985271212448074,-0.030275679219829214,-0.04059346491881546,-0.029840067289127293,0.422355180853957,0.0,778
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,weighted_hit64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,hit64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,hit16_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,mass64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,nearest_ADE,3677,0.007750591831036096,0.01891326904296875,0.0019009312392415838,0.013784845053809216,0.0011483768758680803,0.013992298782373428,0.5474571661680718,0.0,778
FULL5000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,weighted_hit64_0p5,3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,778
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,hit64_0p5,1679,0.0,0.0,-0.001786777843954735,0.001786777843954735,-0.0017574692442882249,0.0017773302909699468,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,hit16_0p5,1679,0.0,0.0,-0.0004466944609886837,0.0004466944609886837,-0.0004548280032911974,0.0004386739817742238,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,mass64_0p5,1679,0.0,0.0,-2.7918403811792733e-05,2.7918403811792733e-05,-2.6924955633160138e-05,2.770431028788203e-05,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,nearest_ADE,1679,0.03153425444443358,0.025165677070617676,0.026417750817739657,0.03677302557063145,0.02638560268808066,0.03700551884181021,0.6092912447885647,0.0,541
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,weighted_hit64_0p5,1679,0.0,0.0,-0.001786777843954735,0.001786777843954735,-0.0017774893513121384,0.0017452769743345662,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,hit64_0p5,1679,0.0,0.0,-0.001786777843954735,0.001786777843954735,-0.0017462419562506823,0.0018182646133465808,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,hit16_0p5,1679,0.0,0.0,-0.0004466944609886837,0.0004466944609886837,-0.00044589774078478004,0.00043706293706293706,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,mass64_0p5,1679,0.0,0.0,-2.7918403811792733e-05,2.7918403811792733e-05,-2.7509610948594033e-05,2.770431028788203e-05,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,nearest_ADE,1679,0.10252824281921978,0.09190374612808228,0.0961667016121942,0.10894976812079238,0.09592211970802968,0.10944018500100919,0.7992852888624181,0.0,541
FULL5000,PSI_TRAIN,psi_sft,native_grpo,GT,weighted_hit64_0p5,1679,0.0,0.0,-0.001786777843954735,0.001786777843954735,-0.0017554639400012956,0.0017669149000561451,0.0005955926146515784,0.9988088147706968,541
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,hit64_0p5,889,-0.29358830146231724,0.0,-0.3251124859392576,-0.26209223847019125,-0.33234795548654245,-0.25471620103596765,0.015748031496062992,0.6749156355455568,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,hit16_0p5,889,-0.2907761529808774,0.0,-0.32143560179977504,-0.2615227784026996,-0.3278606240858988,-0.25428103044496486,0.03374578177727784,0.5894263217097863,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,mass64_0p5,889,-0.25813765466816646,-0.03125,-0.2844158640326209,-0.2316476553712036,-0.2902031246876921,-0.22528587335541855,0.08773903262092239,0.3700787401574803,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,nearest_ADE,889,0.22510225045587973,0.21407514810562134,0.21081327173143363,0.24054487207430417,0.20527757974481606,0.24362960137998124,0.843644544431946,0.0,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,ALL,weighted_hit64_0p5,889,-0.29358830146231724,0.0,-0.3262092238470191,-0.26209223847019125,-0.3325367082217638,-0.25518424664766126,0.015748031496062992,0.6749156355455568,189
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,hit64_0p5,889,-0.07536557930258718,0.0,-0.10573678290213723,-0.04274465691788527,-0.11061797921547425,-0.041521158923563846,0.0798650168728909,0.7649043869516311,189
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,hit16_0p5,889,-0.11276715410573679,0.0,-0.14286417322834644,-0.08267716535433071,-0.1464653606197724,-0.0792510316727251,0.11361079865016872,0.6276715410573678,189
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,mass64_0p5,889,-0.19412612485939257,-0.015625,-0.22100015818335206,-0.16716113610798647,-0.22404288746593723,-0.16318282239711326,0.18335208098987626,0.2890888638920135,189
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,nearest_ADE,889,0.07661697383827548,0.06785702705383301,0.059220527924457936,0.09404831739065014,0.05522044236498265,0.0977397626557654,0.6456692913385826,0.0,189
FULL5000,PSI_VALIDATION,psi_sft,eval,ALL,weighted_hit64_0p5,889,-0.07536557930258718,0.0,-0.10686164229471316,-0.043869516310461196,-0.11028630148223946,-0.04334669616997903,0.0798650168728909,0.7649043869516311,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,hit64_0p5,889,-0.29358830146231724,0.0,-0.3250843644544432,-0.26209223847019125,-0.33377428630259887,-0.2526157228644867,0.015748031496062992,0.6749156355455568,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,hit16_0p5,889,-0.2907761529808774,0.0,-0.3200365579302587,-0.2609673790776153,-0.32883241786348777,-0.25232308884297516,0.03374578177727784,0.5894263217097863,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,mass64_0p5,889,-0.25813765466816646,-0.03125,-0.2848908534870641,-0.23168544361642296,-0.2893112948358132,-0.2251167746692602,0.08773903262092239,0.3700787401574803,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,nearest_ADE,889,0.22510225045587973,0.21407514810562134,0.21019295103553604,0.2400020665617993,0.20597270604419504,0.24465287074450795,0.843644544431946,0.0,189
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,GT,weighted_hit64_0p5,889,-0.29358830146231724,0.0,-0.3250843644544432,-0.26209223847019125,-0.3329327994946492,-0.254194003219166,0.015748031496062992,0.6749156355455568,189
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,hit64_0p5,889,-0.07536557930258718,0.0,-0.10798650168728909,-0.043869516310461196,-0.10963721421812207,-0.04250138576157385,0.0798650168728909,0.7649043869516311,189
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,hit16_0p5,889,-0.11276715410573679,0.0,-0.14173228346456693,-0.08295838020247469,-0.14818793104461128,-0.07970974938295043,0.11361079865016872,0.6276715410573678,189
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,mass64_0p5,889,-0.19412612485939257,-0.015625,-0.22256924915635545,-0.16790064327896512,-0.22684686032882875,-0.16303951251754104,0.18335208098987626,0.2890888638920135,189
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,nearest_ADE,889,0.07661697383827548,0.06785702705383301,0.05879454585462725,0.09374739166555551,0.055899344478412244,0.0982293422069252,0.6456692913385826,0.0,189
FULL5000,PSI_VALIDATION,psi_sft,eval,GT,weighted_hit64_0p5,889,-0.07536557930258718,0.0,-0.10798650168728909,-0.043841394825646696,-0.10999213343185336,-0.041854223768360385,0.0798650168728909,0.7649043869516311,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,hit64_0p5,889,-0.0011248593925759281,0.0,-0.00562429696287964,0.0022497187851518562,-0.004890275180977036,0.0023810233270900737,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,hit16_0p5,889,-0.00028121484814398203,0.0,-0.00140607424071991,0.0005624296962879641,-0.001221075945678149,0.0006142884375642997,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,mass64_0p5,889,-1.7575928008998877e-05,0.0,-8.787964004499437e-05,3.5151856017997754e-05,-7.793504519950124e-05,3.73882736882507e-05,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,nearest_ADE,889,0.0436363309387147,0.039109885692596436,0.03413757673968615,0.05283438840250331,0.033656526876274316,0.05397251433336293,0.6265466816647919,0.0,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,weighted_hit64_0p5,889,-0.0011248593925759281,0.0,-0.00562429696287964,0.0022497187851518562,-0.0053590568060021436,0.002367074730495159,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,hit64_0p5,889,-0.0022497187851518562,0.0,-0.00562429696287964,0.0,-0.00589640044775122,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,hit16_0p5,889,-0.0005624296962879641,0.0,-0.00140607424071991,0.0,-0.0014534883720930232,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,mass64_0p5,889,-3.5151856017997754e-05,0.0,-8.787964004499437e-05,0.0,-9.074015223644761e-05,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,nearest_ADE,889,0.12848377227783203,0.12730681896209717,0.11594711710919947,0.14103931150366672,0.11516156070663808,0.14205577951349954,0.7806524184476941,0.0,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,weighted_hit64_0p5,889,-0.0022497187851518562,0.0,-0.00562429696287964,0.0,-0.006045949214026602,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,hit64_0p5,889,-0.0011248593925759281,0.0,-0.0044994375703037125,0.0022497187851518562,-0.005176117529688154,0.002424389705070143,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,hit16_0p5,889,-0.00028121484814398203,0.0,-0.0011248593925759281,0.0005624296962879641,-0.0012378396987256053,0.0006105192688322273,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,mass64_0p5,889,-1.7575928008998877e-05,0.0,-8.787964004499437e-05,3.5151856017997754e-05,-8.138232981947341e-05,3.788108914172099e-05,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,nearest_ADE,889,0.0436363309387147,0.039109885692596436,0.03397345924236643,0.05362268282672552,0.03331600571486592,0.053287243991840705,0.6265466816647919,0.0,189
FULL5000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,weighted_hit64_0p5,889,-0.0011248593925759281,0.0,-0.0044994375703037125,0.0022497187851518562,-0.005417264978155266,0.0023810944425502905,0.0011248593925759281,0.9966254218222722,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,hit64_0p5,889,-0.0022497187851518562,0.0,-0.00562429696287964,0.0,-0.006105379728390745,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,hit16_0p5,889,-0.0005624296962879641,0.0,-0.00140607424071991,0.0,-0.001456918956189668,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,mass64_0p5,889,-3.5151856017997754e-05,0.0,-8.787964004499437e-05,0.0,-8.868268328084101e-05,0.0,0.0,0.9977502812148481,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,nearest_ADE,889,0.12848377227783203,0.12730681896209717,0.11685303441249881,0.1404960153542702,0.11508618198654032,0.14186515168533212,0.7806524184476941,0.0,189
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,weighted_hit64_0p5,889,-0.0022497187851518562,0.0,-0.00562429696287964,0.0,-0.005714285714285714,0.0,0.0,0.9977502812148481,189
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,hit64_0p5,3276,-0.07626170126170126,0.0,-0.08496387871387871,-0.06761167073667072,-0.0854181619391091,-0.06757501653630578,0.008547008547008548,0.8675213675213675,760
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,hit16_0p5,3276,-0.08272283272283272,0.0,-0.09121896621896622,-0.07413734991859992,-0.09165460523049733,-0.07426560528797671,0.016788766788766788,0.8223443223443223,760
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,mass64_0p5,3276,-0.10499100147537647,0.0,-0.1138656175277269,-0.09660422946555758,-0.11468944019988231,-0.09596126403855393,0.06318681318681318,0.6196581196581197,760
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,nearest_ADE,3276,0.0133472168232486,0.03173631429672241,0.005523740055530773,0.02136791689595451,0.002408919926897157,0.0235835942819729,0.5506715506715507,0.0,760
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,weighted_hit64_0p5,3276,-0.08412698405238735,0.0,-0.09351457563184556,-0.07528998778998779,-0.09349755372319213,-0.07518641605119859,0.008852258852258852,0.8672161172161172,760
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,hit64_0p5,3276,-0.0058506308506308495,0.0,-0.012718762718762721,0.0005608974358974408,-0.01304044691110418,0.0015669728150655012,0.03388278388278388,0.9215506715506715,760
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,hit16_0p5,3276,-0.014092389092389091,0.0,-0.020682298026048023,-0.007325371387871386,-0.020877754935283706,-0.007508397167811773,0.046703296703296704,0.8763736263736264,760
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,mass64_0p5,3276,-0.05356109457671958,0.0,-0.060382643976393965,-0.046840977309727305,-0.06147120782391541,-0.04632238916128228,0.10225885225885226,0.6117216117216118,760
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,nearest_ADE,3276,-0.10512291757226154,-0.07021336257457733,-0.11332902739314028,-0.09737594224711862,-0.11603509078448329,-0.09470393132940153,0.35622710622710624,0.0,760
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,weighted_hit64_0p5,3276,-0.006043956193149599,0.0,-0.0131868132850626,0.0012526707155163803,-0.013861168813895285,0.0019787691851838782,0.03388278388278388,0.9215506715506715,760
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,hit64_0p5,2910,-0.038545246277205035,0.0,-0.04599083619702176,-0.03121420389461627,-0.047381774752351453,-0.030094756706949704,0.007216494845360825,0.9374570446735395,738
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,hit16_0p5,2910,-0.04019186712485681,0.0,-0.047222938144329894,-0.033462199312714776,-0.04791819122986159,-0.032615187553341383,0.00859106529209622,0.9199312714776632,738
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,mass64_0p5,2910,-0.038751968785796106,0.0,-0.04477137474942726,-0.033106922966781215,-0.045242094615831153,-0.032485106829187524,0.01752577319587629,0.8735395189003436,738
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,nearest_ADE,2910,-0.03958137721540182,-0.027819335460662842,-0.04748679757163031,-0.03214505400687866,-0.049527911024715626,-0.03026163081319871,0.43058419243986257,0.0,738
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,weighted_hit64_0p5,2910,-0.0399312714121186,0.0,-0.048127577292294436,-0.032250429490433934,-0.048666271584553104,-0.030978240025362997,0.007216494845360825,0.9374570446735395,738
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,hit64_0p5,2910,0.0035509736540664367,0.0,-0.0029209621993127152,0.010309278350515462,-0.0037732178508692593,0.010734111270706783,0.030927835051546393,0.9467353951890034,738
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,hit16_0p5,2910,-8.59106529209625e-05,0.0,-0.005871635166093929,0.005785008591065292,-0.006659476615330185,0.006048676648926437,0.03711340206185567,0.931958762886598,738
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,mass64_0p5,2910,-0.01327319587628866,0.0,-0.017499418313287513,-0.008904102233676976,-0.018007397083270815,-0.00868335691414917,0.05910652920962199,0.8584192439862542,738
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,nearest_ADE,2910,-0.14342611256692417,-0.11093193292617798,-0.1518028401705049,-0.13544754218514946,-0.15394795411796527,-0.1332306793445997,0.21924398625429553,0.0,738
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,weighted_hit64_0p5,2910,0.005549828078328949,0.0,-0.0017190722870253203,0.012525773079124922,-0.0022361305899129603,0.012937291699657325,0.030927835051546393,0.9467353951890034,738
NEW4000,PSI_TRAIN,original_grpo_11970,eval,GT,hit64_0p5,1351,-0.20577350111028866,0.0,-0.22797927461139897,-0.1835677276091784,-0.22888338028989305,-0.1829716483487133,0.006661732050333087,0.7809030347890451,485
