scope,membership,model,protocol,kind,scenes,teachers,nearest_ADE,hit64_0p25,hit16_0p25,mass64_0p25,hit64_0p5,hit16_0p5,mass64_0p5,hit64_1p0,hit16_1p0,mass64_1p0,weighted_nearest_ADE,weighted_hit64_0p25,weighted_hit16_0p25,weighted_mass64_0p25,weighted_hit64_0p5,weighted_hit16_0p5,weighted_mass64_0p5,weighted_hit64_1p0,weighted_hit16_1p0,weighted_mass64_1p0
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,ALL,889,889,1.1005347717063096,0.0,0.0,0.0,0.0,0.0,0.0,0.38357705286839144,0.1296400449943757,0.00920978627671541,1.1005347717063096,0.0,0.0,0.0,0.0,0.0,0.0,0.38357705286839144,0.1296400449943757,0.00920978627671541
FULL5000,PSI_VALIDATION,psi_sft,native_grpo,GT,889,889,1.1005347717063096,0.0,0.0,0.0,0.0,0.0,0.0,0.38357705286839144,0.1296400449943757,0.00920978627671541,1.1005347717063096,0.0,0.0,0.0,0.0,0.0,0.0,0.38357705286839144,0.1296400449943757,0.00920978627671541
NEW4000,PSI_TRAIN,official_il,eval,ALL,3276,4983,1.004005034419484,0.22481684981684982,0.20645095645095646,0.11800547542735043,0.30087505087505084,0.29185744810744807,0.24562633547008547,0.42958892958892964,0.4172644485144485,0.37384815705128205,0.9343726787635412,0.2729090331838681,0.25139651767300014,0.14514103368017367,0.35099206167990765,0.34133851986210134,0.29046426415505966,0.4831501814526516,0.47105082126973385,0.42728508180558855
NEW4000,PSI_TRAIN,official_il,eval,GT,1351,1351,0.18759855266376435,0.7897853441894893,0.730940044411547,0.4299824204293116,0.9526276831976314,0.9326424870466321,0.8148362324204294,0.9911176905995559,0.9896373056994818,0.9775513508512214,0.18759855266376435,0.7897853441894893,0.730940044411547,0.4299824204293116,0.9526276831976314,0.9326424870466321,0.8148362324204294,0.9911176905995559,0.9896373056994818,0.9775513508512214
NEW4000,PSI_TRAIN,official_il,eval,NON_GT,2910,3632,1.2510024613736013,0.04129438717067583,0.03397766323024055,0.012249427262313858,0.0997709049255441,0.0936426116838488,0.06741748997709049,0.2501718213058419,0.2351947308132875,0.18466942296678118,1.2378108998344526,0.04250859099974747,0.034974226749844566,0.012766859937728066,0.10225085897748823,0.09591924386847879,0.06900155704766128,0.2618213054548014,0.2464003431018685,0.19362005970130364
NEW4000,PSI_TRAIN,official_il,native_grpo,ALL,3276,4983,1.1484122520110256,0.0,0.0,0.0,0.0,0.0,0.0,0.37047212047212047,0.18813593813593812,0.016163957570207572,1.1233244012672823,0.0,0.0,0.0,0.0,0.0,0.0,0.4181929164553591,0.2179639788210319,0.018868284344318368
NEW4000,PSI_TRAIN,official_il,native_grpo,GT,1351,1351,0.8595075955397989,0.0,0.0,0.0,0.0,0.0,0.0,0.921539600296077,0.5349740932642487,0.0479390266469282,0.8595075955397989,0.0,0.0,0.0,0.0,0.0,0.0,0.921539600296077,0.5349740932642487,0.0479390266469282
NEW4000,PSI_TRAIN,official_il,native_grpo,NON_GT,2910,3632,1.2325017937475053,0.0,0.0,0.0,0.0,0.0,0.0,0.1964490263459336,0.07807846506300115,0.006032538659793815,1.2260756156903363,0.0,0.0,0.0,0.0,0.0,0.0,0.2021993125222393,0.08070876274987594,0.006244899044005373
NEW4000,PSI_TRAIN,original_grpo_11970,eval,ALL,3276,4983,1.0173522512427324,0.06018518518518518,0.04819139194139193,0.017826935795685797,0.22461334961334958,0.2091346153846154,0.140635333994709,0.4573158323158323,0.4402599715099715,0.37967811991249495,0.9589438367412131,0.07585470005415007,0.06135912626863472,0.023280581973108744,0.26686507762752026,0.2493246314712824,0.17033062257004564,0.5130494488209886,0.49550518629588053,0.43221725906462605
NEW4000,PSI_TRAIN,original_grpo_11970,eval,GT,1351,1351,0.4105265797629434,0.22797927461139897,0.18708364174685418,0.07243477054034049,0.7468541820873427,0.7055884529977794,0.49820734641006664,0.9792746113989638,0.9729829755736491,0.9299130273871207,0.4105265797629434,0.22797927461139897,0.18708364174685418,0.07243477054034049,0.7468541820873427,0.7055884529977794,0.49820734641006664,0.9792746113989638,0.9729829755736491,0.9299130273871207
NEW4000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,2910,3632,1.2114210841581994,0.006357388316151203,0.004725085910652921,0.0014282646048109965,0.06122565864833906,0.05345074455899198,0.028665521191294382,0.2830469644902635,0.263659793814433,0.2017790664375716,1.1997245389366478,0.006563573870871894,0.004845360817573324,0.0014497422667610687,0.06231958756536962,0.05438144324264166,0.029212306667426503,0.296958762499475,0.27669243924703796,0.21167686808041433
NEW4000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,3276,4983,1.1234524799863352,0.0,0.0,0.0,0.00015262515262515263,3.8156288156288156e-05,2.3847680097680098e-06,0.3673687423687424,0.16327075702075702,0.013179817867317865,1.0999445816608866,0.0,0.0,0.0,0.00021367521003634647,5.341880250908662e-05,3.3386751568179136e-06,0.41373626200962127,0.18835851511666699,0.015351466990191994
