metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
robustness_AUC,pc_mts - pareto,1000,0.016014603904103537,0.01254718463288831,0.01963003445067825,0.472
robustness_AUC,pc_mts - gt_distance,1000,0.007281326382381623,0.004036012994376864,0.010440634060626659,0.409
worst_direction_drop,pc_mts - score,1000,1.9472375755006663,1.3994427746241784,2.451291159069032,0.492
worst_direction_drop,pc_mts - pareto,1000,2.587711108854326,2.1120305175257297,3.062953279299428,0.48
worst_direction_drop,pc_mts - gt_distance,1000,1.2092906058203798,0.7915720669493747,1.6361891280632612,0.41
pool_diversity,pc_mts - score,1000,-0.11412179709858432,-0.12670190966589304,-0.10174031854614261,0.339
pool_diversity,pc_mts - pareto,1000,-0.3106827939006282,-0.32334789386545204,-0.2982477466025757,0.0
pool_diversity,pc_mts - gt_distance,1000,-0.18800595059766897,-0.19265807187063394,-0.18344476450593686,0.006
HQ_boundary,pc_mts - score,1000,0.4390625,0.4116875,0.46775,0.519
HQ_boundary,pc_mts - pareto,1000,0.429125,0.402625,0.4559390625,0.52
HQ_boundary,pc_mts - gt_distance,1000,0.4215625,0.395625,0.44856406249999997,0.52
HQ_far,pc_mts - score,1000,-0.9304375,-0.943503125,-0.91775,0.0
HQ_far,pc_mts - pareto,1000,-0.9114375,-0.9218125,-0.9008125,0.0
HQ_far,pc_mts - gt_distance,1000,-0.6196875,-0.6445015625,-0.5934359374999999,0.0
