metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
local_P10,pc_mts - score,412,-1.387190392224046,-3.2281805070543728,0.4688737282281689,0.1796116504854369
local_P10,pc_mts - pareto,412,-3.834274876004688,-5.387836656394612,-2.3051660183563607,0.30097087378640774
local_P10,pc_mts - gt_distance,412,-2.297801390276829,-3.9511565703297733,-0.8866631208869743,0.33495145631067963
local_CVaR20,pc_mts - score,412,-1.7156245413493818,-3.2164104471669446,-0.09641287776257298,0.23786407766990292
local_CVaR20,pc_mts - pareto,412,-4.818934870892657,-6.213411729545747,-3.459341285661623,0.30097087378640774
local_CVaR20,pc_mts - gt_distance,412,-3.0326840254947487,-4.413845215320156,-1.7533479642586203,0.33980582524271846
local_feasible,pc_mts - score,412,-0.0038620044498381897,-0.010037577113673141,0.0023390094053398064,0.1941747572815534
local_feasible,pc_mts - pareto,412,-0.012609981796116505,-0.01783838364684466,-0.007755454844255663,0.24757281553398058
local_feasible,pc_mts - gt_distance,412,-0.00983515372168285,-0.015011883090614889,-0.0045950584041262125,0.2669902912621359
hard_failure,pc_mts - score,412,0.002319730987055016,-0.0014795395934466024,0.005973307291666667,0.17475728155339806
hard_failure,pc_mts - pareto,412,0.009689775485436893,0.006396484374999999,0.013122282059061489,0.21359223300970873
hard_failure,pc_mts - gt_distance,412,0.005353711569579288,0.0024268684263754046,0.00845137414037217,0.19174757281553398
robust_radius,pc_mts - score,412,-0.011908373786407767,-0.020608692354368935,-0.0030715260922330083,0.18689320388349515
robust_radius,pc_mts - pareto,412,-0.029308252427184465,-0.036827025182038835,-0.021912355885922326,0.2354368932038835
robust_radius,pc_mts - gt_distance,412,-0.02142748786407767,-0.02906629247572816,-0.013637363470873786,0.25728155339805825
robustness_AUC,pc_mts - score,412,0.004426477263913315,0.00016924833344292628,0.008529828551109274,0.3786407766990291
robustness_AUC,pc_mts - pareto,412,0.012305368857357894,0.008718458849986134,0.016226429583131384,0.38106796116504854
robustness_AUC,pc_mts - gt_distance,412,0.008527195358289306,0.005035633185612763,0.012065092759621414,0.3640776699029126
worst_direction_drop,pc_mts - score,412,0.7323242561727822,0.15386382477311764,1.3096912478841047,0.3713592233009709
worst_direction_drop,pc_mts - pareto,412,1.9207622620221958,1.412478360898376,2.4670628775011156,0.39805825242718446
worst_direction_drop,pc_mts - gt_distance,412,1.3371032278777741,0.8744591932195431,1.820209969304887,0.3713592233009709
HQ_boundary,pc_mts - score,412,0.8106796116504854,0.7838288834951457,0.8369235436893204,0.9757281553398058
HQ_boundary,pc_mts - pareto,412,0.7867111650485437,0.765625,0.8068871359223301,0.9781553398058253
HQ_boundary,pc_mts - gt_distance,412,0.7814016990291263,0.7597049453883495,0.8018848604368932,0.9781553398058253
HQ_far,pc_mts - score,412,-0.863622572815534,-0.8904733009708737,-0.8352510618932039,0.0
HQ_far,pc_mts - pareto,412,-0.8334344660194175,-0.8511832524271845,-0.8138652912621359,0.0
HQ_far,pc_mts - gt_distance,412,-0.7763956310679612,-0.8003640776699029,-0.7506030036407767,0.0
