token,boundary,boundary_feasible,boundary_feasible_quality,boundary_feasible_front,boundary_feasible_front_quality,primary,core_all_quality
6ca6a1a4f3dc5d85,18,18,16,0,0,0,0
0ee58e583be85ffb,50,50,50,0,0,0,0
a28a2771a9fa5c1d,21,21,21,21,21,21,12
488e4248a8985e5a,12,12,12,12,12,12,19
0beb530925b9514b,24,24,24,24,24,24,21
29b53c57c19b57fe,17,17,17,0,0,0,0
2639525675535145,32,32,32,21,21,21,13
9a83782a2cf85611,26,26,26,0,0,0,0
cd01f21ff39d541a,16,16,16,16,16,16,15
facaaf8c0e8c5c65,12,12,12,12,12,12,17
88757fb00fda507b,15,15,13,0,0,0,0
e9f4daa7d910568c,16,16,16,0,0,0,0
d6bb0cea4dbd5b44,15,15,15,0,0,0,0
efad2708409b5834,15,15,15,15,15,15,15
3a4cfdd4bfa55a5e,18,18,16,0,0,0,0
e926ec6a69cc575c,21,21,21,0,0,0,0
b6093d9c703e54b1,11,11,11,11,11,11,19
d58eb13402485ae7,12,12,12,12,12,12,18
f1aa5d5ed7c65114,16,16,16,0,0,0,0
4ea3d4068eda5cc5,10,10,10,0,0,0,0
6c0dbda0d8e45ae9,34,34,34,34,34,34,22
b4322d76ebf8569f,19,19,19,0,0,0,0
acfc271e3c3d58fa,15,15,15,0,0,0,0
b222df74b8155735,16,16,16,0,0,0,0
415d6cd62f3b5c1c,15,15,15,15,15,15,15
b28e9b2fa67452a7,25,25,25,0,0,0,0
bd8dea7f7efc5343,15,15,15,0,0,0,0
8224627048195e4f,17,17,17,0,0,0,0
3225bfcbea245dd7,27,27,27,27,27,27,21
114a9052bd6851a2,23,23,23,0,0,0,0
f80fe289f8135602,22,22,22,0,0,0,0
983b7ed08a4b5a88,19,19,19,19,19,19,17
34dd4c6fb6245b9a,15,15,14,2,2,2,0
5895d1e3cb355fb9,20,20,20,0,0,0,0
14b505fe90ef5fb8,12,12,12,12,12,12,19
1ce58516c7675036,11,0,0,0,0,0,0
b1e88b8722105d53,20,20,20,1,1,1,0
410fac99463459e6,17,17,17,17,17,17,15
5207306ed1a05de8,11,11,11,11,11,11,20
8ba3bff293265674,18,18,18,13,13,13,7
69560676d53a56c9,13,13,13,0,0,0,0
cef0adbb58ad5ca1,13,13,13,0,0,0,0
c5dcabed55395a6e,20,20,20,0,0,0,0
8b839595c4105c65,14,14,14,14,14,14,20
f32a0e56a5b75884,20,3,3,3,3,3,0
972eb434cfd159e8,15,15,15,1,1,1,0
505c44ea52485f9d,20,20,20,0,0,0,0
c0b07b38110a556f,15,15,15,15,15,15,15
7fe310f364355e2d,16,16,16,0,0,0,0
efdd48896e7a5f15,24,24,24,0,0,0,0
e47d448a999b5595,18,18,18,0,0,0,0
6c0b6e4fdf005a81,23,23,23,20,20,20,14
071d2ff38b4855ed,26,26,26,0,0,0,0
b450f88783c15dea,32,32,32,0,0,0,0
7b3902956ebc561d,27,27,27,27,27,27,13
dc73cea57e105ebd,18,18,18,0,0,0,0
b87bd020396b5670,15,15,15,15,15,15,17
ba1a894e5a6350d2,18,18,18,0,0,0,0
ddbfb3b2a05c5918,15,15,15,15,15,15,16
a93ffd0f36b65714,33,33,33,33,33,33,15
2b2663b56a6555a2,15,6,6,6,6,5,1
f9b32e71bedb5996,10,10,10,0,0,0,0
886df3cce3a95a83,13,13,13,0,0,0,0
160a7c3cbeee5f8b,15,15,15,15,15,15,12
24fab0f19fd35cd6,14,14,14,1,1,1,1
b63b325909a058c9,23,23,22,0,0,0,0
9b500f26b0f8560e,21,21,21,21,21,21,15
c9ba785129c35b36,22,22,22,0,0,0,0
aac1853286fb586a,16,16,16,0,0,0,0
022fef6d66485384,38,38,36,0,0,0,0
51480b09db315e89,25,25,17,1,1,1,0
5d3ce016a8a256cf,12,12,12,0,0,0,0
60691b9dd3355992,20,20,20,0,0,0,0
0056ae51961f5a18,35,35,35,35,35,35,16
80d5ce364722516b,18,0,0,0,0,0,0
f0ff3b146af85463,18,18,18,0,0,0,0
6f2a7bf7cf275dd3,17,15,15,15,15,15,14
1090fdb8b57850f6,20,20,20,0,0,0,0
a3fa79234a9d5d7d,18,18,18,18,18,17,16
36c6cbf6c8a25415,29,29,28,0,0,0,0
8fe647ed2b7a5aee,21,21,21,10,10,10,6
5abdbfe1845e59c5,24,24,24,0,0,0,0
4af11dadd34359fe,15,15,15,15,15,15,17
ad25b37aaad95a6b,21,21,21,0,0,0,0
d5201097ad6e5d67,25,25,25,0,0,0,0
f96a48c3bcd45c50,14,14,14,10,10,10,15
3f36d5316f0d5a94,13,13,13,13,13,13,16
b6bba53a1bef520e,13,13,13,0,0,0,0
7b840b044a6a5e8d,15,15,15,0,0,0,0
22a09b0100175b62,11,11,11,11,11,11,18
39fd3f2e5f005306,16,16,16,16,16,16,15
497e7be0400158a9,16,16,16,0,0,0,0
6a53dd2411825857,12,12,12,0,0,0,0
fb9dcf5b46d65616,34,34,34,0,0,0,0
39fe00229f7b5ac4,17,17,17,0,0,0,0
63dcb963cece5b7d,14,14,14,0,0,0,0
88f9b4f87b6b5bd5,20,20,20,0,0,0,0
90f5bf5743cf5df0,10,10,9,0,0,0,0
52caccf1b3b95e4e,17,17,17,0,0,0,0
1b064a029c0e513a,14,14,14,0,0,0,0
50790f7ba9405c67,24,24,24,24,24,24,17
0bc3c50e1292529c,58,58,58,58,58,58,14
ad906e8bb5375747,16,16,16,0,0,0,0
0a76d212e8fe5898,13,13,11,0,0,0,0
77d96cb44005501c,12,12,12,0,0,0,0
12ed1a1d4ae657d1,22,22,22,0,0,0,0
a3e94bd829b75673,15,15,15,0,0,0,0
d7d94b48775a52d4,23,23,23,23,23,23,16
7640be138ae05408,25,25,25,25,25,25,18
f82c33508e915106,18,18,18,18,18,18,15
3138ce4847ee5007,12,12,12,0,0,0,0
25822d3d04305af8,15,15,15,15,15,15,17
ba642ba3c9a65fe7,24,24,24,0,0,0,0
e34f51206f0e53db,25,24,24,0,0,0,0
5da31ca5ce165787,12,12,12,12,12,12,18
9a90853892925989,58,58,58,58,58,58,26
09c3d9dbca6455e5,36,36,36,36,36,36,14
42231e5449d3576a,12,0,0,0,0,0,0
bf78c475adfb5eb1,31,31,31,31,31,31,21
2fbab9ffc3fe5a5d,16,16,16,16,16,16,14
7fe6e7ce9cb7559d,24,24,24,24,24,24,18
ebb4d3e033ae55e2,28,28,28,0,0,0,0
f1d60841a46d53a5,39,39,38,0,0,0,0
8419b5d5eab75027,20,20,20,0,0,0,0
9c16cb6c4f94521c,17,9,9,9,9,9,7
35e2f788f41851c0,26,26,26,0,0,0,0
54d3068f889b58ee,22,22,18,0,0,0,0
e1ee982450c85213,25,25,25,0,0,0,0
4a8b4dff75c15a8a,35,24,24,24,24,15,15
1819e1b106b354ad,17,17,17,0,0,0,0
4ecdbea836725622,16,16,13,0,0,0,0
b9bcc9d0efaf5c7e,18,18,18,18,18,18,11
253b856b49ef52d2,27,27,27,0,0,0,0
68e39232887c5e4a,10,10,10,0,0,0,0
2e2bb8bb71265998,16,16,16,0,0,0,0
e34a1f5fb71c54da,36,36,36,0,0,0,0
1d10ae25c61f50c4,35,35,35,35,35,35,20
2af1778054cf51a4,18,18,18,0,0,0,0
0f276bab4fa85df0,17,17,17,0,0,0,0
6cc16446dbe45353,27,27,27,0,0,0,0
26043d2de718532d,11,11,11,11,11,11,21
e72eb72ebdc25a8a,12,12,12,12,12,12,20
c852239b5ac95394,18,18,18,0,0,0,0
3c297001ef2d5acb,22,0,0,0,0,0,0
123b77fa26425ac1,26,26,26,0,0,0,0
f97414b6f4a15866,18,0,0,0,0,0,0
957d3c9491ba5b5b,23,23,23,0,0,0,0
0c9d055f4ccc5d64,16,16,15,0,0,0,0
cbaf3221997c55be,17,17,17,0,0,0,0
a02463c8a92d56ce,24,24,24,24,24,24,17
d91a4c7d1d9e5647,23,23,15,0,0,0,0
742b1d2c6cf156c6,21,21,19,0,0,0,0
8b3e9121fd57540f,17,17,17,0,0,0,0
bdf3b83064235e17,13,13,13,13,13,13,17
ab000bda9ccf5150,48,48,48,48,48,48,17
e165b9b4eb5f5cf4,18,18,18,18,18,18,11
dcb23119258e58ec,17,15,15,0,0,0,0
f0328bdcd0e15d3a,31,31,31,0,0,0,0
c6538928de9c552b,6,6,6,0,0,0,0
56da0490b78b5033,15,15,13,0,0,0,0
8fc454e70d1554b7,53,53,53,39,39,39,2
3eceeb425c3a560b,14,14,14,0,0,0,0
5e7d1f34a80c5e46,9,9,9,9,9,9,20
ef4f3026ae1b56a3,35,35,35,0,0,0,0
d92fd7e6c01d503b,17,17,17,17,17,17,19
1381f484e75c565a,34,34,34,0,0,0,0
7b79090489c95c0b,13,13,13,0,0,0,0
f0d107fb359953ff,8,8,8,0,0,0,0
e0c845f2d87555b3,18,18,18,18,18,18,14
9e454d3b139c5a3d,14,14,14,14,14,14,16
468894d189a75353,18,18,18,18,18,18,15
9252ad8efde85a85,23,23,23,16,16,16,3
d99a3bc24ff75a68,14,14,14,14,14,14,17
1d45b9d20e9d5f92,20,20,20,0,0,0,0
39fc09d325a05606,16,16,15,0,0,0,0
75341958391d5aba,11,11,11,11,11,11,20
e65ea4e886535732,14,14,14,0,0,0,0
a9134306f1575f88,13,13,13,13,13,13,15
3609537de0105997,17,9,9,0,0,0,0
90c4cd28f0e55d46,20,12,12,12,12,12,14
8a022198e6885aed,10,10,10,0,0,0,0
f6f213b156de552d,13,13,13,0,0,0,0
1cb9fa36aea25d6a,29,29,29,29,29,29,17
e15983da12955abf,18,18,18,0,0,0,0
8635030755615376,14,14,14,0,0,0,0
86fbc624ea435e56,17,17,17,17,17,17,17
66e564907f5f5601,12,0,0,0,0,0,0
808ff2e869ff5d92,21,21,21,0,0,0,0
1b53682e2df854e1,43,43,43,0,0,0,0
dd175b6e08565a4e,30,30,26,0,0,0,0
8e475454489d5f5b,24,24,22,0,0,0,0
dc2d27a848115b56,22,22,22,0,0,0,0
3783e56bc9ef5e85,16,16,16,0,0,0,0
d45a215505f05382,17,17,17,0,0,0,0
4775f8e1a53d5c6f,25,14,14,14,14,14,10
802c127f63f955ed,20,20,14,0,0,0,0
f102259e52d35ac5,14,14,14,0,0,0,0
db5aa5f382f25aaa,54,54,54,0,0,0,0
598efc24965e57ba,49,49,49,49,49,49,20
3e83f47571b05337,13,13,13,13,13,13,17
f36236f06fb556a0,17,17,17,0,0,0,0
ed717de405885939,21,21,21,0,0,0,0
a8b0833c7a065b81,27,27,27,27,27,27,10
f426002d6e275e78,20,17,17,17,17,16,12
3382fe7a030150df,18,18,18,0,0,0,0
a0283fb79a975f2c,17,16,16,0,0,0,0
45e7e76381d85846,16,16,16,16,16,16,19
9cac2a2e22c25964,15,15,15,1,1,1,1
f86b2f13b23d5470,22,22,22,0,0,0,0
6e5e2d80ec915e15,10,10,10,0,0,0,0
b5d7c17fe5375141,11,8,8,2,2,1,12
bae3d8ac0ee85cad,13,13,13,13,13,13,18
4833c4f6d87f5021,7,7,7,7,7,7,23
a507cbf8c4055960,18,18,18,0,0,0,0
331e21d3c8d65bae,20,17,17,0,0,0,0
c5f7460ee0da513a,16,16,16,0,0,0,0
7eb9b36921b25d5b,24,24,20,2,2,2,0
8d76cc7ca097546b,14,14,14,14,14,14,14
7b20cfb388a15b3d,20,20,20,0,0,0,0
87a04f063e505051,16,14,14,14,14,14,15
e4fda5ede9c657f1,22,22,21,1,1,1,0
163693e2ba175db3,31,31,31,13,13,13,13
007505437ed45b53,24,24,24,0,0,0,0
b1199a48987b5f73,25,25,24,0,0,0,0
a1bcc195c8e85f37,14,14,14,3,3,3,0
99c663a7b4e15514,14,14,14,0,0,0,0
2b9bcbd586b55042,16,16,14,0,0,0,0
113b14c30cc25989,45,45,45,45,45,45,18
b37b1679fd745ac9,10,10,10,0,0,0,0
a4b7b2795e615efb,19,19,17,0,0,0,0
c75edb67a65b5a33,19,0,0,0,0,0,0
fbec1eb4b33955e2,30,30,30,0,0,0,0
c1ae700926d4577c,23,23,20,0,0,0,0
eba5b88270db545e,22,0,0,0,0,0,0
0481ff72500154f2,22,22,22,22,22,22,16
70d9d2c73e4155d4,18,18,18,0,0,0,0
685c110d6a615ff8,17,17,17,17,17,17,15
b1483be2f1e35882,17,17,17,17,17,17,15
de0fb293bb4859e7,25,25,25,0,0,0,0
335528f321b45d88,37,37,37,37,37,37,18
e5ba0fd6afc15419,26,26,26,26,26,26,18
07bd6c8c7de152a6,29,29,29,29,29,29,16
0b9f2aceebbf5003,15,15,15,15,15,15,14
e8991ab64afb5db6,12,12,12,12,12,12,19
66c135a6ec7f53c4,10,10,10,10,10,10,21
1fe597d0fb1454dc,33,28,28,0,0,0,0
fefa00cc3fe65b70,14,14,14,0,0,0,1
fddb21da30bb54c2,16,16,16,16,16,16,15
aceba8d21dfe5d03,16,16,14,0,0,0,0
ac940ab1e16558e9,11,11,11,11,11,11,18
4ac0a91fc4dd5ca9,14,0,0,0,0,0,0
cdec4cc7781e5d4d,20,8,8,8,8,8,9
01034b2411ce5ea0,24,24,24,0,0,0,0
fb7f5f4fd1a25f13,16,16,16,16,16,16,15
dcea502e05ca5eb5,25,25,25,0,0,0,0
28b79e32839a543b,21,21,21,21,21,21,11
2b07bad4bce156cd,15,15,15,15,15,15,19
66d778b97714583a,29,29,29,29,29,29,21
a8c9f51e547a5fed,12,12,12,0,0,0,0
7a0635b7942859c6,13,13,13,0,0,0,0
84b13f58e18551a8,20,20,20,20,20,20,10
87ec42ef94f75f0c,18,7,7,7,7,7,8
feae0b42dda25c87,25,25,25,25,25,25,19
b663343f65cd5e92,10,10,10,10,10,10,22
71495dbc0a3255dc,18,18,18,0,0,0,0
244f412a59375c65,19,19,18,0,0,0,0
5c1f98237d1852b9,12,12,12,12,12,12,16
9eddebd4be385650,18,18,18,0,0,0,0
b53636b863815077,15,15,15,0,0,0,0
1ef92a1e554b567c,13,13,13,13,13,13,15
019cfd828c3f5b7c,15,15,15,0,0,0,0
55a649760430531d,16,16,16,0,0,0,0
377d9bb5bb125691,24,24,24,0,0,0,0
a40383b62c8b5f0a,19,19,19,19,19,19,13
6822dc0570565ef4,26,26,26,0,0,0,0
6b5978b04dc85323,22,22,20,0,0,0,0
28c5133d23575e81,13,13,13,0,0,0,0
0726ca723042500c,31,31,31,7,7,7,5
e1b339d45b635f03,13,13,13,0,0,0,0
60e4b765d65a534a,19,19,19,0,0,0,0
cb8ed00b6b6e5650,26,26,22,0,0,0,0
f11aede9f6665b09,17,17,16,0,0,0,0
8ae2f982585058f2,15,13,13,0,0,0,0
ee81b62009285462,11,11,11,11,11,11,21
8783e69e8b9d5d5c,17,17,17,0,0,0,0
9566c9689988532d,17,17,14,0,0,0,0
a49f197b94e15a20,12,12,12,0,0,0,0
d4b1d28cb67b5618,14,14,14,0,0,0,0
9fd73df50f1d5a2b,15,15,15,0,0,0,0
40bdcf910bed5013,38,38,38,38,38,38,19
c72fac839d7b5bdf,57,57,57,2,2,2,0
23cb188abddf5851,28,28,27,0,0,0,0
a488a24ace4e5a0e,17,17,17,17,17,17,16
a2e11073e3025626,17,17,17,17,17,17,18
56df5b5a7f8d5964,41,41,41,0,0,0,0
9f7eb558c5125bca,32,32,32,0,0,0,0
b7520d4aabdb522f,29,29,29,29,29,29,12
c97d721af0475e45,28,28,28,0,0,0,0
2c87600ce5a15f76,17,17,17,0,0,0,0
5d0d7322ddea55ce,15,15,15,0,0,0,0
fad3b25206405469,16,16,16,0,0,0,0
117be7ce4bae59d9,17,17,17,0,0,0,0
36f37eab352d5150,26,26,26,26,26,26,12
ada4bd96b21350f3,27,27,27,27,27,27,13
116f3217b5875595,16,16,16,16,16,16,18
2ce54722e81a5726,28,28,28,28,28,28,15
f0e8b02b16cc5161,26,26,26,26,26,26,11
4db513bb187a5415,17,17,15,1,1,1,0
f679ed3e8e975575,17,17,17,9,9,9,4
bc9f53029a6b5c52,14,14,14,14,14,14,16
8fcd3f59e5d35e62,14,14,14,0,0,0,0
895b56e6e7d1506f,11,11,11,11,11,11,20
f22f6cb0966f5ddf,13,13,13,2,2,2,0
8d16e85f8f505b74,25,25,25,0,0,0,0
3e58b4e75b4d5910,64,0,0,0,0,0,0
a68174740e5d53d2,19,19,19,0,0,0,0
9c83725ca24453f5,19,19,19,19,19,19,11
af80a080342354b5,30,30,30,30,30,30,12
7592a60634a65972,21,21,21,0,0,0,0
312f7d68b7845c0f,23,23,23,23,23,23,11
2ad520fb925f5ace,17,17,17,0,0,0,0
d69754f18e1b5816,13,13,13,0,0,0,0
1514fa6cda205491,27,27,27,27,27,27,9
65c6face44dc5242,20,20,20,20,20,20,17
116b808c2f825f23,71,71,71,0,0,0,0
0502652852d456e7,13,13,13,0,0,0,0
d139b76f0b1e5791,17,17,17,0,0,0,0
e6a85ef20b3054c4,18,17,17,17,17,17,18
d2b1e07b5d38547e,14,14,14,0,0,0,0
56faab1d1228542e,12,12,12,0,0,0,0
a5aa2c07692a5f9b,17,17,17,17,17,17,12
ccb3b418f0a45229,33,33,33,33,33,33,14
9e326c77e25f526d,16,3,3,0,0,0,0
a11285de52f553a7,27,27,27,0,0,0,0
b3b328a0d89255ea,15,0,0,0,0,0,0
ab7c0c62ea5d56df,20,0,0,0,0,0,0
822b5a4a2e075ace,13,13,13,0,0,0,0
6ee8095e2d8b599c,16,16,16,13,13,13,15
e536a7424867539d,17,17,17,17,17,17,12
228bc7a51ce85114,21,21,21,1,1,1,0
b386322960ff5784,13,13,13,0,0,0,0
1779dc029c945352,18,15,15,15,15,15,15
e66f72e612d05320,21,21,21,0,0,0,0
8a7b81e3d8ec589e,16,16,16,0,0,0,0
79d01df5793f5d1a,13,11,11,0,0,0,0
78273a4b69465c1f,20,20,20,20,20,20,11
e9c9a2873a275365,17,17,17,17,17,17,21
063ebdc4cd7e5bd9,25,25,25,0,0,0,0
40b18724a90f5919,14,14,14,14,14,14,18
7f6ac29877365766,26,26,26,0,0,0,0
2617f0cd70705817,33,27,27,27,27,25,14
9356731128d95d59,17,17,17,0,0,0,0
d68f1142da63586f,14,14,14,0,0,0,0
8c4982f5d16e51a8,10,10,10,0,0,0,0
75b56424b7eb5ac6,26,26,26,26,26,26,21
12264b570ba358e9,23,23,23,0,0,0,0
2320cdddd8465622,10,10,10,10,10,10,19
5fec23f5a5d052cd,13,13,13,0,0,0,0
a3d8003852145a71,17,17,17,14,14,14,15
fadbd438f57e5612,12,12,12,0,0,0,0
23ba8f4aee055e34,14,14,14,0,0,0,0
edf80e77e2e65098,21,21,21,0,0,0,0
ec646e4956125fcf,16,16,16,0,0,0,0
9069684898175278,16,16,16,0,0,0,0
c83e41bd3afa534c,27,27,27,0,0,0,0
c3fa71763867515b,20,12,12,7,7,7,7
43916f0a6f7f5717,22,22,20,0,0,0,0
e8bd03529c905c16,23,23,23,23,23,23,12
130e725a1594571f,34,34,34,0,0,0,0
03d9c9a7f1655e53,18,18,18,0,0,0,0
3c84060e9d245ad7,35,35,35,0,0,0,0
440da7a31b255ef9,13,0,0,0,0,0,0
8deb3aea4c075024,15,15,15,15,15,15,19
fa72914538895375,30,30,30,30,30,30,7
095453a7aea65260,20,20,20,0,0,0,0
b5a136c8bff95db6,18,18,18,18,18,18,18
16cf679d9cd35d85,18,18,18,0,0,0,0
0424e5fd9a5c5e60,13,13,13,0,0,0,0
97de4a69dec65c80,11,11,11,0,0,0,0
e5a8e75d4450516b,25,24,24,0,0,0,0
4669e83db7965ed0,16,16,16,0,0,0,0
00bbc908bd5758e6,24,24,24,24,24,24,18
97f64f5b130055b0,12,12,12,0,0,0,0
101da9987c395ba4,21,21,21,0,0,0,0
e20db842c987530f,13,13,13,0,0,0,0
d14c834404a75404,41,41,41,41,41,41,21
b20465ed49f953d3,24,24,24,0,0,0,0
f6741cbf60265367,13,13,13,0,0,0,0
4df92e2616c75be7,17,17,15,0,0,0,0
b3a6f577c20d5eb3,11,11,11,11,11,11,19
d7c39e8608e25e88,16,16,16,0,0,0,0
db42252e1f655f26,23,23,23,23,23,23,14
b4375fa743295bd8,20,20,20,0,0,0,0
5b620dbb3b4d5892,12,12,12,0,0,0,0
9a78f0e3d0335345,19,0,0,0,0,0,0
576835726a7c57d4,15,15,14,0,0,0,0
23c842d3f001597a,16,16,16,0,0,0,0
db4611f3cf8a5db7,48,48,48,0,0,0,0
bed1f99d06215f1b,21,21,21,0,0,0,0
770e1697a0255dc8,24,24,24,0,0,0,0
339d5c1111125971,15,15,15,0,0,0,0
4a5cb683d82059f0,19,19,19,0,0,0,0
6be7246860e057c8,22,22,22,22,22,22,24
4c31e06f0fc858a0,24,24,24,0,0,0,0
ac2dfd95a1e55c5e,27,27,26,0,0,0,0
664b084487e05ba0,21,21,21,12,12,12,5
b4206de96b755fb8,15,15,15,6,6,6,7
2fd40c15042e53d4,14,14,14,14,14,14,17
fc2be4c9cc135538,15,15,15,15,15,15,20
9ac1e7123b245486,15,15,14,0,0,0,0
bca73d6fa8f85d39,12,12,12,12,12,12,18
f57d194633ae5571,29,29,29,29,29,29,13
99d1ae48071a5aec,12,12,12,0,0,0,0
008a9f9434c75b99,15,15,15,15,15,15,13
dc89cd046c135fae,31,31,27,0,0,0,0
b5d3d18e7d115933,13,13,12,0,0,0,0
7da1df98fb8e5af0,16,16,16,16,16,16,12
af816d6041dd5257,15,15,15,7,7,7,16
ec765c8fe97a51bd,18,18,18,0,0,0,0
4c188096aeb950bc,14,14,13,0,0,0,0
392e034cb2a55053,14,0,0,0,0,0,0
be6fe40f664154d7,29,29,24,0,0,0,0
a400f271c6cd51f6,13,13,13,13,13,13,17
e93e621b5e14563f,14,0,0,0,0,0,0
2e976da85a8b5e5b,18,18,18,0,0,0,0
2f4462b637dc5044,15,15,15,0,0,0,0
b548689d07d15535,30,30,30,0,0,0,0
f696561dbf6055df,14,14,14,0,0,0,0
7bb8d2878b1f53cb,22,22,22,0,0,0,0
bff852b39f62557d,14,14,14,0,0,0,0
b940d77be0d45ec9,30,30,30,0,0,0,0
5050ddd89f6850ea,37,37,37,37,37,37,21
31c9a3082fa15d55,12,12,12,12,12,12,18
48f80f817e0656d9,16,16,16,0,0,0,0
602d680df54553a2,30,30,30,30,30,30,15
cc8872f4a1fb5895,15,15,15,0,0,0,0
09d7ac879b745ba7,40,40,40,0,0,0,0
1f22c13b337250e8,15,15,15,15,15,15,16
df16f52f5bea51cc,10,10,10,10,10,10,18
de8c2538d4305d9d,14,14,14,0,0,0,0
9c7f841d11e6542d,12,5,5,0,0,0,0
89a7b788217c5f67,13,13,13,13,13,13,17
3d53eff55b2855c2,27,27,26,2,2,2,0
8fb50dd1fb5552df,20,20,20,20,20,20,15
1dda1a63c5735182,18,18,18,17,17,17,16
006cbccbfae95262,15,15,15,15,15,15,18
cea771061cb25651,15,15,12,0,0,0,0
053ae221b0d351f5,21,21,21,0,0,0,0
edfca2d846ee5acf,58,58,58,0,0,0,0
278907212b495e23,11,11,11,0,0,0,0
449f34ad438e59d2,19,19,19,19,19,19,14
8c1a989cd94c5c12,14,13,13,13,13,13,20
48d4fcc3437755a8,13,13,13,0,0,0,0
13f740d88bf75471,18,18,18,2,2,2,0
8eb1bf4722515ad3,24,24,24,0,0,0,0
21249a2d4eb25ed6,28,28,28,28,28,28,13
3d44a52acf525ec7,17,17,17,17,17,17,18
9fad4614acc251d6,34,20,20,1,1,0,0
727278e9914354b1,21,21,21,21,21,21,17
9d722cf10d7f5bd1,25,0,0,0,0,0,0
14d0749e1fc85004,20,13,13,0,0,0,2
ee05069c50295595,23,23,23,23,23,23,12
5e7dad82583e5536,15,15,15,0,0,0,0
2c772a570884587c,28,28,28,28,28,28,25
aee904e6c2c35a90,30,30,30,0,0,0,0
0264cfbeb1705e5f,50,50,49,0,0,0,0
279ff8e3850c54e2,62,62,62,0,0,0,0
7c767d74b5fb5b5e,19,19,19,0,0,0,0
5daaf9b25cb558f9,8,8,8,8,8,8,23
864f5df8a94a508e,29,29,27,0,0,0,0
df51d2fef8c25f56,20,20,20,20,20,20,12
