checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
apr_9145,32,65,0.18297695,0.15217921,0.48
apr_9145,32,66,0.18289341,0.1521689,0.48025
apr_9145,32,67,0.18349603,0.15272643,0.47975
apr_9145,32,68,0.18318671,0.15238017,0.4795
apr_9145,32,69,0.18299878,0.15226719,0.47975
apr_9145,32,70,0.18290913,0.15211788,0.4805
apr_9145,32,71,0.18287258,0.15213902,0.4785
apr_9145,32,72,0.18284906,0.15214643,0.478
apr_9145,32,73,0.18289675,0.1521208,0.479
apr_9145,32,74,0.183214,0.15246879,0.47925
apr_9145,32,75,0.18323824,0.15240881,0.47825
apr_9145,32,76,0.18248498,0.15178818,0.48075
apr_9145,32,77,0.18372,0.15283741,0.4785
apr_9145,32,78,0.18323892,0.15247008,0.47925
apr_9145,32,79,0.18324147,0.15250541,0.4795
apr_9145,32,80,0.1825165,0.1517549,0.4815
apr_9145,32,81,0.18319471,0.15239033,0.481
apr_9145,32,82,0.18239045,0.15177798,0.47925
apr_9145,32,83,0.18330401,0.15253438,0.48025
apr_9145,32,84,0.18342142,0.15260868,0.48175
apr_9145,32,85,0.18312766,0.15238132,0.4795
apr_9145,32,86,0.18314958,0.152373,0.481
apr_9145,32,87,0.1831945,0.15247281,0.4795
apr_9145,32,88,0.18349247,0.15263249,0.47975
apr_9145,32,89,0.18301184,0.15227105,0.48025
apr_9145,32,90,0.1832903,0.15253006,0.4805
apr_9145,32,91,0.18289642,0.15214545,0.47825
apr_9145,32,92,0.18237181,0.1517357,0.481
apr_9145,32,93,0.18282127,0.15201516,0.48
apr_9145,32,94,0.18353258,0.15270618,0.4805
apr_9145,32,95,0.18294655,0.15218987,0.48
apr_9145,32,96,0.18324864,0.15242271,0.479
apr_9145,32,97,0.18250003,0.15179424,0.47975
apr_9145,32,98,0.1826392,0.15189873,0.4795
apr_9145,32,99,0.18289821,0.15211794,0.47825
apr_9145,64,0,0.18307284,0.15275602,0.480375
apr_9145,64,1,0.18307284,0.15275602,0.479625
apr_9145,64,2,0.18307284,0.15275602,0.48
apr_9145,64,3,0.18307284,0.15275602,0.479625
apr_9145,64,4,0.18307284,0.15275602,0.479875
apr_9145,64,5,0.18307284,0.15275602,0.48
apr_9145,64,6,0.18307284,0.15275602,0.479875
apr_9145,64,7,0.18307284,0.15275602,0.47975
apr_9145,64,8,0.18307284,0.15275602,0.48075
apr_9145,64,9,0.18307284,0.15275602,0.47975
apr_9145,64,10,0.18307284,0.15275602,0.480375
apr_9145,64,11,0.18307284,0.15275602,0.47975
apr_9145,64,12,0.18307284,0.15275602,0.479
apr_9145,64,13,0.18307284,0.15275602,0.480375
apr_9145,64,14,0.18307284,0.15275602,0.48075
apr_9145,64,15,0.18307284,0.15275602,0.479375
apr_9145,64,16,0.18307284,0.15275602,0.4805
apr_9145,64,17,0.18307284,0.15275602,0.479625
apr_9145,64,18,0.18307284,0.15275602,0.48025
apr_9145,64,19,0.18307284,0.15275602,0.480125
apr_9145,64,20,0.18307284,0.15275602,0.480125
apr_9145,64,21,0.18307284,0.15275602,0.47925
apr_9145,64,22,0.18307284,0.15275602,0.479375
apr_9145,64,23,0.18307284,0.15275602,0.4795
apr_9145,64,24,0.18307284,0.15275602,0.48
apr_9145,64,25,0.18307284,0.15275602,0.48
apr_9145,64,26,0.18307284,0.15275602,0.47975
apr_9145,64,27,0.18307284,0.15275602,0.479375
apr_9145,64,28,0.18307284,0.15275602,0.4795
apr_9145,64,29,0.18307284,0.15275602,0.480625
apr_9145,64,30,0.18307284,0.15275602,0.48
apr_9145,64,31,0.18307284,0.15275602,0.480125
apr_9145,64,32,0.18307284,0.15275602,0.48
apr_9145,64,33,0.18307284,0.15275602,0.480375
apr_9145,64,34,0.18307284,0.15275602,0.479625
apr_9145,64,35,0.18307284,0.15275602,0.47875
apr_9145,64,36,0.18307284,0.15275602,0.4805
apr_9145,64,37,0.18307284,0.15275602,0.481125
apr_9145,64,38,0.18307284,0.15275602,0.480125
apr_9145,64,39,0.18307284,0.15275602,0.479
apr_9145,64,40,0.18307284,0.15275602,0.480125
apr_9145,64,41,0.18307284,0.15275602,0.4795
apr_9145,64,42,0.18307284,0.15275602,0.478625
apr_9145,64,43,0.18307284,0.15275602,0.479125
apr_9145,64,44,0.18307284,0.15275602,0.479875
apr_9145,64,45,0.18307284,0.15275602,0.47975
apr_9145,64,46,0.18307284,0.15275602,0.479
apr_9145,64,47,0.18307284,0.15275602,0.4795
apr_9145,64,48,0.18307284,0.15275602,0.480375
apr_9145,64,49,0.18307284,0.15275602,0.479875
