metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
local_P10,pc_mts - score,276,-2.5885809558637654,-4.716418515688187,-0.6176901458297168,0.06884057971014493
local_P10,pc_mts - pareto,276,-4.376207438038636,-6.588711363509646,-2.371915135207971,0.18478260869565216
local_P10,pc_mts - gt_distance,276,-2.8212555879016006,-4.724327110211671,-0.9721084112936657,0.2318840579710145
local_CVaR20,pc_mts - score,276,-2.8245633763147713,-4.479660675971212,-1.2238724264316776,0.14492753623188406
local_CVaR20,pc_mts - pareto,276,-5.108077531430292,-6.942660631235214,-3.4418693368249658,0.2028985507246377
local_CVaR20,pc_mts - gt_distance,276,-3.246859714014589,-4.794072102074537,-1.7833749187235097,0.2463768115942029
local_feasible,pc_mts - score,276,-0.0051709374059917546,-0.012366702009619809,0.0018148763694789524,0.15579710144927536
local_feasible,pc_mts - pareto,276,-0.012450300052202226,-0.02089584950828157,-0.004389896678025073,0.1956521739130435
local_feasible,pc_mts - gt_distance,276,-0.016311785537329013,-0.024859983357775475,-0.009137654581353629,0.1956521739130435
hard_failure,pc_mts - score,276,0.004140607027835289,0.00027614231078904955,0.008300320713279274,0.15579710144927536
hard_failure,pc_mts - pareto,276,0.010014629342074994,0.005678552557798481,0.014869023356625261,0.1956521739130435
hard_failure,pc_mts - gt_distance,276,0.00636088825626869,0.002743215058517368,0.010202553035858064,0.17391304347826086
robust_radius,pc_mts - score,276,-0.012303237975792324,-0.021110430726429368,-0.0038982073180442722,0.13405797101449277
robust_radius,pc_mts - pareto,276,-0.022213678531613313,-0.03163676997066942,-0.013162296734817116,0.18478260869565216
robust_radius,pc_mts - gt_distance,276,-0.01881050260126347,-0.028253380771553326,-0.010018496260683756,0.18840579710144928
robustness_AUC,pc_mts - score,276,0.006169838422919983,0.0018206787950473852,0.010622166035451195,0.32608695652173914
robustness_AUC,pc_mts - pareto,276,0.01178234781350101,0.00689815617507152,0.016652290027081403,0.3188405797101449
robustness_AUC,pc_mts - gt_distance,276,0.009432990853184454,0.004931029329640106,0.014212666645437431,0.3188405797101449
worst_direction_drop,pc_mts - score,276,1.0330811838473366,0.44785320061422296,1.6633105412820024,0.32608695652173914
worst_direction_drop,pc_mts - pareto,276,1.8316936569747653,1.1704389151808134,2.5048818103870247,0.34782608695652173
worst_direction_drop,pc_mts - gt_distance,276,1.4223243701902262,0.7867981828878037,2.0703901726325946,0.32608695652173914
HQ_boundary,pc_mts - score,276,0.7715919798800234,0.7340425260126348,0.8088595997903064,0.8985507246376812
HQ_boundary,pc_mts - pareto,276,0.7697156858841642,0.7352661318150449,0.8027408200947603,0.9130434782608695
HQ_boundary,pc_mts - gt_distance,276,0.745443475606519,0.7077836256436799,0.7804364664622817,0.9057971014492754
HQ_far,pc_mts - score,276,-0.8604813664596273,-0.8967407479296066,-0.8235806482919255,0.0
HQ_far,pc_mts - pareto,276,-0.8536394463024898,-0.8782315389924086,-0.8252210327414131,0.0
HQ_far,pc_mts - gt_distance,276,-0.7697420634920635,-0.8057607617322292,-0.7332605460662526,0.0
